author,affiliation
https://dblp.org/pid/00/1169,"Air Force Institute of Technology (AFIT), Department of Operational Sciences, Wright-Patterson AFB, OH, USA"
https://dblp.org/pid/152/8909,"Air Force Institute of Technology OH, USA"
https://dblp.org/pid/164/9525,"Air Force Institute of Technology, USA"
https://dblp.org/pid/17/8425,"Air Force Institute of Technology, Department of Electrical Engineering, Wright-Patterson AFB, Dayton, OH, USA"
https://dblp.org/pid/184/3603,"Air Force Institute of Technology, Department of Electrical and Computer Engineering, Wright-Patterson AFB, OH, USA"
https://dblp.org/pid/185/4401,"Air Force Institute of Technology, Wright-Patterson Air Force Base, OH, USA"
https://dblp.org/pid/195/3717,"Air Force Institute of Technology, Wright-Patterson, OH, USA"
https://dblp.org/pid/218/5022-2,"Air Force Institute of Technology, Warszawa, Poland"
https://dblp.org/pid/25/87,"Air Force Institute of Technology, Wright Patterson Air Force Base, USA"
https://dblp.org/pid/304/8891,"Air Force Institute of Technology, Dayton, OH, USA"
https://dblp.org/pid/34/2012,"Air Force Institute of Technology (AFIT), Hobson Way, OH, USA"
https://dblp.org/pid/37/7823,"Air Force Institute of Technology, OH, USA"
https://dblp.org/pid/40/5490,"Air Force Institute of Technology, Patterson, OH, USA"
https://dblp.org/pid/43/8145,"Air Force Institute of Technology, Department of Mathematics and Statistics, Wright Patterson Air Force Base, OH, USA"
https://dblp.org/pid/56/5722,"Air Force Institute of Technology, Wright-Patterson Air Force Base, USA"
https://dblp.org/pid/59/722,"Air Force Institute of Technology, Wright-Patterson Air Force Base, OH, USA"
https://dblp.org/pid/72/4457-1,"Air Force Institute of Technology, Dayton, OH, USA"
https://dblp.org/pid/94/2518,"Air Force Institute of Technology, Systems Engineering and Management, Wright-Patterson Air Force Base, OH, USA"
https://dblp.org/pid/99/8764,"United States Air Force Institute of Technology, OH, USA"
https://dblp.org/pid/s/DanielSchmitt3,"Air Force Institute of Technology, Wright-Patterson AFB, Ohio, USA"
