author,affiliation
https://dblp.org/pid/00/5867-25,"Auburn University, Department of Electrical and Computer Engineering, USA"
https://dblp.org/pid/02/5889-15,"Auburn University, Department of Computer Science and Software Engineering, AL, USA"
https://dblp.org/pid/02/5889-99,"Auburn University, Department of Electrical and Computer Engineering, Auburn, AL, USA"
https://dblp.org/pid/02/6128-11,"Auburn University, Department of Electrical and Computer Engineering and RFID Lab, AL, USA"
https://dblp.org/pid/04/11073,"Auburn University, Electrical and Computer Engineering Department"
https://dblp.org/pid/04/55-9,"Auburn University, Department of Electrical and Computer Engineering, Auburn, AL, USA"
https://dblp.org/pid/06/10426,"Auburn University, USA"
https://dblp.org/pid/06/2061-4,"Auburn University, Department of Mechanical Engineering, AL, USA"
https://dblp.org/pid/06/6311,"Auburn University, Department of Mathematics and Statistics, AL, USA"
https://dblp.org/pid/07/314-28,"Auburn University, RFID Laboratory, AL, USA"
https://dblp.org/pid/07/4580-1,"Auburn University, Auburn, AL, USA"
https://dblp.org/pid/10/1130-4,"Auburn University, AL, USA"
https://dblp.org/pid/11/7347,"Auburn University, USA"
https://dblp.org/pid/125/0787-1,"Auburn University, AL, USA"
https://dblp.org/pid/13/1898-19,"Auburn University, Department of Computer Science, AL, USA"
https://dblp.org/pid/131/6283-2,"Auburn University, Department of Electrical and Computer Engineering, AL, USA"
https://dblp.org/pid/140/1229-4,"Auburn University, Department of Electrical and Computer Engineering, AL, USA"
https://dblp.org/pid/143/9430-1,"Auburn University, AB, USA"
https://dblp.org/pid/150/4528,"Auburn University, AL, USA"
https://dblp.org/pid/154/1182,"Auburn University, Department of Mechanical Engineering, USA"
https://dblp.org/pid/158/6077,"Auburn University, Department of Chemical Engineering, Auburn, AL, USA"
https://dblp.org/pid/181/2815-26,"Auburn University, Department of Pathobiology, AL, USA"
https://dblp.org/pid/198/6782,"Auburn University, Auburn, AL, USA"
https://dblp.org/pid/205/7041-1,"Auburn University, Auburn, AL, USA"
https://dblp.org/pid/22/10705,"Auburn University, Harbert College of Business, Auburn, AL, USA"
https://dblp.org/pid/22/1800-2,"Auburn University, AL, USA"
https://dblp.org/pid/22/8004,"Auburn University, Auburn, Alabama, USA"
https://dblp.org/pid/23/4567-3,"Auburn University, AL, USA"
https://dblp.org/pid/24/6674,"Auburn University, Department of Mathematics and Statistics, Auburn, AL, USA"
https://dblp.org/pid/254/0830-3,"Auburn University, Auburn, AL, USA"
https://dblp.org/pid/27/4744-4,"Auburn University, AL, USA"
https://dblp.org/pid/33/5075-1,Auburn University at Montgomery
https://dblp.org/pid/365/9058,"Auburn University, AL, USA"
https://dblp.org/pid/37/1629-30,"Auburn University, Materials Research and Education Center, Auburn, AL, USA"
https://dblp.org/pid/371/4223,"Auburn University, College of Engineering, AL, USA"
https://dblp.org/pid/38/2068-2,"Auburn University, Department of Computer Science and Software Engineering, AL, USA"
https://dblp.org/pid/39/5423-4,"Auburn University, Auburn, AL, USA"
https://dblp.org/pid/48/10724,"Auburn University, AL, USA"
https://dblp.org/pid/50/3402-21,Auburn University
https://dblp.org/pid/50/5154-4,Auburn University
https://dblp.org/pid/50/8657-1,"Auburn University, Auburn, AL, USA"
https://dblp.org/pid/51/74,"Auburn University, Department of Aerospace Engineering, Auburn, AL, USA"
https://dblp.org/pid/52/3003,"Auburn University, USA"
https://dblp.org/pid/52/5285-2,"Auburn University, Auburn, AL, USA"
https://dblp.org/pid/53/295,"Auburn University at Montgomery, School of Business, USA"
https://dblp.org/pid/55/8186-6,"Auburn University, AL, USA"
https://dblp.org/pid/58/2670-6,"Auburn University, AL, USA"
https://dblp.org/pid/61/2029-4,"Auburn University, AL, USA"
https://dblp.org/pid/62/1110,"Auburn University, USA"
https://dblp.org/pid/63/243,"Auburn University, AL, USA"
https://dblp.org/pid/64/6025-189,"Auburn University, Department of Computer Science and Software Engineering, AL, USA"
https://dblp.org/pid/68/2901,Auburn University
https://dblp.org/pid/76/5631,"Auburn University, USA"
https://dblp.org/pid/80/5302,"Auburn University, USA"
https://dblp.org/pid/81/2028,"Auburn University, AL, USA"
https://dblp.org/pid/81/6978,"Auburn University, AL, USA"
https://dblp.org/pid/81/9465,"Auburn University, Auburn, AL, USA"
https://dblp.org/pid/83/4507,"Auburn University, Department of Mathematics and Statistics, AL, USA"
https://dblp.org/pid/86/1953-2,"Auburn University, Department of Computer Science and Software Engineering, AL, USA"
https://dblp.org/pid/88/3850,"Auburn University, AL, USA"
https://dblp.org/pid/90/4765-6,"Auburn University, AL, USA"
https://dblp.org/pid/92/3071,"Auburn University, AL, USA"
https://dblp.org/pid/92/357-6,"Auburn University, AL, USA"
https://dblp.org/pid/92/903-2,Auburn University
https://dblp.org/pid/93/363,"Auburn University, AL, USA"
https://dblp.org/pid/95/6081,"Auburn University, Department of Industrial and Systems Engineering"
https://dblp.org/pid/95/6404-7,"Auburn University, AL, USA"
https://dblp.org/pid/97/9027,"Auburn University, USA"
https://dblp.org/pid/c/JamesHCross,"Auburn University, USA"
https://dblp.org/pid/c/KaiHChang,"Auburn University, USA"
https://dblp.org/pid/c/RichardChapman,"Auburn University, USA"
https://dblp.org/pid/c/WHCarlisle,"Auburn University, USA"
https://dblp.org/pid/l/AlvinSLim,"Auburn University, USA"
https://dblp.org/pid/l/CharlesCLindner,"Auburn University, Department of Discrete and Statistical Sciences, AL, USA"
https://dblp.org/pid/l/MingLi30,"Auburn University MRI Research Center, Auburn, USA"
https://dblp.org/pid/q/XiaoQin,"Auburn University, Department of Computer Science and Software Engineering, AL, USA"
https://dblp.org/pid/r/ChristopherARodger,"Auburn University, USA"
https://dblp.org/pid/s/AditDSingh,"Auburn University, USA"
