author,affiliation
https://dblp.org/pid/06/5220-2,"Augusta University, GA, USA"
https://dblp.org/pid/07/5201,"Augusta University, Augusta, GA, USA"
https://dblp.org/pid/127/6421,"Augusta University, USA"
https://dblp.org/pid/153/7502,"Augusta University, School of Computer and Cyber Sciences, GA, USA"
https://dblp.org/pid/230/9014-1,"Augusta University, GA, USA"
https://dblp.org/pid/230/9042,"Augusta University, Augusta, GA, USA"
https://dblp.org/pid/25/10814,"Augusta University, GA, USA"
https://dblp.org/pid/296/3722,"Augusta University, School of Computer and Cyber Sciences, GA, USA"
https://dblp.org/pid/43/6109,"Augusta University, Georgia, USA"
https://dblp.org/pid/62/10826,"Augusta University, School of Computer and Cyber Sciences, USA"
https://dblp.org/pid/72/5686-1,"Augusta University, School of Computer and Cyber Sciences, Augusta, GA, USA"
https://dblp.org/pid/73/2252-67,"Augusta University, GA, USA"
https://dblp.org/pid/78/8711-3,"Augusta University, School of Computer and Cyber Sciences, GA, USA"
https://dblp.org/pid/85/9730,"Augusta University, Augusta, GA, USA"
https://dblp.org/pid/92/6289-8,"Augusta University, Medical College of Georgia, Department of Population Health Sciences, Augusta, GA, USA"
https://dblp.org/pid/k/PiotrKrysta,"Augusta University, GA, USA"
https://dblp.org/pid/s/AlexanderAShvartsman,"Augusta University, Augusta, GA, USA"
