author,affiliation
https://dblp.org/pid/165/0806,"Baylor University, Waco, TX, USA"
https://dblp.org/pid/170/4276,"Baylor University, Hankamer School of Business, Waco, TX, USA"
https://dblp.org/pid/28/10788,"Baylor University, Department of Computer Science, Waco, TX, USA"
https://dblp.org/pid/35/5562-3,"Baylor University, School of Business, Waco, TX, USA"
https://dblp.org/pid/37/4190-76,"Baylor University, Waco, TX, USA"
https://dblp.org/pid/47/7474,"Baylor University, Waco, TX, USA"
https://dblp.org/pid/57/2904,"Baylor University, Waco, TX, USA"
https://dblp.org/pid/63/2589-1,"Baylor University, Department of Electrical and Computer Engineering, Waco, TX, USA"
https://dblp.org/pid/65/3375,"Baylor University, Waco, TX, USA"
https://dblp.org/pid/74/8287,"Baylor University, Department of Information Systems, Waco, TX, USA"
https://dblp.org/pid/79/9091,"Baylor University, Waco, TX, USA"
https://dblp.org/pid/80/5908,"Baylor University, Waco, TX, USA"
https://dblp.org/pid/81/3-10,"Baylor University, Waco, TX, USA"
https://dblp.org/pid/84/2729,"Baylor University, Waco, TX, USA"
https://dblp.org/pid/87/334,"Baylor University, Waco, TX, USA"
https://dblp.org/pid/87/8582,"Baylor University, Waco, TX, USA"
https://dblp.org/pid/93/78,"Baylor University, Waco, TX, USA"
https://dblp.org/pid/97/1904,"Baylor University, Department of Mathematics, Waco, TX, USA"
