author,affiliation
https://dblp.org/pid/01/2775-1,"Binghamton University, NY, USA"
https://dblp.org/pid/135/9401-2,"Binghamton University, Binghamton, NY, USA"
https://dblp.org/pid/142/3247,"Binghamton University, NY, USA"
https://dblp.org/pid/145/3281,"Binghamton University, Department of Mathematical Sciences"
https://dblp.org/pid/156/0001,"Binghamton University, NY, USA"
https://dblp.org/pid/158/8988,"Binghamton University, NY, USA"
https://dblp.org/pid/174/0010-2,"Binghamton University, Binghamton, NY, USA"
https://dblp.org/pid/199/5323-2,"SUNY Binghamton University, Department of Mathematical Sciences, NY, USA"
https://dblp.org/pid/208/7435,"Binghamton University, USA"
https://dblp.org/pid/227/8862-1,"Binghamton University, Binghamton, NY, USA"
https://dblp.org/pid/25/7237,"Binghamton University, Department of Sociology, New York, NY, USA"
https://dblp.org/pid/30/3456,"Binghamton University, Vestal, NY, USA"
https://dblp.org/pid/31/5772-6,"Binghamton University, State University of New York, Binghamton, NY, USA"
https://dblp.org/pid/33/5448-8,"Binghamton University (SUNY), Department of Electrical and Computer Engineering, Binghamton, NY, USA"
https://dblp.org/pid/49/8135,"Binghamton University, Vestal, NY, USA"
https://dblp.org/pid/52/5264-12,"SUNY, Binghamton University, NY, USA"
https://dblp.org/pid/57/4707-2,"Binghamton University, NY, USA"
https://dblp.org/pid/61/3778,"Binghamton University, Vestal, NY, USA"
https://dblp.org/pid/61/8419-2,Binghamton University (State University of New York)
https://dblp.org/pid/69/1921-2,"Binghamton University, Binghamton, NY, USA"
https://dblp.org/pid/74/2793,"Binghamton University, NY, USA"
https://dblp.org/pid/75/10333-9,"State University of New York, Binghamton University, Department of Systems Science and Industrial Engineering, Binghamton, NY, USA"
https://dblp.org/pid/76/8762,"Binghamton University, Vestal, NY, USA"
https://dblp.org/pid/84/2694-40,"Binghamton University, Department of Systems Science and Industrial Engineering, NY, USA"
https://dblp.org/pid/87/1254-2,"Binghamton University, New York, NY, USA"
https://dblp.org/pid/f/JessicaJFridrich,"Binghamton University, Vestal, NY, USA"
https://dblp.org/pid/h/TomHead,"Binghamton University, Vestal, NY, USA"
https://dblp.org/pid/m/WeiyiMeng,"Binghamton University, Vestal, NY, USA"
https://dblp.org/pid/p/DmitryVPonomarev,"Binghamton University, Vestal, NY, USA"
https://dblp.org/pid/s/ShailendraSingh3,"Binghamton University, NY, USA"
https://dblp.org/pid/y/LijunYin,"Binghamton University, Department of Computer Science, Vestal, NY, USA"
https://dblp.org/pid/z/ZhongfeiMarkZhang,"Binghamton University, Vestal, Department of Computer Science"
