author,affiliation
https://dblp.org/pid/125/5475,"Boise State University, Boise, Idaho, USA"
https://dblp.org/pid/158/8090,"Boise State University, Electrical and Computer Engineering Department, ID, USA"
https://dblp.org/pid/181/2525-2,"Boise State University, ID, USA"
https://dblp.org/pid/232/5670,"Boise State University, ID, USA"
https://dblp.org/pid/24/5701,"Boise State University, Computer Science Department"
https://dblp.org/pid/25/942,"Boise State University, Boise, ID, USA"
https://dblp.org/pid/26/7789,"Boise State University, ID, USA"
https://dblp.org/pid/289/2435,"Boise State University, Idaho, USA"
https://dblp.org/pid/51/4462-8,"Boise State University, Boise, ID, USA"
https://dblp.org/pid/57/2023-2,"Boise State University, ID, USA"
https://dblp.org/pid/71/3893,"Boise State University, USA"
https://dblp.org/pid/73/273-5,"Boise State University, Department of Electrical and Computer Engineering, ID, USA"
https://dblp.org/pid/73/8163,"Boise State University, USA"
https://dblp.org/pid/79/59,"Boise State University, Department of Computer Science"
https://dblp.org/pid/81/7907,"Boise State University, ID, USA"
https://dblp.org/pid/86/475-1,"Boise State University, ID, USA"
https://dblp.org/pid/95/3620,"Boise State University, Boise, ID, USA"
https://dblp.org/pid/s/ScottFSmith2,"Boise State University, ID, USA"
