author,affiliation
https://dblp.org/pid/07/7491,"Boston College, Department of Psychology, USA"
https://dblp.org/pid/28/8775,"Boston College, MA, USA"
https://dblp.org/pid/29/8730,"Boston College, Lynch School of Education, Department of Curriculum and Instruction, Newton, MA, USA"
https://dblp.org/pid/38/6049-7,"Boston College, Chestnut Hill, MA, USA"
https://dblp.org/pid/44/2304,"Boston College, MA, USA"
https://dblp.org/pid/49/6983-8,"Boston College, Chestnut Hill, MA, USA"
https://dblp.org/pid/57/7898,"Boston College, USA"
https://dblp.org/pid/77/9171,"Boston College, Department of Computer Science, USA"
https://dblp.org/pid/86/4643-4,"Boston College, Carroll School of Management, MA, USA"
https://dblp.org/pid/89/10116,"Boston College, MA, USA"
https://dblp.org/pid/93/9459,"Boston College, Chestnut Hill, MA, USA"
https://dblp.org/pid/r/AmitabhaRoy,"Boston College, Chestnut Hill, USA"
