author,affiliation
https://dblp.org/pid/01/1038,"Boston University, ECE Department, USA"
https://dblp.org/pid/01/1242-1,"Boston University, Department of Mathematics and Statistics, Boston, MA, USA"
https://dblp.org/pid/01/2478-10,"Boston University, Department of Electrical and Computer Engineering, MA, USA"
https://dblp.org/pid/01/2627,"Boston University, Metropolitan College, MA, USA"
https://dblp.org/pid/02/1003-22,"Boston University, Division of Systems Engineering, Brookline, MA, USA"
https://dblp.org/pid/02/736-44,"Boston University, Division of System Engineering, Boston, MA, USA"
https://dblp.org/pid/03/8922,"Boston University, MA, USA"
https://dblp.org/pid/04/2026-5,"Boston University, MA, USA"
https://dblp.org/pid/04/5072,"Boston University, Department of Computer Science, Boston, MA, USA"
https://dblp.org/pid/05/3499-30,"Boston University, Division of Systems Engineering, MA, USA"
https://dblp.org/pid/05/6123,"Boston University, Boston, MA, USA"
https://dblp.org/pid/06/4186-1,"Boston University, Department of Physics, MA, USA"
https://dblp.org/pid/06/5140-8,"Boston University, Division of Systems Engineering, MA, USA"
https://dblp.org/pid/07/2757-7,"Boston University, Department of Manufacturing Engineering, Center for Information and Systems Engineering, MA, USA"
https://dblp.org/pid/10/4566,"Boston University, School of Management, MA, USA"
https://dblp.org/pid/11/383-6,"Boston University, Brookline, MA, USA"
https://dblp.org/pid/11/7856,"Boston University, Department of Computer Science, MA, USA"
https://dblp.org/pid/12/5268-8,"Boston University, Department of Electrical and Computer Engineering, MA, USA"
https://dblp.org/pid/121/0837-4,"Boston University, MA, USA"
https://dblp.org/pid/127/0465,"Boston University, MA, USA"
https://dblp.org/pid/127/6731,"Boston University, USA"
https://dblp.org/pid/13/4682-14,"Department of Manufacturing Engineering, Boston University, Boston, MA, USA"
https://dblp.org/pid/13/6769-18,"Boston University, Department of Mathematics and Statistics, MA, USA"
https://dblp.org/pid/132/6943,"Boston University, USA"
https://dblp.org/pid/133/7276,"Boston University, USA"
https://dblp.org/pid/133/8532,"Boston University, Questrom School of Business, MA, USA"
https://dblp.org/pid/137/1733,"Boston University, USA"
https://dblp.org/pid/139/7831-2,"Boston University, USA"
https://dblp.org/pid/14/1033,"Boston University, Metropolitan College, USA"
https://dblp.org/pid/14/3654,"Boston University, USA"
https://dblp.org/pid/147/8529,"Boston University, Faculty of Computing & Data Sciences, MA, USA"
https://dblp.org/pid/150/0452,"Boston University, School of Management, MA, USA"
https://dblp.org/pid/150/2503-2,"Boston University, MA, USA"
https://dblp.org/pid/152/3672-3,"Boston University, MA, USA"
https://dblp.org/pid/152/4299-6,"Boston University, MA, USA"
https://dblp.org/pid/160/6948,"Boston University, MA, USA"
https://dblp.org/pid/161/2145,"Boston University, MA, USA"
https://dblp.org/pid/171/4597-1,"Boston University, Boston, MA, USA"
https://dblp.org/pid/178/2463,"Boston University, MA, USA"
https://dblp.org/pid/181/2429-2,"Boston University, Center for Clinical Biopsychology, MA, USA"
https://dblp.org/pid/182/9382,"Boston University, MA, USA"
https://dblp.org/pid/185/1606,"Boston University, MA, USA"
https://dblp.org/pid/19/5387,"Boston University, MA, USA"
https://dblp.org/pid/195/9507-4,"Boston University, Department of Biomedical Engineering, MA, USA"
https://dblp.org/pid/20/4794-3,"Boston University, Division of Systems Engineering, Brookline, MA, USA"
https://dblp.org/pid/202/9483,"Boston University, Department of Electrical and Computer Engineering, MA, USA"
https://dblp.org/pid/203/2293,"Boston University, Department of Electrical Engineering, MA, USA"
https://dblp.org/pid/203/4866,"Boston University, MA, USA"
https://dblp.org/pid/209/9060,"Boston University, USA"
https://dblp.org/pid/211/9170-1,"Boston University, Department of Electrical and Computer Engineering, USA"
https://dblp.org/pid/220/3441-2,"Boston University, MA, USA"
https://dblp.org/pid/221/3845-4,"Boston University, MA, USA"
https://dblp.org/pid/23/3310,"Boston University, Department of Mathematics and Statistics, MA, USA"
https://dblp.org/pid/23/5721-1,"Boston University, Department of Electrical and Computer Engineering, MA, USA"
https://dblp.org/pid/230/9035,"Boston University, Boston, MA, USA"
