author,affiliation
https://dblp.org/pid/15/3934,Brandeis University
https://dblp.org/pid/275/9996,"Brandeis University, Department of Physics, MA, USA"
https://dblp.org/pid/28/1901-1,"Brandeis University, Waltham, MA, USA"
https://dblp.org/pid/32/9075-1,"Brandeis University, Waltham, MA, USA"
https://dblp.org/pid/358/7885,"Brandeis University, Waltham, MA, USA"
https://dblp.org/pid/37/3024,"Brandeis University, Waltham, MA, USA"
https://dblp.org/pid/39/2824-3,"Brandeis University, Computer Science Department, Waltham, MA, USA"
https://dblp.org/pid/55/3527,"Brandeis University, Waltham, MA, USA"
https://dblp.org/pid/75/534,"Brandeis University, MA, USA"
https://dblp.org/pid/77/1466,"Brandeis University, Waltham, MA, USA"
https://dblp.org/pid/90/6462,"Brandeis University, Department of Mathematics, Waltham, MA, USA"
https://dblp.org/pid/c/JacquesCohen,"Brandeis University, Waltham, MA, USA"
https://dblp.org/pid/c/MartinCohn,"Brandeis University, Waltham, MA, USA"
https://dblp.org/pid/c/MitchCherniack,"Brandeis University, Waltham, MA, USA"
https://dblp.org/pid/h/TimothyJHickey,"Brandeis University, Waltham, MA, USA"
https://dblp.org/pid/s/JamesAStorer,"Brandeis University, Waltham, MA, USA"
https://dblp.org/pid/s/LiubaShrira,"Brandeis University, Waltham, MA, USA"
