author,affiliation
https://dblp.org/pid/00/105-7,"Brigham Young University, Department of Computer Science, USA"
https://dblp.org/pid/00/6216,"Brigham Young University, Information Technology Program, Provo, UT, USA"
https://dblp.org/pid/09/4570,"Brigham Young University, Provo, Utah, USA"
https://dblp.org/pid/116/4515,"Brigham Young University, Provo, UT, USA"
https://dblp.org/pid/128/3875,"Brigham Young University, Provo, UT, USA"
https://dblp.org/pid/130/7394,"Brigham Young University, Provo, UT, USA"
https://dblp.org/pid/131/2906,"Brigham Young University, Provo, Utah, USA"
https://dblp.org/pid/132/8738,"Brigham Young University, Department of Computer Science, Provo, UT, USA"
https://dblp.org/pid/139/2145,"Brigham Young University, Department of Information Systems, Provo, UT, USA"
https://dblp.org/pid/14/1098,"Brigham Young University, Provo, Utah, USA"
https://dblp.org/pid/140/3507,"Brigham Young University, Provo, UT, USA"
https://dblp.org/pid/149/6604,"Brigham Young University, Provo, UT, USA"
https://dblp.org/pid/155/8893,"Brigham Young University, Provo, UT, USA"
https://dblp.org/pid/172/7079,"Brigham Young University, Marriott School of Business, UT, USA"
https://dblp.org/pid/18/9105,"Brigham Young University, Marriott School of Business, Provo, UT, USA"
https://dblp.org/pid/181/2778,"Brigham Young University, Provo, UT, USA"
https://dblp.org/pid/186/1444,"Brigham Young University, Provo, UT, USA"
https://dblp.org/pid/19/3454,"Brigham Young University, Department of Electrical and Computer Engineering, Provo, UT, USA"
https://dblp.org/pid/192/3030,"Brigham Young University, Department of Computer Science, Information and Decision Algorithms Laboratories, Provo, UT, USA"
https://dblp.org/pid/20/4172,"Brigham Young University, Department of Information Systems, Provo, UT, USA"
https://dblp.org/pid/220/4161-1,"Brigham Young University, Provo, Utah, USA"
https://dblp.org/pid/24/1435,"Brigham Young University, Provo, UT, USA"
https://dblp.org/pid/24/6746,"Department of Mechanical Engineering, Brigham Young University, Provo, UT, USA"
https://dblp.org/pid/27/6040,"Brigham Young University, Provo, UT, USA"
https://dblp.org/pid/270/7604,"Brigham Young University, Provo, UT, USA"
https://dblp.org/pid/29/2032,"Brigham Young University, Provo, UT, USA"
https://dblp.org/pid/290/6071,"Brigham Young University, USA"
https://dblp.org/pid/301/0562,"Brigham Young University, Provo, UT, USA"
https://dblp.org/pid/32/4598,"Brigham Young University, Marriott School of Management, Provo, UT, USA"
https://dblp.org/pid/33/1885,"Brigham Young University, Computer Science Department"
https://dblp.org/pid/337/4660,"Brigham Young University, Provo, UT, USA"
https://dblp.org/pid/37/492,"Brigham Young University, Provo, UT, USA"
https://dblp.org/pid/39/10498-2,"Brigham Young University, Provo, UT, USA"
https://dblp.org/pid/45/3183,"Brigham Young University, Department of Computer Science, Provo, UT, USA"
https://dblp.org/pid/48/3560,"Brigham Young University, Provo, UT, USA"
https://dblp.org/pid/51/4592,"Brigham Young University, Provo, UT, USA"
https://dblp.org/pid/52/827,"Brigham Young University, UT, USA"
https://dblp.org/pid/53/3118,"Brigham Young University, Provo, Utah, USA"
