author,affiliation
https://dblp.org/pid/01/2086-10,"Brown University, Division of Applied Mathematics, Providence, RI, USA"
https://dblp.org/pid/01/452-10,"Brown University, Providence, RI, USA"
https://dblp.org/pid/01/6072-2,"Brown University, Department of Computer Science, Providence, RI, USA"
https://dblp.org/pid/03/6325-1,"Brown University, Division of Engineering, Providence, RI, USA"
https://dblp.org/pid/04/2024-65,"Brown University, Providence, RI, USA"
https://dblp.org/pid/04/4803,"Brown University, Providence, RI, USA"
https://dblp.org/pid/07/722-3,"Brown University, Providence, RI, USA"
https://dblp.org/pid/09/5496,"Brown University, Providence, RI, USA"
https://dblp.org/pid/10/4661-62,"Brown University, Providence, RI, USA"
https://dblp.org/pid/11/1394-9,"Brown University, Warren Alpert Medical School, Department of Orthopaedics, Providence, RI, USA"
https://dblp.org/pid/119/4271,"Brown University, Providence, RI, USA"
https://dblp.org/pid/12/4662,"Brown University, Providence, RI, USA"
https://dblp.org/pid/12/975-4,"Brown University, Providence, Education Department"
https://dblp.org/pid/126/9502-1,"Brown University, Providence, RI, USA"
https://dblp.org/pid/13/934,"Brown University, Providence, RI, USA"
https://dblp.org/pid/136/1130,"Brown University, Computer Science Department, Providence, RI, USA"
https://dblp.org/pid/139/8131,"Brown University, Providence, Computer Science Department"
https://dblp.org/pid/141/8986-1,"Brown University, Department of Computer Science, Providence, RI, USA"
https://dblp.org/pid/141/9169,"Brown University, Providence, RI, USA"
https://dblp.org/pid/143/9194,"Brown University, Providence, RI, USA"
https://dblp.org/pid/149/3137-1,"Brown University, Providence, RI, USA"
https://dblp.org/pid/15/4170,"Brown University, Department of Cognitive, Linguistic, and Psychological Sciences, Providence, RI, USA"
https://dblp.org/pid/150/2008-2,"Brown University, USA"
https://dblp.org/pid/150/4183-1,"Brown University, School of Engineering, Providence, RI, USA"
https://dblp.org/pid/150/9436,"Brown University, RI, USA"
https://dblp.org/pid/152/5725,"Brown University, Department of Cognitive, Linguistic, and Psychological Sciences, Providence, USA"
https://dblp.org/pid/159/0344,"Brown University, Providence, RI, USA"
https://dblp.org/pid/16/1153,"Brown University, Division of Applied Mathematics, Providence, RI, USA"
https://dblp.org/pid/162/9909,"Brown University, Computer Science Department"
https://dblp.org/pid/17/6561,"Brown University, Providence, RI, USA"
https://dblp.org/pid/173/5673-1,"Brown University, Division of Applied Mathematics, Providence, RI, USA"
https://dblp.org/pid/18/31-2,"Brown University, Department of Computer Science, Providence, RI, USA"
https://dblp.org/pid/19/5112-29,"Brown University, Division of Applied Mathematics, Providence, RI, USA"
https://dblp.org/pid/20/1182,"Brown University, Providence, RI, USA"
https://dblp.org/pid/20/5233-10,"Brown University, Department of Physics, Institute for Brain and Neural Systems, Providence, RI, USA"
https://dblp.org/pid/203/7562-1,"Brown University, Providence, RI, USA"
https://dblp.org/pid/207/2188,"Brown University, Providence, RI, USA"
https://dblp.org/pid/21/3047-34,"Brown University, Division of Applied Mathematics, Providence, RI, USA"
https://dblp.org/pid/22/1885,"Brown University, Department of Computer Science, Providence, RI, USA"
https://dblp.org/pid/227/7910,"Brown University, ICERM, Providence, RI, USA"
https://dblp.org/pid/231/8372-2,"Brown University, Providence, RI, USA"
https://dblp.org/pid/245/7396,"Brown University, Division of Applied Mathematics, RI, USA"
https://dblp.org/pid/25/104,"Brown University, Brown Center for Biomedical Informatics, Providence, RI, USA"
https://dblp.org/pid/259/2983,"Brown University, Department of Computer Science, Providence, RI, USA"
https://dblp.org/pid/276/4362,"Brown University, Providence, RI, USA"
https://dblp.org/pid/285/7765,"Brown University, Providence, RI, USA"
https://dblp.org/pid/305/7877,"Brown University, Providence, RI, USA"
https://dblp.org/pid/315/0812,"Brown University, Providence, RI, USA"
https://dblp.org/pid/33/2026,"Brown University, Brown Institute for Brain Science, Providence, RI, USA"
https://dblp.org/pid/363/2328,"Brown University, Department of Computer Science, Providence, RI, USA"
https://dblp.org/pid/363/7324,"Brown University, School of Public Health, Providence, RI, USA"
https://dblp.org/pid/37/3076-2,"Brown University, Rhode Island, USA"
https://dblp.org/pid/38/131-3,"Brown University, Section of Neurobiology / Center for Neural Science, Providence, RI, USA"
https://dblp.org/pid/38/2958,"Brown University, Division of Applied Mathematics, USA"
https://dblp.org/pid/39/721-3,Brown University
https://dblp.org/pid/40/10716,"Brown University, Providence, RI, USA"
https://dblp.org/pid/41/2852-1,"Brown University, Providence, RI, USA"
https://dblp.org/pid/48/4501,"Brown University, Providence, RI, USA"
https://dblp.org/pid/51/8228-2,"Brown University, Providence, RI, USA"
https://dblp.org/pid/54/8734,Brown University
https://dblp.org/pid/55/2167,"Brown University, Providence, RI, USA"
https://dblp.org/pid/55/8316,"Brown University, School of Engineering, Providence, RI, USA"
https://dblp.org/pid/56/6762,"Brown University, Providence, RI, USA"
https://dblp.org/pid/57/5958,"Brown University, Providence, RI, USA"
https://dblp.org/pid/59/2617-8,"Brown University, School of Engineering, Providence, RI, USA"
https://dblp.org/pid/59/460,"Brown University, Providence, RI, USA"
https://dblp.org/pid/61/5904,"Brown University, USA"
https://dblp.org/pid/61/6497,"Brown University, Providence, RI, USA"
https://dblp.org/pid/61/6809-2,"Brown University, Providence, RI, USA"
https://dblp.org/pid/62/2674,"Brown University, Department of Computer Science"
https://dblp.org/pid/63/261,"Brown University, Department of Neuroscience, Providence, RI, USA"
