author,affiliation
https://dblp.org/pid/00/1930,"Carnegie Mellon University, School of Computer Science, Language Technologies Institute, Pittsburgh, PA, USA"
https://dblp.org/pid/00/5984-12,"Carnegie Mellon University, Department of Electrical and Computer Engineering, Pittsburgh, PA, USA"
https://dblp.org/pid/00/7733-2,"Carnegie Mellon University, Robotics Institute, Pittsburgh, PA, USA"
https://dblp.org/pid/01/1901-25,"Carnegie Mellon University, Pittsburgh, PA, USA"
https://dblp.org/pid/01/2201,"Carnegie Mellon University, Pittsburgh, USA"
https://dblp.org/pid/01/3967,"Carnegie Mellon University, Pittsburgh, USA"
https://dblp.org/pid/01/4946,"Carnegie Mellon University, Department of Computer Science, Pittsburgh, PA, USA"
https://dblp.org/pid/01/6902-5,"Carnegie Mellon University, Robotics Institute, Pittsburgh, PA, USA"
https://dblp.org/pid/01/7592-1,"Carnegie Mellon University, PA, USA"
https://dblp.org/pid/02/1003-30,"Carnegie Mellon University, Robotics Institute, Department of Mechanical Engineering, Pittsburgh, PA, USA"
https://dblp.org/pid/02/1345-2,"Carnegie Mellon University, Department of Mathematical Sciences, Pittsburgh, PA, USA"
https://dblp.org/pid/02/2407-8,"Carnegie Mellon University, Interactive Systems Laboratories, Pittsburgh, PA, USA"
https://dblp.org/pid/02/4248-11,"Carnegie Mellon University Silicon Valley, Electrical and Computer Engineering Department, Moffett Field, CA, USA"
https://dblp.org/pid/02/436-3,"Carnegie Mellon University, Pittsburgh, PA, USA"
https://dblp.org/pid/02/5889-110,"Carnegie Mellon University, Pittsburgh, PA, USA"
https://dblp.org/pid/02/630,"Carnegie Mellon University, Pittsburgh, PA, USA"
https://dblp.org/pid/02/6739,"Carnegie Mellon University, Pittsburgh, PA, USA"
https://dblp.org/pid/02/736-20,"Carnegie Mellon University, Psychology Department, Center for Cognitive Brain Imaging, Pittsburgh, PA, USA"
https://dblp.org/pid/03/1595,"Carnegie Mellon University, Pittsburgh, USA"
https://dblp.org/pid/03/1657,"Carnegie Mellon University, Pittsburgh, USA"
https://dblp.org/pid/03/2381,"Carnegie Mellon University, Pittsburgh, USA"
https://dblp.org/pid/03/3113,"Carnegie Mellon University, Pittsburgh, USA"
https://dblp.org/pid/03/3950,"Carnegie Mellon University, Pittsburgh, USA"
https://dblp.org/pid/03/4368,"Carnegie Mellon University, Pittsburgh, USA"
https://dblp.org/pid/03/4688,"Carnegie Mellon University, Department of Psychology, USA"
https://dblp.org/pid/03/7447-3,"Carnegie Mellon University, Pittsburgh, PA, USA"
https://dblp.org/pid/03/8155,"Carnegie Mellon University, USA"
https://dblp.org/pid/03/8395,"Carnegie Mellon University, Pittsburgh, PA, USA"
https://dblp.org/pid/04/1935-1,"Carnegie Mellon University, Language Technologies Institute, Pittsburgh, USA"
https://dblp.org/pid/04/3916-1,"Carnegie Mellon University, PA, USA"
https://dblp.org/pid/04/7235-1,"Carnegie Mellon University, Pittsburgh, PA, USA"
https://dblp.org/pid/05/4149,"Carnegie Mellon University, Pittsburgh, USA"
https://dblp.org/pid/05/595,"Carnegie Mellon University, School of Computer Science, Pittsburgh, PA, USA"
https://dblp.org/pid/06/662,"Carnegie Mellon University, Pittsburgh, USA"
https://dblp.org/pid/07/10699-6,"Carnegie Mellon University, PA, USA"
https://dblp.org/pid/07/3001,"Department of Philosophy, Carnegie Mellon University, USA"
https://dblp.org/pid/08/1128,"Carnegie Mellon University, Pittsburgh, USA"
https://dblp.org/pid/08/3571-5,"Carnegie Mellon University, Pittsburgh, PA, USA"
https://dblp.org/pid/08/4418,"Carnegie Mellon University, Pittsburgh, USA"
https://dblp.org/pid/08/4958,"Carnegie Mellon University, USA"
https://dblp.org/pid/08/6467,"Carnegie Mellon University, Pittsburgh, USA"
https://dblp.org/pid/08/9148,"Carnegie Mellon University, Pittsburgh, PA, USA"
