author,affiliation
https://dblp.org/pid/02/283,"Case Western Reserve University, Cleveland, OH, USA"
https://dblp.org/pid/03/2685,"Case Western Reserve University School of Medicine, Cleveland, OH, USA"
https://dblp.org/pid/04/1887,"Case Western Reserve University, USA"
https://dblp.org/pid/05/2087,"Case Western Reserve University, USA"
https://dblp.org/pid/06/4924-2,"Case Western Reserve University, Cleveland, Ohio, USA"
https://dblp.org/pid/08/2190-2,"Case Western Reserve University, Department of Biomedical Engineering, Cleveland, OH, USA"
https://dblp.org/pid/08/5667,"Case Western Reserve University, USA"
https://dblp.org/pid/09/7644,"Case Western Reserve University, USA"
https://dblp.org/pid/10/7088-4,"Case Western Reserve University, Department of Electrical Engineering, Cleveland, OH, USA"
https://dblp.org/pid/11/10866,"Case Western Reserve University, USA"
https://dblp.org/pid/11/3601-3,"Case Western Reserve University, Cleveland, OH, USA"
https://dblp.org/pid/116/3353,"Case Western Reserve University, Cleveland, OH, USA"
https://dblp.org/pid/117/2258,"Case Western Reserve University, Cleveland, OH, USA"
https://dblp.org/pid/127/9876-2,"Case Western Reserve University, The MetroHealth System, Department of Family Medicine, Cleveland, OH, USA"
https://dblp.org/pid/129/3311,"Case Western Reserve University, Cleveland, USA"
https://dblp.org/pid/13/5260,"Case Western Reserve University, Department of Electrical Engineering and Computer Science, Cleveland, OH, USA"
https://dblp.org/pid/139/4853,"Case Western Reserve University, USA"
https://dblp.org/pid/142/4975,"Case Western Reserve University, USA"
https://dblp.org/pid/144/4765,"Case Western Reserve University, Cleveland, OH, USA"
https://dblp.org/pid/151/9734,"Case Western Reserve University, Department of Electrical Engineering and Computer Science, Cleveland, OH, USA"
https://dblp.org/pid/155/4146,"Case Western Reserve University, Department of Biology, Cleveland, OH, USA"
https://dblp.org/pid/156/2059,"Case Western Reserve University, Department of Biomedical Engineering, Cleveland, OH, USA"
https://dblp.org/pid/158/2586,"Case Western Reserve University, USA"
https://dblp.org/pid/16/6005-3,"Case Western Reserve University, Cleveland, OH, USA"
https://dblp.org/pid/162/7108,"Case Western Reserve University, Cleveland, Ohio, USA"
https://dblp.org/pid/17/2441,"Case Western Reserve University, USA"
