author,affiliation
https://dblp.org/pid/09/4381-1,"Cleveland State University, Department of Electrical and Computer Engineering, OH, USA"
https://dblp.org/pid/157/1141,"Cleveland State University, School of Health Sciences, OH, USA"
https://dblp.org/pid/166/4769,"Cleveland State University, OH, USA"
https://dblp.org/pid/18/4224,"Cleveland State University, Cleveland, OH, USA"
https://dblp.org/pid/185/1470,"Cleveland State University, Department of Electrical Engineering and Computer Science, OH, USA"
https://dblp.org/pid/23/1075,"Cleveland State University, Information Systems Department, OH, USA"
https://dblp.org/pid/25/5784,"Department of Electrical and Computer Engineering, Cleveland State University, Cleveland, OH, USA"
https://dblp.org/pid/284/6167,"Cleveland State University, Department of Mathematics and Statistics, Cleveland, OH, USA"
https://dblp.org/pid/31/2986-5,"Cleveland State University, Cleveland, OH, USA"
https://dblp.org/pid/330/0955,"Cleveland State University, OH, USA"
https://dblp.org/pid/41/10114-4,"Cleveland State University, Department of Electrical Engineering and Computer Science, OH, USA"
https://dblp.org/pid/45/8203,"Cleveland State University, OH, USA"
https://dblp.org/pid/65/4344,"Cleveland State University, Cleveland, OH, USA"
https://dblp.org/pid/72/3256,"Cleveland State University, Cleveland, OH, USA"
https://dblp.org/pid/80/3703-1,"Cleveland State University, Department of Electrical Engineering and Computer Science, OH, USA"
https://dblp.org/pid/91/4770,"Cleveland State University, Software Engineering Institute, USA"
https://dblp.org/pid/92/1169,"Cleveland State University, Department of Mathematics, OH USA"
https://dblp.org/pid/98/738-9,"Cleveland State University, Department of Electrical Engineering and Computer Science, Cleveland, OH, USA"
https://dblp.org/pid/z/WenbingZhao1,"Cleveland State University, Department of Electrical Engineering and Computer Science, OH, USA"
