author,affiliation
https://dblp.org/pid/03/7876,"Colorado School of Mines, Golden, CO, USA"
https://dblp.org/pid/04/7118,"Colorado School of Mines, Golden, CO, USA"
https://dblp.org/pid/05/6087,"Colorado School of Mines, Golden, CO, USA"
https://dblp.org/pid/06/4489-7,"Colorado School of Mines, Computer Science Department, Golden, CO, USA"
https://dblp.org/pid/07/280,"Colorado School of Mines, Golden, CO, USA"
https://dblp.org/pid/120/8537,"Colorado School of Mines, Golden, CO, USA"
https://dblp.org/pid/13/5379,"Colorado School of Mines, Golden, CO, USA"
https://dblp.org/pid/173/1314,"Colorado School of Mines, Golden, USA"
https://dblp.org/pid/18/6743-1,"Colorado School of Mines, Department of Electrical Engineering and Computer Science, Golden, CO, USA"
https://dblp.org/pid/244/5601,"Colorado School of Mines, Golden, CO, USA"
https://dblp.org/pid/26/4969,"Colorado School of Mines, Engineering Division, Golden, CO, USA"
https://dblp.org/pid/289/6497-1,"Colorado School of Mines, Golden, CO, USA"
https://dblp.org/pid/29/2285,"Colorado School of Mines, Golden, CO, USA"
https://dblp.org/pid/33/3535-7,"Colorado School of Mines, Department of Electrical Engineering and Computer Science, Golden, CO, USA"
https://dblp.org/pid/357/3279,"Colorado School of Mines, Department of Applied Mathematics and Statistics, Golden, CO, USA"
https://dblp.org/pid/42/469-3,"Colorado School of Mines, Department of Mechanical Engineering, Golden, CO, USA"
https://dblp.org/pid/45/740,"Colorado School of Mines, USA"
https://dblp.org/pid/46/6839-3,"Colorado School of Mines, Department of Computer Science, Golden, CO, USA"
https://dblp.org/pid/47/6534-2,"Colorado School of Mines, Golden, CA, USA"
https://dblp.org/pid/55/6910-6,"Colorado School of Mines, Golden, CO, USA"
https://dblp.org/pid/60/3497,"Colorado School of Mines, Department of Mathematical and Computer Sciences, Golden, CO, USA"
https://dblp.org/pid/63/4846,"Colorado School of Mines, Golden, CO, USA"
https://dblp.org/pid/66/1365-1,"Colorado School of Mines, Golden, CO, USA"
https://dblp.org/pid/67/1120-26,"Colorado School of Mines, Department of Chemical and Biological Engineering, Golden, CO, USA"
https://dblp.org/pid/67/6767-2,"Colorado School of Mines, Intelligent Robotics and Systems Lab, Golden, CO, USA"
https://dblp.org/pid/69/5011-4,"Colorado School of Mines, Department of Geology and Geological Engineering, Golden, CO, USA"
https://dblp.org/pid/73/4566-18,"Colorado School of Mines, Department of Computer Science, Golden, CO, USA"
https://dblp.org/pid/76/5895-1,"Colorado School of Mines, Golden, CO, USA"
https://dblp.org/pid/91/3699-9,"Colorado School of Mines, Golden, CO, USA"
https://dblp.org/pid/93/1754-2,"Colorado School of Mines, Department of Electrical Engineering and Computer Science, Human-Centered Robotics Laboratory, Golden, CO, USA"
https://dblp.org/pid/97/3316,"Colorado School of Mines, Golden, CO, USA"
https://dblp.org/pid/98/9423,"Colorado School of Mines, Golden, CO, USA"
https://dblp.org/pid/l/MingLi44,"Colorado School of Mines, Department of Electrical Engineering and Computer Science, Golden, CO, USA"
https://dblp.org/pid/r/AlynPRockwood,"Colorado School of Mines, Golden, CO, USA"
