author,affiliation
https://dblp.org/pid/00/1396,"Columbia University, New York City, USA"
https://dblp.org/pid/00/3312-3,"Columbia University, New York, NY, USA"
https://dblp.org/pid/00/8939,"Columbia University, Department of Electrical Engineering, New York, NY, USA"
https://dblp.org/pid/01/10276,"Columbia University, New York City, USA"
https://dblp.org/pid/01/6917,"Columbia University, Zuckerman Mind Brain Behavior Institute, New York City, NY, USA"
https://dblp.org/pid/04/9321,"Columbia University, NY, USA"
https://dblp.org/pid/06/8405-3,"Columbia University, New York, NY, USA"
https://dblp.org/pid/07/1021-1,"Columbia University, Department of Electrical Engineering, New York, NY, USA"
https://dblp.org/pid/07/314-74,"Columbia University, Department of Mechanical Engineering, New York, NY, USA"
https://dblp.org/pid/07/9222,"Columbia University, New York, NY, USA"
https://dblp.org/pid/09/1315-3,"Columbia University, Department of Mechanical Engineering, New York, NY, USA"
https://dblp.org/pid/09/1365-14,"Columbia University, Department of Industrial Engineering and Operations Research"
https://dblp.org/pid/09/5179-3,"Columbia University Irving Medical Center, New York, NY,USA"
https://dblp.org/pid/09/8504,"Columbia University, New York, NY, USA"
https://dblp.org/pid/10/2639-20,"Columbia University, New York, NY, USA"
https://dblp.org/pid/10/3047-1,"Columbia University, Department of Electrical Engineering / Department of Applied Physics and Applied Mathematics, NY, USA"
https://dblp.org/pid/116/4564,"Columbia University, Department of Computer Science"
https://dblp.org/pid/117/0322,"Columbia University, New York City, NY, USA"
https://dblp.org/pid/117/4807,"Columbia University, New York, USA"
https://dblp.org/pid/12/1198-41,"Columbia University, Department of Biomedical Engineering, NY, USA"
https://dblp.org/pid/12/5558,"Columbia University, New York City, USA"
https://dblp.org/pid/121/7086-8,"Columbia University, Data Science Institute, New York, NY, USA"
https://dblp.org/pid/122/6414,"Columbia University, New York, USA"
https://dblp.org/pid/124/2397,"Columbia University, Data Science Institute (DSI), Ney York, NY, USA"
https://dblp.org/pid/125/2298-2,"Columbia University, Electrical Engineering Department, New York, USA"
https://dblp.org/pid/125/4554,"Columbia University, New York, USA"
https://dblp.org/pid/126/1781,"Columbia University, Department of Psychiatry, New York, NY, USA"
https://dblp.org/pid/126/7826-4,"Columbia University, Department of Statistics, New York, NY, USA"
https://dblp.org/pid/13/3843,"Columbia University, New York City, USA"
https://dblp.org/pid/131/1966,"Columbia University, New York City, USA"
https://dblp.org/pid/131/2136,"Columbia University, New York City, USA"
https://dblp.org/pid/131/7559,"Columbia University, New York City. USA"
https://dblp.org/pid/135/4776,"Columbia University Medical Center, New York, USA"
https://dblp.org/pid/137/6081-8,"Columbia University, NY, USA"
https://dblp.org/pid/140/4193,"Columbia University, Teachers College"
https://dblp.org/pid/147/1381-2,"Columbia University, Department of Electrical Engineering, New York, NY, USA"
https://dblp.org/pid/15/3723,"Columbia University, Department of Biological Sciences, USA"
https://dblp.org/pid/15/832-7,"Columbia University, New York, NY, USA"
https://dblp.org/pid/15/9298,"Columbia University, Department of Industrial Engineering and Operations Research, New York City, NY, USA"
