author,affiliation
https://dblp.org/pid/07/5751-11,"City University of New York, CUNY, City College, Department of Computer Science, Borough of Manhattan Community College, NY, USA"
https://dblp.org/pid/09/2643,"The City College of CUNY, USA"
https://dblp.org/pid/136/2421,"Brooklyn College (CUNY), Department of Philosophy, NY, USA"
https://dblp.org/pid/17/1237-7,"Borough of Manhattan Community College CUNY, New York, NY, USA"
https://dblp.org/pid/24/1402-1,"College of Staten Island, CUNY, Staten Island, NY, USA"
https://dblp.org/pid/259/5206,"City College of New York, CUNY School of Medicine, New York, NY, USA"
https://dblp.org/pid/33/3251-1,"Department of Mathematics, The City College, CUNY, USA"
https://dblp.org/pid/46/8005,"CUNY, Department of Mathematics and Statistics, NY, USA"
https://dblp.org/pid/48/4407-3,"City University of New York, CUNY, USA"
https://dblp.org/pid/64/6025-77,"City University of New York, CUNY City College, Department of Electrical Engineering, NY, USA"
https://dblp.org/pid/81/3425-8,"City University of New York, CUNY, NY, USA"
https://dblp.org/pid/88/2827-9,"Borough of Manhattan Community College, CUNY, NY, USA"
https://dblp.org/pid/a/DavidMArnow,"Brooklyn College of CUNY, Brooklyn, NY, USA"
