author,affiliation
https://dblp.org/pid/01/4475,"DePaul University, Chicago, IL, USA"
https://dblp.org/pid/08/1640-1,"DePaul University, School of Computing, Computing and Digital Media, Chicago, IL, USA"
https://dblp.org/pid/115/8603-1,"DePaul University, School of Computing, Chicago, IL, USA"
https://dblp.org/pid/14/6922,"DePaul University, School of Computer Science, Telecommunication and Information Systems, Chicago, IL, USA"
https://dblp.org/pid/148/3679-2,"DePaul University, Chicago, IL, USA"
https://dblp.org/pid/18/4625-10,"DePaul University, Department of Management, Driehaus College of Business, Chicago, IL, USA"
https://dblp.org/pid/22/3870-2,"DePaul University, Chicago, IL, USA"
https://dblp.org/pid/26/5924-2,DePaul University
https://dblp.org/pid/27/1818,"DePaul University, Chicago, IL, USA"
https://dblp.org/pid/32/1497,"DePaul University, College of Computing and Digital Media, Chicago, IL, USA"
https://dblp.org/pid/33/10567-2,"DePaul University, School of Computing, Chicago, IL, USA"
https://dblp.org/pid/34/808-19,"DePaul University, School of Computer Science, Telecommunications and Information Systems, Chicago, IL, USA"
https://dblp.org/pid/37/5884,"DePaul University, Chicago, IL, USA"
https://dblp.org/pid/39/998,"DePaul University, School of Computing, Chicago, IL, USA"
https://dblp.org/pid/43/4720-8,"DePaul University, Chicago"
https://dblp.org/pid/46/4811,"DePaul University, School of Computing, Chicago, IL, USA"
https://dblp.org/pid/48/3166,"DePaul University, Chicago, IL, USA"
https://dblp.org/pid/48/8051,"DePaul University, Chicago, IL, USA"
https://dblp.org/pid/50/11295-3,"DePaul University, Chicago, IL, USA"
https://dblp.org/pid/54/2541,"DePaul University, Chicago, IL, USA"
https://dblp.org/pid/61/5931,"DePaul University, Chicago, IL, USA"
https://dblp.org/pid/61/8164,"DePaul University, Chicago, IL, USA"
https://dblp.org/pid/64/6025-194,"DePaul University, Department of Mathematical Sciences, Chicago, IL, USA"
https://dblp.org/pid/82/3380,"DePaul University, Chicago, IL, USA"
https://dblp.org/pid/86/475-9,"DePaul University, Chicago, USA"
https://dblp.org/pid/90/5449,"DePaul University, Chicago, IL, USA"
https://dblp.org/pid/93/11402-1,"DePaul University, College of Communication, Chicago, IL, USA"
https://dblp.org/pid/93/86,"DePaul University, Chicago, IL, USA"
