author,affiliation
https://dblp.org/pid/06/445-6,"Drexel University, Department of Computer Science, Philadelphia, PA, USA"
https://dblp.org/pid/06/5140-2,"Drexel University, College of Information Science and Technology, Philadelphia, PA, USA"
https://dblp.org/pid/07/314-6,"Drexel University, Philadelphia, PA, USA"
https://dblp.org/pid/07/9796,"Drexel University, Philadelphia, PA, USA"
https://dblp.org/pid/09/3121-1,"Drexel University, Philadelphia, Department of Mathematics"
https://dblp.org/pid/09/5042-3,"Drexel University, Department of Mechanical Engineering and Mechanics, Philadelphia, PA, USA"
https://dblp.org/pid/10/1178-13,"Drexel University, School of Biomedical Engineering, Science and Health Systems, Philadelphia, PA, USA"
https://dblp.org/pid/10/695-9,"Drexel University, Philadelphia, USA"
https://dblp.org/pid/11/7822,"Drexel University, Philadelphia, PA, USA"
https://dblp.org/pid/12/4463,"Drexel University, Philadelphia, USA"
https://dblp.org/pid/125/1251-1,"Drexel University, Philadelphia, PA, USA"
https://dblp.org/pid/127/3773,"Drexel University, USA"
https://dblp.org/pid/13/6137,"Drexel University, Philadelphia, PA, USA"
https://dblp.org/pid/141/5255,"Drexel University, Electrical & Computer Engineering Department, Philadelphia, PA, USA"
https://dblp.org/pid/152/0878,"Drexel University, Philadelphia, PA, USA"
https://dblp.org/pid/17/2703-14,"Drexel University, Department of Computer Science, Philadelphia, PA, USA"
https://dblp.org/pid/171/0477-2,"Drexel University, Department of Computer Science, Philadelphia, PA, USA"
https://dblp.org/pid/173/2551,"Drexel University, Philadelphia, PA, USA"
https://dblp.org/pid/178/7693,"Drexel University, Department of Mathematics and Computer Science, Philadelphia, Pennsylvania, USA"
https://dblp.org/pid/181/2817-102,"Drexel University, School of Biomedical Engineering / CONQUER, Philadelphia, PA, USA"
https://dblp.org/pid/181/2900,"Drexel University, Department of Neurobiology & Anatomy, Philadelphia, PA, USA"
https://dblp.org/pid/182/9303-1,"Drexel University, Electrical and Computer Engineering Department, Philadelphia, PA, USA"
https://dblp.org/pid/184/4424,"Drexel University, Philadelphia, PA, USA"
