author,affiliation
https://dblp.org/pid/01/3764,Duke University
https://dblp.org/pid/01/452-11,"Duke University, Durham, NC, USA"
https://dblp.org/pid/01/5265-2,"Duke University Medical Center, Durham, NC, USA"
https://dblp.org/pid/01/9164,"Duke University, Durham, USA"
https://dblp.org/pid/02/5889-44,"Duke University, Durham, NC, USA"
https://dblp.org/pid/02/6128-6,"Duke University, Department of Statistical Science, Durham, NC, USA"
https://dblp.org/pid/03/9437,"Duke University, Durham, NC, USA"
https://dblp.org/pid/04/1609,"Duke University, Durham, NC, USA"
https://dblp.org/pid/04/3348-25,"Duke University, Department of Electrical and Computer Engineering, Durham, NC, USA"
https://dblp.org/pid/04/3348-43,"Duke University, Department of Mechanical Engineering and Materials Science, Durham, NC, USA"
https://dblp.org/pid/04/6901-17,"Duke University, Durham, NC, USA"
https://dblp.org/pid/04/9663,"Duke University, Department of Biomedical Engineering, Durham NC, USA"
https://dblp.org/pid/05/1539-9,"Duke University, Durham, NC, USA"
https://dblp.org/pid/05/2112,"Duke University, Durham, NC, USA"
https://dblp.org/pid/05/3499-53,"Duke University, Department of Radiology, Durham, NC, USA"
https://dblp.org/pid/06/2293-88,"Duke University, Department of Electrical and Computer Engineering, Durham, NC, USA"
https://dblp.org/pid/06/3660,"Duke University, Durham, NC, USA"
https://dblp.org/pid/08/3276,"Duke University, Durham, NC, USA"
https://dblp.org/pid/09/3214-15,"Duke University, Durham, NC, USA"
https://dblp.org/pid/11/9718-2,"Duke University, USA"
https://dblp.org/pid/117/1706,"Duke University, Durham, NC, USA"
https://dblp.org/pid/119/2906,"Duke University, Department of Biomedical Engineering, Durham, NC, USA"
https://dblp.org/pid/12/8333-1,"Duke University, Department of Mathematics, Durham, NC, USA"
https://dblp.org/pid/123/7506,"Duke University Health System, Durham, NC, USA"
https://dblp.org/pid/125/8189-30,"Duke University, Department of Chemistry, Durham, NC, USA"
https://dblp.org/pid/128/1814,Duke University
https://dblp.org/pid/128/4145-1,"Duke University, Durham, NC, USA"
https://dblp.org/pid/129/5838-1,"Duke University, Beaufort, NC, USA"
https://dblp.org/pid/13/2692-17,"Duke University, Durham, NC, USA"
https://dblp.org/pid/13/5856-3,"Duke University, Center for Cognitive Neuroscience, Durham, NC, USA"
https://dblp.org/pid/13/7007-36,"Duke University, Department of Electrical and Computer Engineering, Durham, NC, USA"
https://dblp.org/pid/13/7007-6,"Duke University, Department of Mathematics, Durham, NC, USA"
https://dblp.org/pid/131/1224,"Duke University, Durham, NC, USA"
https://dblp.org/pid/132/4210-3,"Duke University, Durham, NC, USA"
https://dblp.org/pid/132/8928,Duke University
https://dblp.org/pid/136/5378,"Duke University, USA"
https://dblp.org/pid/136/9723-2,"Duke University, Durham, NC, USA"
https://dblp.org/pid/139/4257-3,"Duke University, Department of Radiation Oncology, Durham, NC, USA"
https://dblp.org/pid/14/6777-3,"Duke University, Department of Statistical Science, Durham, NC, USA"
https://dblp.org/pid/141/4293-21,"Duke University Medical Center, Durham, NC, USA"
https://dblp.org/pid/142/2761-3,"Duke University, Department of Mathematics, Durham, NC, USA"
https://dblp.org/pid/143/4459,"Duke University, Durham, USA"
https://dblp.org/pid/144/8546,Duke University
https://dblp.org/pid/145/9809,"Duke University, Department of Statistical Science, Durham, NC, USA"
https://dblp.org/pid/146/0715,"Duke University, Department of Statistical Science, USA"
https://dblp.org/pid/146/4840,"Duke University, Durham, NC, USA"
https://dblp.org/pid/146/6736-7,"Duke University, Center for Genomic and Computational Biology, Durham, NC, USA"
https://dblp.org/pid/15/2026,"Duke University, Durham, NC, USA"
https://dblp.org/pid/15/3199-3,"Duke University, Durham, NC, USA"
https://dblp.org/pid/15/828-7,"Duke University, Department of Electrical and Computer Engineering, Durham, NC, USA"
https://dblp.org/pid/15/9797,"Duke University, Medical Center, Durham, NC, USA"
https://dblp.org/pid/150/7810-1,"Duke University, Computer Science Department, Durham, NC, USA"
https://dblp.org/pid/152/5807,"Duke University, Durham, NC, USA"
https://dblp.org/pid/153/7782-2,"Duke University, Department of Computer Science, Durham, NC, USA"
https://dblp.org/pid/158/2544,"Duke University, Department of Biomedical Engineering, Durham, NC, USA"
https://dblp.org/pid/158/9711,"Duke University, Durham, USA"
https://dblp.org/pid/16/1537-2,"Duke University, Durham, NC, USA"
https://dblp.org/pid/16/5584-5,"Duke University, Department of Electrical and Computer Engineering, Durham, NC, USA"
https://dblp.org/pid/16/8675-1,Duke University
