author,affiliation
https://dblp.org/pid/02/5889-26,"Florida Atlantic University, Boca Raton, FL, USA"
https://dblp.org/pid/03/9031,"Florida Atlantic University, USA"
https://dblp.org/pid/10/4661-64,"Florida Atlantic University, Boca Raton, FL, USA"
https://dblp.org/pid/11/6859,"Florida Atlantic University, Center for Complex Systems & Brain Sciences"
https://dblp.org/pid/14/7448,"Florida Atlantic University, Boca Raton, FL, USA"
https://dblp.org/pid/143/0132,"Florida Atlantic University, Boca Raton, FL, USA"
https://dblp.org/pid/15/3326,"Florida Atlantic University, Boca Raton, FL, USA"
https://dblp.org/pid/156/1954,"Florida Atlantic University, Department of Finance and Real Estate, Boca Raton, FL, USA"
https://dblp.org/pid/159/1161-2,"Florida Atlantic University, Boca Raton, FL, USA"
https://dblp.org/pid/169/8143,"Florida Atlantic University, Boca Raton, FL, USA"
https://dblp.org/pid/18/5410-2,"Florida Atlantic University, Department of Computer and Electrical Engineering and Computer Science, Boca Raton, FL, USA"
https://dblp.org/pid/197/8710-1,"Florida Atlantic University, USF, Health Department of Radiology, Department of Computer and Electrical Engineering and Computer Science, FL, USA"
https://dblp.org/pid/200/1669,"Florida Atlantic University, Boca Raton, FL, USA"
https://dblp.org/pid/23/4512,"Florida Atlantic University, Department of Electrical Engineering, Boca Raton, FL, USA"
https://dblp.org/pid/238/6065,"Florida Atlantic University, Boca Raton, FL, USA"
https://dblp.org/pid/25/4561-1,"Florida Atlantic University, Department of Mathematical Sciences, USA"
https://dblp.org/pid/252/8491,"Florida Atlantic University, Boca Raton, FL, USA"
https://dblp.org/pid/26/4253,"Florida Atlantic University, Department of Computer & Electrical Engineering and Computer Science, Boca Raton, FL, USA"
https://dblp.org/pid/263/4417,"Florida Atlantic University, Boca Raton, FL, USA"
https://dblp.org/pid/270/7335,"Florida Atlantic University, Boca Raton, FL, USA"
https://dblp.org/pid/305/4248,"Florida Atlantic University, Boca Raton, FL, USA"
https://dblp.org/pid/36/5573,"Florida Atlantic University, Center for Complex Systems & Brain Sciences"
https://dblp.org/pid/364/2949,"Florida Atlantic University, Boca Raton, FL, USA"
https://dblp.org/pid/37/4190-166,"Florida Atlantic University, Department of Mathematical Sciences, Boca Raton, FL, USA"
https://dblp.org/pid/41/3241-5,"Florida Atlantic University, Department of Mathematical Sciences, Boca Raton, FL, USA"
https://dblp.org/pid/43/4631-1,"Florida Atlantic University, Boca Raton, USA"
https://dblp.org/pid/43/8075-1,"Florida Atlantic University, Department of Physics, Boca Raton, FL, USA"
https://dblp.org/pid/44/6196,"Florida Atlantic University, Boca Ratom, USA"
https://dblp.org/pid/44/9871,"Florida Atlantic University, Boca Raton, Florida, USA"
https://dblp.org/pid/45/3501,"Florida Atlantic University, Boca Raton, FL, USA"
https://dblp.org/pid/45/6638,"Florida Atlantic University, Boca Raton, USA"
https://dblp.org/pid/46/4105,"Florida Atlantic University, Boca Raton, Florida, USA"
https://dblp.org/pid/48/450-38,"Florida Atlantic University, Department of Mathematical Sciences, Boca Raton, FL, USA"
https://dblp.org/pid/49/6466,"Florida Atlantic University, Davie, FL, USA"
https://dblp.org/pid/50/3402-48,"Florida Atlantic University, Boca Raton, FL, USA"
https://dblp.org/pid/55/4874,"Florida Atlantic University, Boca Ratom, USA"
https://dblp.org/pid/60/4502,"Florida Atlantic University, Boca Raton, FL, USA"
https://dblp.org/pid/61/4380-2,"Florida Atlantic University, Department of Computer, Electrical Engineering and Computer Science,, Boca Raton, FL, USA"
https://dblp.org/pid/63/1597,"Florida Atlantic University, Boca Ratom, USA"
https://dblp.org/pid/73/2252-25,"Florida Atlantic University, Boca Raton, FL, USA"
https://dblp.org/pid/74/10798,"Florida Atlantic University, Boca Raton, FL, USA"
https://dblp.org/pid/74/2101-1,"Florida Atlantic University, Boca Raton, USA"
https://dblp.org/pid/74/2853-3,"Florida Atlantic University, Boca Raton, FL, USA"
https://dblp.org/pid/79/5703,"Florida Atlantic University, Boca Ratom, USA"
https://dblp.org/pid/80/10884,"Florida Atlantic University, Boca Raton, FL, USA"
https://dblp.org/pid/88/4782-1,"Florida Atlantic University, Boca Raton, FL, USA"
https://dblp.org/pid/89/1615-3,"Florida Atlantic University, Boca Raton, USA"
https://dblp.org/pid/90/10701,"Florida Atlantic University, Boca Ratom, USA"
https://dblp.org/pid/94/5034-1,"Florida Atlantic University, Department of Computer Science and Engineering, Boca Raton, FL, USA"
https://dblp.org/pid/97/3121-2,"Florida Atlantic University, USA"
https://dblp.org/pid/97/5641,"Florida Atlantic University, Boca Raton, FL, USA"
https://dblp.org/pid/c/MihaelaCardei,"Florida Atlantic University, Boca Raton, Florida, USA"
https://dblp.org/pid/f/BorkoFurht,Florida Atlantic University
https://dblp.org/pid/f/EBFernandez,"Florida Atlantic University, Boca Raton, Florida, USA"
https://dblp.org/pid/k/TMKhoshgoftaar,"Florida Atlantic University, Boca Raton, Florida, USA"
https://dblp.org/pid/l/MariaMLarrondoPetrie,"Florida Atlantic University, Boca Raton, Florida, USA"
https://dblp.org/pid/m/ImadMahgoub,"Florida Atlantic University, Boca Raton, Florida, USA"
https://dblp.org/pid/p/DimitriosAPados,"Florida Atlantic University, USA"
https://dblp.org/pid/v/MichaelVanHilst,"Florida Atlantic University, Boca Raton, Florida, USA"
