author,affiliation
https://dblp.org/pid/18/811,"Florida Institute of Technology (FIT), Melbourne, FL, USA"
https://dblp.org/pid/181/1844-3,Florida Institute of Technology
https://dblp.org/pid/188/7759-5,"Florida Institute of Technology, Melbourne, FL, USA"
https://dblp.org/pid/21/1975,"Florida Institute of Technology, Department of Computer Sciences, Melbourne, FL, USA"
https://dblp.org/pid/21/4914,"Florida Institute of Technology, Mechanical and Aerospace Engineering, Melbourne, FL, USA"
https://dblp.org/pid/21/818,"Florida Institute of Technology, Melbourne, FL, USA"
https://dblp.org/pid/247/6313,"Florida Institute of Technology, Melbourne, USA"
https://dblp.org/pid/291/2246,"Florida Institute of Technology, Melbourne, USA"
https://dblp.org/pid/345/2187,"Florida Institute of Technology, L3Harris Institute for Assured Information, USA"
https://dblp.org/pid/37/9813,"Florida Institute of Technology, Melbourne, FL, USA"
https://dblp.org/pid/41/3357,"Florida Institute of Technology, Melbourne, FL, USA"
https://dblp.org/pid/44/5521-21,"Florida Institute of Technology, Melbourne, FL, USA"
https://dblp.org/pid/50/5019-1,"Florida Institute of Technology, Melbourne, FL, USA"
https://dblp.org/pid/67/10388-2,"Florida Institute of Technology, Melbourne, FL, USA"
https://dblp.org/pid/73/6520-5,"Florida Institute of Technology, Melbourne, FL, USA"
https://dblp.org/pid/81/2866-3,"Florida Institute of Technology, FL, USA"
https://dblp.org/pid/95/2982,"Florida Institute of Technology, Melbourne, FL, USA"
https://dblp.org/pid/c/MarcoMCarvalho,"Florida Institute of Technology, Melbourne, FL, USA"
https://dblp.org/pid/g/KBGallagher,"Florida Institute of Technology, Melbourne, FL, USA"
https://dblp.org/pid/s/MariusCalinSilaghi,"Florida Institute of Technology, Melbourne, USA"
