author,affiliation
https://dblp.org/pid/00/744,Florida International University
https://dblp.org/pid/01/10648-4,"Florida International University, School of Computing and Information Sciences, Miami, FL, USA"
https://dblp.org/pid/01/5135-2,"Florida International University, Miami, FL, USA"
https://dblp.org/pid/05/5046-1,"Florida International University, Miami, FL, USA"
https://dblp.org/pid/07/6773-1,"Florida International University, Department of Electrical and Computer Engineering, Miami, FL, USA"
https://dblp.org/pid/07/6819-1,"Florida International University, School of Computing and Information Sciences, Miami, FL, USA"
https://dblp.org/pid/09/5042-2,"Florida International University, School of Computer Science, Miami, FL, USA"
https://dblp.org/pid/10/3520-7,"Florida International University, Department of Electrical and Computer Engineering, Miami, FL, USA"
https://dblp.org/pid/117/7441,"Florida International University, Miami, FL, USA"
https://dblp.org/pid/125/0177,"Florida International University, Department of Civil and Environmental Engineering, Miami, FL, USA"
https://dblp.org/pid/13/4977,Florida International University
https://dblp.org/pid/13/5969-6,"Florida International University, Miami, FL, USA"
https://dblp.org/pid/13/7007-1,"Florida International University, School of Computing and Information Sciences, Miami, FL, USA"
https://dblp.org/pid/136/8587,"Florida International University, Miami, USA"
https://dblp.org/pid/146/8058,"Florida International University, University Park, FL, USA"
https://dblp.org/pid/147/1591-3,"Florida International University, FL, USA"
https://dblp.org/pid/156/8978,"Florida International University, Dept. of Electrical & Computer Engineering, Miami, FL, USA"
https://dblp.org/pid/16/3222,"Florida International University, University Park, Miami, FL"
https://dblp.org/pid/164/8496,"Florida International University, School of Computing and Information Sciences, Miami, FL, USA"
https://dblp.org/pid/165/3957,"Florida International University, University Park, FL, USA"
https://dblp.org/pid/165/7114,"Florida International University, University Park, FL, USA"
https://dblp.org/pid/168/4976,"Florida International University, Miami, FL, USA"
https://dblp.org/pid/173/9542,"Florida International University, Department of Biomedical Engineering, University Park, FL, USA"
https://dblp.org/pid/185/5844,"Florida International University, University Park, USA"
https://dblp.org/pid/188/3349,"Florida International University, Miami, FL, USA"
https://dblp.org/pid/20/3535-2,Florida International University
https://dblp.org/pid/204/6039,"Florida International University, Psychology Department, Miami, FL, USA"
https://dblp.org/pid/21/4763,"Florida International University, Miami, FL, USA"
https://dblp.org/pid/22/2544-2,"Florida International University, School of Computing and Information Sciences, FL, USA"
https://dblp.org/pid/222/6548,"Florida International University, FL, USA"
https://dblp.org/pid/23/83,"Florida International University, Department of Electrical and Computer Engineering, Miami, USA"
https://dblp.org/pid/243/2583-2,"Florida International University, Miami, FL, USA"
https://dblp.org/pid/245/6476,"Florida International University, Miami, FL, USA"
https://dblp.org/pid/26/8140,"Florida International University, Miami, FL, USA"
https://dblp.org/pid/26/9798,"Florida International University, School of Computing and Information Sciences, Miami, FL, USA"
https://dblp.org/pid/27/8885,"Florida International University, USA"
https://dblp.org/pid/27/918-2,"Florida International University, Miami, FL, USA"
https://dblp.org/pid/296/7150,"Florida International University, Miami, FL, USA"
https://dblp.org/pid/30/10201,"Florida International University, Miami, FL, USA"
https://dblp.org/pid/330/1632,"Florida International University, Miami, FL, USA"
https://dblp.org/pid/35/3393-3,"Florida International University, Miami, FL, USA"
https://dblp.org/pid/35/4073-2,"Florida International University, Miami, FL, USA"
https://dblp.org/pid/35/7092-27,"Florida International University, Miami, FL, USA"
https://dblp.org/pid/353/5347,"Florida International University, FL, USA"
https://dblp.org/pid/36/2470,"Florida International University, Miami, FL, USA"
https://dblp.org/pid/36/9122,"Florida International University, Department of Decision Sciences and Information Systems, Miami, FL, USA"
https://dblp.org/pid/380/6280,"Florida International University Miami, FL, USA"
https://dblp.org/pid/40/2237-2,Florida International University
https://dblp.org/pid/40/6215,"Florida International University, Department of Finance, Miami, USA"
https://dblp.org/pid/44/3371-10,"Florida International University, School of Computing and Information Sciences, Miami, FL, USA"
https://dblp.org/pid/46/1500,"Florida International University, Miami, FL, USA"
https://dblp.org/pid/48/4825-5,"Florida International University, School of Computing and Information Sciences, Miami, FL, USA"
https://dblp.org/pid/48/6815,"Florida International University, Miami, FL, USA"
https://dblp.org/pid/50/6996-26,"Florida International University, College of Business, Department of Information Systems and Business Analytics, Miami, FL, USA"
https://dblp.org/pid/55/4104-2,"Florida International University, USA"
https://dblp.org/pid/61/500-19,"Florida International University, School of Computing and Information Sciences, Miami, FL, USA"
https://dblp.org/pid/61/5966,"Florida International University, University Park, FL, USA"
https://dblp.org/pid/61/9620-1,"Florida International University, School of Computing and Information Sciences, Miami, FL, USA"
https://dblp.org/pid/63/1303-24,"Florida International University, School of Computing and Information Sciences, Miami, FL, USA"
https://dblp.org/pid/64/6544-5,"Florida International University, University Park, FL, USA"
https://dblp.org/pid/67/2030-8,"Florida International University, Miami, FL, USA"
https://dblp.org/pid/70/5884,"Florida International University, Miami, FL, USA"
https://dblp.org/pid/74/2363,"Florida International University, Miami, FL, USA"
https://dblp.org/pid/74/3808-4,"Florida International University, Miami, FL, USA"
https://dblp.org/pid/75/9225,"Florida International University, Miami, FL, USA"
https://dblp.org/pid/78/5587-1,"Florida International University, School of Computer Science, Miami, FL, USA"
https://dblp.org/pid/80/1961-2,"Florida International University, School of Computing and Information Sciences, Miami, FL, USA"
https://dblp.org/pid/80/6212,"Florida International University, University Park, FL, USA"
https://dblp.org/pid/88/2827-16,"Florida International University, College of Business, Miami, FL, USA"
https://dblp.org/pid/88/8398-3,"Florida International University, Miami, FL, USA"
https://dblp.org/pid/91/1021,"Florida International University, University Park, FL, USA"
https://dblp.org/pid/95/182,"Florida International University, Miami, FL, USA"
https://dblp.org/pid/98/5766-12,"Florida International University, Miami, FL, USA"
https://dblp.org/pid/c/ShuChingChen,"Florida International University, University Park, FL, USA"
https://dblp.org/pid/d/YiDeng,"Florida International University, University Park, FL, USA"
https://dblp.org/pid/i/SSitharamaIyengar,"Florida International University, Miami, FL, USA"
https://dblp.org/pid/n/JainendraKNavlakha,"Florida International University, University Park, FL, USA"
https://dblp.org/pid/o/CyrilUOrji,"Florida International University, University Park, FL, USA"
https://dblp.org/pid/p/AnaPasztor,"Florida International University, University Park, FL, USA"
https://dblp.org/pid/p/NPissinou,"Florida International University, University Park, FL, USA"
https://dblp.org/pid/r/NaphtaliRishe,"Florida International University, University Park, FL, USA"
https://dblp.org/pid/s/SeyedMasoudSadjadi,"Florida International University, University Park, FL, USA"
https://dblp.org/pid/w/MarkAllenWeiss,"Florida International University, University Park, FL, USA"
