author,affiliation
https://dblp.org/pid/03/5142-1,"Florida State University, Tallahassee, FL, USA"
https://dblp.org/pid/03/7067-7,"Florida State University, Tallahassee, FL, USA"
https://dblp.org/pid/04/1053,"Florida State University, College of Information"
https://dblp.org/pid/09/275,"Florida State University, College of Business, Tallahassee, FL, USA"
https://dblp.org/pid/09/3391,"Florida State University, Tallahassee, USA"
https://dblp.org/pid/10/4661-20,"Florida State University, Tallahassee, FL, USA"
https://dblp.org/pid/12/1198-3,"Florida State University, Tallahassee, FL, USA"
https://dblp.org/pid/122/2903,"Florida State University, Tallahassee, USA"
https://dblp.org/pid/125/8678,"Florida State University, Information Institute, Tallahassee, FL, USA"
https://dblp.org/pid/126/1838,"Florida State University, Tallahassee, FL, USA"
https://dblp.org/pid/130/6295,"Florida State University, College of Business, Tallahassee, FL, USA"
https://dblp.org/pid/17/6438,"Florida State University, Department of Scientific Computing, Tallahassee, Fl, USA"
https://dblp.org/pid/17/9409,"Florida State University, Tallahassee, FL, USA"
https://dblp.org/pid/18/4087-5,"Florida State University, Department of Statistics, Tallahassee, FL, USA"
https://dblp.org/pid/18/4350-1,"Florida State University, Tallahassee, FL, USA"
https://dblp.org/pid/181/2580,"Florida State University, Tallahassee, FL, USA"
https://dblp.org/pid/192/9996-4,"Florida State University, Department of Educational Psychology and Learning Systems, Tallahassee, FL, USA"
https://dblp.org/pid/195/4155-3,"Florida State University, Department of Economics, Tallahassee, FL, USA"
https://dblp.org/pid/20/4945-2,"Florida State University, Tallahassee, FL, USA"
https://dblp.org/pid/206/9819-4,"Florida State University, Tallahassee, FL, USA"
https://dblp.org/pid/212/9687,"Florida State University, Department of Mathematics, Tallahassee, FL, USA"
https://dblp.org/pid/215/9292,"Florida State University, Department of Psychology, Tallahassee, FL, USA"
https://dblp.org/pid/216/6341-5,"Florida State University, Tallahassee, FL, USA"
https://dblp.org/pid/216/8512,"Florida State University, STRIDe Lab, Tallahassee, FL, USA"
https://dblp.org/pid/223/5891,"Florida State University, Tallahassee, FL, USA"
https://dblp.org/pid/242/3350,"Florida State University, Department of Statistics, Tallahassee, FL, USA"
https://dblp.org/pid/26/2238-1,"Florida State University, Center for Ocean-Atmospheric Studies, Tallahassee, FL, USA"
https://dblp.org/pid/27/7017-6,Florida State University
https://dblp.org/pid/281/4106,"Florida State University, Tallahassee, FL, USA"
