author,affiliation
https://dblp.org/pid/01/4688,"George Washington University, Washington, DC, USA"
https://dblp.org/pid/02/41-5,"George Washington University, Washington, DC, USA"
https://dblp.org/pid/03/6677,George Washington University
https://dblp.org/pid/07/3021,"George Washington University, School of Engineering and Applied Science, Washington, DC, USA"
https://dblp.org/pid/08/6001-15,"George Washington University, Department of Biochemistry and Molecular Medicine, Washington, DC, USA"
https://dblp.org/pid/10/4014,"George Washington University, Washington, DC, USA"
https://dblp.org/pid/10/4661-52,"George Washington University, Washington, DC, USA"
https://dblp.org/pid/116/3315,"George Washington University, Department of Electrical and Computer Engineering, Washington, DC, USA"
https://dblp.org/pid/120/9110-4,"George Washington University, Washington, DC, USA"
https://dblp.org/pid/13/5236-38,"George Washington University, Department of Mechanical and Aerospace Engineering, Washington, DC, USA"
https://dblp.org/pid/130/4758,"George Washington University, Washington, DC, USA"
https://dblp.org/pid/132/4296,"George Washington University, Department of Engineering Management and Systems Engineering, Washington, DC, USA"
https://dblp.org/pid/132/7994,"George Washington University, Washington, D.C., USA"
https://dblp.org/pid/14/8368-2,"George Washington University, GWU, Department of Computer Science, WA, USA"
https://dblp.org/pid/140/4003-1,"George Washington University, Department of Computer Science, Washington, DC, USA"
https://dblp.org/pid/15/4305,"George Washington University, Department of Computer Science, Washington, DC, USA"
https://dblp.org/pid/15/885-4,"George Washington University, Department of Mechanical and Aerospace Engineering, USA"
https://dblp.org/pid/16/4136-4,"George Washington University, Departments of Mechanical and Aerospace Engineering, Biomedical Engineering, and Medicine, DC, USA"
https://dblp.org/pid/17/5705-57,"George Washington University, Washington, D.C., USA"
https://dblp.org/pid/170/7546,"George Washington University, Washington, DC, USA"
https://dblp.org/pid/172/0638-1,"George Washington University, Decision Making and Systems Architecture Laboratory, Washington, DC, USA"
https://dblp.org/pid/174/3887-3,"George Washington University, Department of Electrical and Computer Engineering, Washington DC, USA"
https://dblp.org/pid/181/2613-30,"George Washington University, Department of Electrical and Computer Engineering, Washington, DC, USA"
https://dblp.org/pid/182/9738,"George Washington University, Department of Engineering Management and Systems Engineering, Washington, DC, USA"
https://dblp.org/pid/183/8973-2,"George Washington University, Washington, DC, USA"
https://dblp.org/pid/184/9052,"George Washington University, Department of Computer Science, Washington, DC, USA"
https://dblp.org/pid/20/6740,"George Washington University, Washington, D.C., USA"
https://dblp.org/pid/22/222,"George Washington University, Computational Biology Institute, Ashburn, USA"
https://dblp.org/pid/23/7514-2,"George Washington University, Department of Computer Science"
https://dblp.org/pid/23/7729,"George Washington University, Department of Biostatistics and Bioinformatics, Computational Biology Institute, DC, USA"
https://dblp.org/pid/26/4956,"George Washington University, Biomedical Informatics Center, Washington, DC, USA"
https://dblp.org/pid/27/715,"George Washington University, Washington, D.C., USA"
https://dblp.org/pid/28/11413-4,"George Washington University Law School, Washington, DC, USA"
https://dblp.org/pid/31/83-1,"George Washington University, Department of Electrical and Computer Engineering, Washington, DC, USA"
https://dblp.org/pid/323/9260-2,"George Washington University, Washington, D.C., USA"
https://dblp.org/pid/34/851-2,"George Washington University Medical Center, Washington, DC, USA"
https://dblp.org/pid/40/2550,"George Washington University, Department of Computer Science, Washington, DC, USA"
https://dblp.org/pid/45/9461,"George Washington University, Washington, DC, USA"
https://dblp.org/pid/48/46,"George Washington University, Washington, D.C., USA"
https://dblp.org/pid/52/9077-4,"George Washington University, Washington, DC, USA"
https://dblp.org/pid/53/2189-87,"George Washington University, Washington, DC, USA"
https://dblp.org/pid/55/1628-2,The George Washington University
https://dblp.org/pid/59/10106-3,"George Washington University, Washington, DC, USA"
https://dblp.org/pid/59/1593,"George Washington University, Washington, D.C., USA"
https://dblp.org/pid/60/6636,"George Washington University, DC, USA"
https://dblp.org/pid/61/6809-1,"George Washington University, Department of Mathematics, Washington, DC, USA"
https://dblp.org/pid/62/5527,"George Washington University, Department of Computer Science, Washington, DC, USA"
https://dblp.org/pid/62/885-2,"George Washington University, Washington, D.C., USA"
https://dblp.org/pid/63/5507,"The George Washington University, Washington, DC, USA"
https://dblp.org/pid/64/6025-167,"George Washington University, Department of Computer Science, Washington, DC, USA"
https://dblp.org/pid/64/6025-35,"George Washington University, Genomics and Precision Medicine, Washington, DC, USA"
https://dblp.org/pid/65/4062-8,"George Washington University, Washington, DC, USA"
https://dblp.org/pid/67/6445,"George Washington University, Department of Statistics, Washington, DC, USA"
https://dblp.org/pid/69/6013-1,"George Washington University, Department of Electrical and Computer Engineering, Washington, DC, USA"
https://dblp.org/pid/71/5005-3,"George Washington University, Department of Biomedical Engineering, Washington, DC, USA"
https://dblp.org/pid/72/6811-52,"George Washington University, Washington, DC, USA"
https://dblp.org/pid/77/3847-1,"George Washington University, Washington, DC, USA"
https://dblp.org/pid/83/132,George Washington University
https://dblp.org/pid/84/7272-1,"George Washington University, Department of Computer Science, Washington, DC, USA"
https://dblp.org/pid/86/6196-29,"George Washington University, Department of Electrical and Computer Engineering, Washington, DC, USA"
https://dblp.org/pid/92/4786-1,"George Washington University, Department of Electrical and Computer Engineering, DC, USA"
https://dblp.org/pid/92/6289-20,"George Washington University, Washington, DC, USA"
https://dblp.org/pid/93/2001,"George Washington University, Washington, DC, USA"
https://dblp.org/pid/95/10802,"George Washington University, Department of Electrical and Computer Engineering, Washington, D.C., USA"
https://dblp.org/pid/97/451-4,"George Washington University, Washington, DC, USA"
https://dblp.org/pid/98/3590-1,The George Washington University
https://dblp.org/pid/99/3041,"George Washington University, Washington, DC, USA"
https://dblp.org/pid/e/TarekAElGhazawi,"George Washington University, Washington, D.C., USA"
https://dblp.org/pid/g/DavidAlanGrier,"George Washington University, Washington, D.C., USA"
https://dblp.org/pid/j/SanjayJain3,"George Washington University, Washington, DC, USA"
https://dblp.org/pid/l/JimingLiu,"George Washington University, School of Engineering and Applied Science, Department of Operations Research, Washington, DC, USA"
https://dblp.org/pid/l/MurrayHLoew,"George Washington University, Washington, D.C., USA"
https://dblp.org/pid/m/CDMartin,"George Washington University, Washington, D.C., USA"
https://dblp.org/pid/m/HosamMMahmoud,"George Washington University, Washington, D.C., USA"
https://dblp.org/pid/m/WDMaurer,"George Washington University, Washington, D.C., USA"
https://dblp.org/pid/p/PLVora,"George Washington University, Washington, D.C., USA"
https://dblp.org/pid/s/NozerDSingpurwalla,"George Washington University, Washington, D.C., USA"
https://dblp.org/pid/w/TimothyWood,"George Washington University, Washington, D.C., USA"
