author,affiliation
https://dblp.org/pid/04/4034,"Georgetown University, Washington, DC, USA"
https://dblp.org/pid/04/999-1,Georgetown University
https://dblp.org/pid/07/314-51,"Georgetown University Medical Center, Washington, DC, USA"
https://dblp.org/pid/07/6773-11,"Georgetown University, Washington, D.C., USA"
https://dblp.org/pid/09/8717,"Georgetown University, Department of Physics, Washington, DC, USA"
https://dblp.org/pid/121/1289-1,"Georgetown University, Washington D.C., USA"
https://dblp.org/pid/127/3830,"Georgetown University, Washington, D.C., USA"
https://dblp.org/pid/134/5377,"Georgetown University, Washington, D.C., USA"
https://dblp.org/pid/141/9244,"Georgetown University, Washington D.C., USA"
https://dblp.org/pid/146/3853-2,"Georgetown University, Washington, DC, USA"
https://dblp.org/pid/16/75,"Georgetown University, Washington, DC, USA"
https://dblp.org/pid/168/2335-1,"Georgetown University, Washington, DC, USA"
https://dblp.org/pid/220/9056,"Georgetown University, Medical Center, Washington, DC, USA"
https://dblp.org/pid/24/1577,"Georgetown University Medical Center, Washington, DC, USA"
https://dblp.org/pid/24/1747,"Georgetown University, Law Center, Washington, DC, USA"
https://dblp.org/pid/31/9014,"Georgetown University, Washington, DC, USA"
https://dblp.org/pid/37/9972,"Georgetown University, Washington, DC, USA"
https://dblp.org/pid/38/5487-2,"Georgetown University, Lombardi Cancer Center, Washington, DC, USA"
https://dblp.org/pid/39/6153-15,"Georgetown University, USA"
https://dblp.org/pid/41/3979-4,Georgetown University
https://dblp.org/pid/46/1354,"Georgetown University Washington, DC, USA"
https://dblp.org/pid/51/3710-213,"Georgetown University, Washington, DC, USA"
https://dblp.org/pid/54/10823,"Georgetown University, Washington, DC, USA"
https://dblp.org/pid/55/1433,"Georgetown University, Washington, DC, USA"
https://dblp.org/pid/56/2402-2,"Georgetown University, Department of Mathematics and Statistics, Washington, DC, USA"
https://dblp.org/pid/64/4755,"Georgetown University, Washington, D.C., USA"
https://dblp.org/pid/65/801,"Georgetown University, Washington, DC, USA"
https://dblp.org/pid/69/3209,"Georgetown University, Washington, DC, USA"
https://dblp.org/pid/98/6904,"Georgetown University, Washington, DC, USA"
https://dblp.org/pid/f/OphirFrieder,Georgetown University
https://dblp.org/pid/g/DavidAGrossman,Georgetown University
