author,affiliation
https://dblp.org/pid/01/2082-1,"Georgia State University, Department of Computer Science, Creative Media Industries Institute, GA, USA"
https://dblp.org/pid/05/3499-10,"Georgia State University, Department of Mathematics and Statistics, Atlanta, GA, USA"
https://dblp.org/pid/07/227,"Georgia State University, Atlanta, Georgia, USA"
https://dblp.org/pid/11/10822-2,"Georgia State University, Atlanta, GA, USA"
https://dblp.org/pid/12/2832,"Georgia State University, Atlanta, GA, USA"
https://dblp.org/pid/124/2262-1,"Georgia State University, Atlanta, GA, USA"
https://dblp.org/pid/13/2225,"Georgia State University, Atlanta, GA, USA"
https://dblp.org/pid/13/2692-12,"Georgia State University, Department of Computer Science, Atlanta, GA, USA"
https://dblp.org/pid/132/8767,"Georgia State University, USA"
https://dblp.org/pid/139/6932-4,"Georgia State University, USA"
https://dblp.org/pid/14/5155-1,"Georgia State University, Atlanta, GA, USA"
https://dblp.org/pid/15/5668,"Georgia State University, Department of Computer Information Systems, Atlanta, GA, USA"
https://dblp.org/pid/15/763,"Georgia State University, USA"
https://dblp.org/pid/152/6058,"Georgia State University, College of Business, Atlanta, GA, USA"
https://dblp.org/pid/16/1408,"Georgia State University, Atlanta, GA, USA"
https://dblp.org/pid/163/6904,"Georgia State University, USA"
https://dblp.org/pid/174/3887-2,"Georgia State University, Georgia Institute of Technology, Emory University, Tri-Institutional Center for Translational Research in Neuroimaging and Data Science (TReNDS), Atlanta, GA, USA"
https://dblp.org/pid/206/2523,"Georgia State University, Atlanta, GA, USA"
https://dblp.org/pid/22/3845,Georgia State University
https://dblp.org/pid/22/393,"Georgia State University, Atlanta, GA, USA"
https://dblp.org/pid/229/7428,"Georgia State University, College of Business, Atlanta, GA, USA"
https://dblp.org/pid/23/132,"Georgia State University, Atlanta, GA, USA"
https://dblp.org/pid/24/401,"Georgia State University, Atlanta, GA, USA"
https://dblp.org/pid/25/3876-5,"Georgia State University, GA, USA"
https://dblp.org/pid/28/949-3,"Georgia State University, Department of Computer Science, Atlanta, GA, USA"
https://dblp.org/pid/29/1374-1,"Georgia State University, Department of Computer Science, Atlanta, GA, USA"
https://dblp.org/pid/29/563-14,"Georgia State University, Department of Computer Science, Atlanta, GA, USA"
https://dblp.org/pid/303/6071,"Georgia State University, USA"
https://dblp.org/pid/31/5772-8,"Georgia State University, Atlanta, GA, USA"
https://dblp.org/pid/31/9124,"Georgia State University, Department of Philosophy"
https://dblp.org/pid/33/4822-19,"Georgia State University, Atlanta, GA, USA"
https://dblp.org/pid/33/6749-1,"Georgia State University, Atlanta, GA, USA"
https://dblp.org/pid/34/2282,"Georgia State University, Atlanta, GA, USA"
https://dblp.org/pid/36/7291,Georgia State University
https://dblp.org/pid/37/4190-146,"Georgia State University, Department of Computer Science, Atlanta, GA, USA"
https://dblp.org/pid/39/7337,"Georgia State University, Atlanta, Georgia"
https://dblp.org/pid/40/1491-80,"Georgia State University, Atlanta, GA, USA"
https://dblp.org/pid/41/1781,"Georgia State University, Atlanta, GA, USA"
https://dblp.org/pid/43/6883-1,"Georgia State University, Atlanta, GA, USA"
https://dblp.org/pid/51/4138-5,"Georgia State University, Department of Mathematics and Statistics, Atlanta, GA, USA"
https://dblp.org/pid/52/3692,"Georgia State University, Atlanta, GA, USA"
https://dblp.org/pid/56/4058,"Georgia State University, Atlanta, GA, USA"
https://dblp.org/pid/60/6028-2,"Georgia State University, Atlanta, GA, USA"
https://dblp.org/pid/62/1798,Georgia State University
https://dblp.org/pid/63/216-14,"Georgia State University, Department of Mathematics and Statistics, Atlanta, GA, USA"
https://dblp.org/pid/64/5666-23,"Georgia State University, Department of Computer Science, Atlanta, GA, USA"
https://dblp.org/pid/64/6025-59,"Georgia State University, Department of Computer Science, Atlanta, GA, USA"
https://dblp.org/pid/67/4510-1,"Georgia State University, Department of Computer Science, Atlanta, GA, USA"
https://dblp.org/pid/68/2690,"Robinson College of Business, Georgia State University, Atlanta, GA, USA"
https://dblp.org/pid/72/872-46,"Tri-Institutional Center for Translational Research in Neuroimaging and Data Science (TReNDS), Georgia State University, Georgia Institute of Technology, and Emory University, Atlanta, GA, USA"
https://dblp.org/pid/74/1473,"Georgia State University, Atlanta, GA, USA"
https://dblp.org/pid/76/1357,"Georgia State University, Atlanta, GA, USA"
https://dblp.org/pid/84/2846-4,"Georgia State University, GA, USA"
https://dblp.org/pid/84/4809-3,"Georgia State University, Atlanta, GA, USA"
https://dblp.org/pid/85/7191,"Middle Georgia State University, GA, USA"
https://dblp.org/pid/92/1533,"Georgia State University, Atlanta, USA"
https://dblp.org/pid/97/8704-91,"Georgia State University, Department of Computer Science, Atlanta, GA, USA"
https://dblp.org/pid/98/2427-7,"Georgia State University, Department of Computer Science, Atlanta, GA, USA"
https://dblp.org/pid/b/SaeidBelkasim,"Georgia State University, Atlanta, GA, USA"
https://dblp.org/pid/k/MarkKeil,"Georgia State University, College of Business, Atlanta, GA, USA"
https://dblp.org/pid/l/BingLiu17,"Georgia State University, Department of Mathematics and Statistics, Atlanta, GA, USA"
https://dblp.org/pid/r/WNRobinson,"Georgia State University, Computer Information Systems Department"
https://dblp.org/pid/s/RSunderraman,"Georgia State University, Atlanta, GA, USA"
https://dblp.org/pid/v/VijayKVaishnavi,"Georgia State University, Atlanta, GA, USA"
https://dblp.org/pid/z/AZelikovsky,"Georgia State University, Department of Computer Science"
https://dblp.org/pid/z/YanqingZhang,"Georgia State University, Atlanta, GA, USA"
