author,affiliation
https://dblp.org/pid/00/1079-1,"Illinois Institute of Technology, Chicago, IL, USA"
https://dblp.org/pid/02/1443-2,"Illinois Institute of Technology, Chicago, IL, USA"
https://dblp.org/pid/05/1958-4,"Illinois Institute of Technology, Department of Biomedical Engineering, Chicago, IL, USA"
https://dblp.org/pid/09/10211-6,"Illinois Institute of Technology, Department of Electrical and Computer Engineering, ECASP, Chicago, IL, USA"
https://dblp.org/pid/09/3012,"Illinois Institute of Technology, Chicago, IL, USA"
https://dblp.org/pid/10/4661-39,Illinois Institute of Technology
https://dblp.org/pid/10/5630-115,"Illinois Institute of Technology, Department of Computer Science, Chicago, IL, USA"
https://dblp.org/pid/117/2385,"Illinois Institute of Technology, Chicago, IL, USA"
https://dblp.org/pid/13/1520-2,"Illinois Institute of Technology, Department of Computer Science, Chicago, IL, USA"
https://dblp.org/pid/13/3953-2,"Illinois Institute of Technology, Department of Computer Science, IL, USA"
https://dblp.org/pid/134/4956-1,"Illinois Institute of Technology, Embedded Computing and Signal Processing Research Laboratory, Chicago, IL, USA"
https://dblp.org/pid/138/1887,"Illinois Institute of Technology, Chicago, IL, USA"
https://dblp.org/pid/138/9443,"Illinois Institute of Technology, Chicago, IL, USA"
https://dblp.org/pid/160/9978,"Illinois Institute of Technology, Department of Computer Science, Chicago, IL, USA"
https://dblp.org/pid/162/0450,"Illinois Institute of Technology, USA"
https://dblp.org/pid/17/3178,"Illinois Institute of Technology, Chicago, IL, USA"
https://dblp.org/pid/171/0646,"Illinois Institute of Technology, USA"
https://dblp.org/pid/181/2774,"Illinois Institute of Technology, Chicago, IL, USA"
https://dblp.org/pid/212/2251,"Illinois Institute of Technology, Chicago, IL, USA"
https://dblp.org/pid/220/1554,"Illinois Institute of Technology, Department of Electrical and Computer Engineering, Chicago, IL, USA"
https://dblp.org/pid/23/7764-7,"Illinois Institute of Technology, Chicago, IL, USA"
https://dblp.org/pid/24/6914-48,"Illinois Institute of Technology, Chicago, IL, USA"
https://dblp.org/pid/281/4121,"Illinois Institute of Technology, Department of Chemistry, Chicago, IL, USA"
https://dblp.org/pid/291/3428,"Illinois Institute of Technology, Chicago, IL, USA"
https://dblp.org/pid/30/4210-3,"Illinois Institute of Technology, Chicago, IL, USA"
