author,affiliation
https://dblp.org/pid/00/1175-1,"Iowa State University, Ames, IA, USA"
https://dblp.org/pid/02/1003-2,"Iowa State University, Ivy College of Business, Ames, IA, USA"
https://dblp.org/pid/02/6717,"Iowa State University, Center for Integrated Animal Genomics AND Department of Statistics, Ames, Iowa, USA"
https://dblp.org/pid/03/4043-6,"Iowa State University, Department of Electrical and Computer Engineering, Ames, IA, USA"
https://dblp.org/pid/03/4973,"Iowa State University, Ames, Iowa, USA"
https://dblp.org/pid/04/4658-1,"Iowa State University, Department of Computer Science, Ames, IA, USA"
https://dblp.org/pid/06/3244-4,"Iowa State University, Department of Electrical and Computer Engineering, Ames, IA, USA"
https://dblp.org/pid/06/3456-8,"Iowa State University, Ames, Iowa, USA"
https://dblp.org/pid/06/3719,"Iowa State University, Department of Computer Science, Ames, IA, USA"
https://dblp.org/pid/08/4236-1,"Iowa State University, Department of Electrical and Computer Engineering, Ames, IA, USA"
https://dblp.org/pid/09/10785-4,"Iowa State University, Program on Bioinformatics and Computational Biology, Department of Mathematics, Ames, IA, USA"
https://dblp.org/pid/10/329-4,"Iowa State University, Department of Agronomy, Ames, IA, USA"
https://dblp.org/pid/10/5630-42,"Iowa State University, Department of Statistics, Ames, IA, USA"
https://dblp.org/pid/11/3879,"Iowa State University, Ames, Department of Computer Science"
https://dblp.org/pid/118/8903,"Iowa State University, Ames, IA, USA"
https://dblp.org/pid/12/2833-1,"Iowa State University, Ames, IA, USA"
https://dblp.org/pid/120/1102-2,"Iowa State University, Department of Industrial and Manufacturing Systems Engineering, Ames, IA, USA"
https://dblp.org/pid/122/4774,"Iowa State University, Coordinated Systems Lab, Ames, IA, USA"
https://dblp.org/pid/123/1170,"Iowa State University, Department of Psychology, Ames, IA, USA"
https://dblp.org/pid/13/11473,"Iowa State University, Department of Statistics, USA"
https://dblp.org/pid/131/4164-2,"Iowa State University, USA"
https://dblp.org/pid/14/2196,"Iowa State University, Ames, IA, USA"
https://dblp.org/pid/14/4834-22,"Iowa State University, Department of Electrical and Computer Engineering, Ames, IA, USA"
https://dblp.org/pid/142/7885,"Iowa State University, Ivy College of Business, Ames, IA, USA"
https://dblp.org/pid/144/3128,"Iowa State University, Ames, IA, USA"
https://dblp.org/pid/15/2920-2,"Iowa State University, Ames, IA, USA"
https://dblp.org/pid/15/5923-55,"Iowa State University, Department of Electrical and Computer Engineering, Center for Nondestructive Evaluation, Ames, IA, USA"
https://dblp.org/pid/176/5876,"Iowa State University, IA, USA"
https://dblp.org/pid/178/1392,"Iowa State University, Ames, IA, USA"
https://dblp.org/pid/181/2687-5,"Iowa State University, Ames, IA, USA"
https://dblp.org/pid/181/2688-12,"Iowa State University, Ames, IA, USA"
https://dblp.org/pid/181/2689-69,"Iowa State University, Department of Industrial & Manufacturing Systems Engineering, Ames, IA, USA"
https://dblp.org/pid/181/2832-123,"Iowa State University, Department of Geological and Atmospheric Sciences, Ames, IA, USA"
https://dblp.org/pid/185/1009-1,"Iowa State University, USA"
https://dblp.org/pid/185/1039,"Iowa State University, College of Business, USA"
