author,affiliation
https://dblp.org/pid/01/1872,"Kansas State University, Manhattan, KS, USA"
https://dblp.org/pid/116/1011-30,"Kansas State University, Department of Chemistry, Manhattan, KS, USA"
https://dblp.org/pid/118/6414-1,"Kansas State University, Department of Computing and Information Sciences, Manhattan, KS, USA"
https://dblp.org/pid/128/1657,"Kansas State University, Manhattan, KS, USA"
https://dblp.org/pid/13/5236-5,Arkansas State University
https://dblp.org/pid/145/5323-3,"Kansas State University, Electrical and Computer Engineering, Manhattan, KA, USA"
https://dblp.org/pid/147/0299,"Kansas State University, KS, USA"
https://dblp.org/pid/15/5983-3,"Arkansas State University, Jonesboro, AR, USA"
https://dblp.org/pid/15/8758-4,"Arkansas State University, College of Engineering, Jonesboro, AR, USA"
https://dblp.org/pid/158/5567,"Kansas State University, Tim Taylor Department of Chemical Engineering, Manhattan, KS, USA"
https://dblp.org/pid/16/7691-1,"Arkansas State University, Renewable Energy Technology Program, Jonesboro, AR, USA"
https://dblp.org/pid/169/9772,"Kansas State University, USA"
https://dblp.org/pid/188/3019-1,"Kansas State University (KSU), Department of Electrical and Computer Engineering, Manhattan, KS, USA"
https://dblp.org/pid/21/1034,"Kansas State University, Manhattan, KS, USA"
https://dblp.org/pid/210/7261,"Arkansas State University, Jonesboro, USA"
https://dblp.org/pid/229/0408,"Kansas State University, KS, USA"
https://dblp.org/pid/242/3412-2,"Arkansas State University, Jonesboro, AR, USA"
https://dblp.org/pid/263/1523,"Kansas State University, Department of Agronomy, KS, USA"
https://dblp.org/pid/27/59-8,"Kansas State University, Manhattan, KS, USA"
https://dblp.org/pid/31/822,"Kansas State University, Manhatten, KS, USA"
https://dblp.org/pid/328/1289,"Kansas State University, Manhattan, KS, US"
https://dblp.org/pid/40/2098,"Kansas State University, Manhattan, KA, USA"
https://dblp.org/pid/47/710,"Kansas State University, Manhattan, KS, USA"
https://dblp.org/pid/49/6156-20,"Kansas State University, Department of Electrical and Computer Engineering, Manhattan, KS, USA"
https://dblp.org/pid/49/6574-18,"Arkansas State University, Department of Computer Science, Jonesboro, AR, USA"
https://dblp.org/pid/55/5328,"Kansas State University, USA"
https://dblp.org/pid/58/2670-40,"Kansas State University, Department of Electrical and Computer Engineering, Manhattan, KS, USA"
https://dblp.org/pid/60/1378,"Kansas State University, Manhattan, KS, USA"
https://dblp.org/pid/62/543,"Kansas State University, Manhattan, KS, USA"
https://dblp.org/pid/66/1838,"Kansas State University, Manhattan, KS, USA"
https://dblp.org/pid/66/3997-1,"Kansas State University, Department of Electrical & Computer Engineering, Manhattan, KS, USA"
https://dblp.org/pid/78/4745,"Kansas State University, Manhattan, Kansas, USA"
https://dblp.org/pid/81/583-3,"Kansas State University, USA"
https://dblp.org/pid/82/3419-7,"Kansas State University, Manhattan, KS, USA"
https://dblp.org/pid/91/3099,"Kansas State University, USA"
https://dblp.org/pid/92/3390,"Kansas State University (KSU), Departments of Statistics, Economics, and Computer Information Sciences, Manhattan, KS, USA"
https://dblp.org/pid/98/4700,"Kansas State University, Department of Computing and Information Sciences"
https://dblp.org/pid/98/743,"Kansas State University, Manhattan, KS, USA"
https://dblp.org/pid/a/TorbenAmtoft,"Kansas State University, Manhattan, KS, USA"
https://dblp.org/pid/b/DBenArieh,"Kansas State University, Manhattan, KS, USA"
https://dblp.org/pid/d/ScottADeLoach,"Kansas State University, Manhattan, KS, USA"
https://dblp.org/pid/h/PascalHitzler,"Kansas State University, USA"
https://dblp.org/pid/m/MasaakiMizuno,"Kansas State University, Manhattan, KS, USA"
https://dblp.org/pid/p/ChristopherPinner,"Kansas State University, Department of Mathematics, Manhattan, KS, USA"
https://dblp.org/pid/s/DavidASchmidt,"Kansas State University, Manhattan, KS, USA"
https://dblp.org/pid/s/GurdipSingh,"Kansas State University, Manhattan, KS, USA"
https://dblp.org/pid/w/XuWang8,"Kansas State University, Department of Plant Pathology, Manhattan, KS, USA"
