author,affiliation
https://dblp.org/pid/01/2082-13,"Kent State University, College of Communication and Information, OH, USA"
https://dblp.org/pid/133/1724,"Kent State University, iSchool, OH, USA"
https://dblp.org/pid/138/5424,"Kent State University, OH, USA"
https://dblp.org/pid/169/8617,"Kent State University, OH, USA"
https://dblp.org/pid/18/4087-27,"Kent State University, Cognitive Robotics and AI Lab, CRAI, College of Aeronautics and Engineering, OH, USA"
https://dblp.org/pid/19/360-12,"Kent State University, Department of Computer Science, OH, USA"
https://dblp.org/pid/20/8099,"Kent State University, Ambassador Crawford College of Business and Entrepreneurship, Department of Information Systems and Business Analytics, Kent, OH, USA"
https://dblp.org/pid/28/7120,"Kent State University, OH, USA"
https://dblp.org/pid/30/3185-4,"Kent State University, School of Fashion Design and Merchandising, OH, USA"
https://dblp.org/pid/314/6267,"Kent State University, College of Communication and Information, USA"
https://dblp.org/pid/33/228,"Kent State university, Kent, Ohio, USA"
https://dblp.org/pid/350/1721,"Tashkent State University of Economics, Uzbekistan"
https://dblp.org/pid/38/4539-7,"Kent State University, Department of Computer Science, OH, USA"
https://dblp.org/pid/40/78,"Kent State University, Kent, Ohio, USA"
https://dblp.org/pid/41/1282,"Kent State University, Department of Mathematics and Computer Science, OH, USA"
https://dblp.org/pid/49/2596,"Kent State University, Kent, OH, USA"
https://dblp.org/pid/58/7811,"Kent State University, Department of Mathematical Sciences, OH, USA"
https://dblp.org/pid/58/8031,"Kent State University, School of Library and Information Science, Kent, OH, USA"
https://dblp.org/pid/60/7865,"Kent State University, Kent, OH, USA"
https://dblp.org/pid/64/5215,"Research Center for Educational Technology, Kent State University, Kent, OH, USA"
https://dblp.org/pid/66/1017,"Kent State University, Ambassador Crawford College of Business and Entrepreneurship, Department of Management and Information Systems, OH, USA"
https://dblp.org/pid/67/3070,"Kent State University, Department of Management and Information Systems, OH, USA"
https://dblp.org/pid/67/3562,"Kent State University, School of Information, Kent, OH, USA"
https://dblp.org/pid/72/6144-3,"Kent State University, OH, USA"
https://dblp.org/pid/78/5982,"Kent State University, OH, USA"
https://dblp.org/pid/79/1552-23,"Kent State University, Department of Computer Science, Kent, OH, USA"
https://dblp.org/pid/79/302,"College of Business Administration, Kent State University, OH, USA"
https://dblp.org/pid/82/4944-3,"Kent State University, OH, USA"
https://dblp.org/pid/83/6757-2,"Kent State University, Kent, OH, USA"
https://dblp.org/pid/89/7431,"Kent State University, OH, USA"
https://dblp.org/pid/91/3045-7,"Kent State University, School of Library and Information Science, OH, USA"
https://dblp.org/pid/95/4097-5,"Kent State University, Kent, OH, USA"
https://dblp.org/pid/b/KEBatcher,"Kent State University, OH, USA"
https://dblp.org/pid/d/FFDragan,"Kent State University, Ohio, USA"
https://dblp.org/pid/l/XianLian,"Kent State University, OH, USA"
https://dblp.org/pid/w/RobertAWalker,"Kent State University, OH, USA"
