author,affiliation
https://dblp.org/pid/03/142-4,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/03/2134-36,"Lehigh University, Department of Industrial and Systems Engineering, Bethlehem, PA, USA"
https://dblp.org/pid/07/7335-2,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/09/1365-80,"Lehigh University, Department of Computer Science and Engineering, Bethlehem, PA, USA"
https://dblp.org/pid/10/4878,"Chemical Process Modeling and Control Research Center, Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/11/4798,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/116/4751,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/121/0780-1,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/129/8146,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/130/5837-1,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/130/9071,"Lehigh University, Department of Mathematics, Bethlehem, PA, USA"
https://dblp.org/pid/140/7348-2,"Lehigh University, Department of Computer Science, Bethlehem, PA, USA"
https://dblp.org/pid/146/8245-1,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/16/4505-10,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/17/1976-4,"Lehigh University, Department of Computer Science and Engineering, Bethlehem, PA, USA"
https://dblp.org/pid/176/0317,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/176/5358-2,"Lehigh University, Office of Creative Inquiry, Bethlehem, PA, USA"
https://dblp.org/pid/179/0549,Lehigh University
https://dblp.org/pid/181/2497-2,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/184/7426,"Lehigh University, PA, USA"
https://dblp.org/pid/188/7759-90,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/23/5033,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/24/8732,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/246/4914-2,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/251/0958,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/254/7482,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/254/9310,"Lehigh University, Department of Management, College of Business and Economics, Bethlehem, PA, USA"
https://dblp.org/pid/26/4189-28,"Lehigh University, Departments of Biological Sciences, Chemistry, Bioengineering, and Computer Science and Engineering, Bethlehem, PA, USA"
https://dblp.org/pid/28/949-4,"Lehigh University, Department of Industrial and Systems Engineering, Bethlehem, PA, USA"
https://dblp.org/pid/31/1472-3,"Lehigh University, EECS Department, West Bethlehem, PA, USA"
https://dblp.org/pid/32/1013-4,Lehigh University
https://dblp.org/pid/336/9076,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/35/573-4,"Lehigh University, Department of Electrical and Computer Engineering, Bethlehem, PA, USA"
https://dblp.org/pid/35/7092-57,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/36/5276-6,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/41/5085-4,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/42/4018-2,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/42/5890,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/43/656-23,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/46/2681-4,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/50/671-9,"Lehigh University, Department of Bioengineering, Bethlehem, PA, USA"
https://dblp.org/pid/55/957-39,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/56/1670-4,"Lehigh University, Department of Electrical and Computer Engineering, Bethlehem, PA, USA"
https://dblp.org/pid/56/5469,"Lehigh University, Department of Industrial and Systems Engineering, Bethlehem, PA, USA"
https://dblp.org/pid/56/6499-1,"Lehigh University, Department of Electrical and Computer Engineering, Bethlehem, PA, USA"
https://dblp.org/pid/58/6050-3,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/61/7604,"Lehigh University, Department of Industrial and Systems Engineering, Bethlehem, PA, USA"
https://dblp.org/pid/66/300-1,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/66/4566-1,"Lehigh University, Department of Electrical and Computer Engineering, Bethlehem, PA, USA"
https://dblp.org/pid/72/2590-19,"Lehigh University, Department of Electrical and Computer Engineering, Bethlehem, PA, USA"
https://dblp.org/pid/79/8798-5,"Lehigh University, PA, USA"
https://dblp.org/pid/80/920-7,"Lehigh University, Department of Bioengineering, Bethlehem, PA, USA"
https://dblp.org/pid/82/4807-2,"Lehigh University, Department of Mechanical Engineering and Mechanics, Bethlehem, PA, USA"
https://dblp.org/pid/84/1037,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/87/959-10,"Lehigh University, Department of Electrical and Computer Engineering, Bethlehem, PA, USA"
https://dblp.org/pid/90/1598,"Lehigh University, Computer Science & Engineering Department, Bethlehem, PA, USA"
https://dblp.org/pid/91/952-7,"Lehigh University, Department of Mechanical Engineering and Mechanics, Bethlehem, PA, USA"
https://dblp.org/pid/92/10316,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/94/1154,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/94/3019-39,"Lehigh University, Department of Electrical and Computer Engineering, Bethlehem, PA, USA"
https://dblp.org/pid/95/2446-17,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/97/5257-1,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/h/ChristineHofmeister,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/k/HenryFKorth,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/l/DanielPLopresti,"Lehigh University, Bethlehem, PA, USA"
https://dblp.org/pid/l/TiffanyJingLi,"Lehigh University, Department of Electrical and Computer Engineering, Bethlehem, PA, USA"
https://dblp.org/pid/m/HectorMunozAvila,"Lehigh University, Bethlehem, PA, USA"
