author,affiliation
https://dblp.org/pid/00/6525-3,"Louisiana State University, USA"
https://dblp.org/pid/03/6158-1,"Louisiana State University Shreveport, Department of Management and Marketing, College of Business, LA, USA"
https://dblp.org/pid/06/5215,"Louisiana State University, Baton Rouge, LA, USA"
https://dblp.org/pid/07/314-4,"Louisiana State University, Department of Computer Science, Baton Rouge, LA, USA"
https://dblp.org/pid/11/10598-3,"Louisiana State University, Department of Electrical and Computer Engineering, Baton Rouge, LA, USA"
https://dblp.org/pid/11/4247,"Louisiana State University, Baton Rouge, LA, USA"
https://dblp.org/pid/116/4616-2,"Louisiana State University, Baton Rouge, USA"
https://dblp.org/pid/119/6750,"Louisiana State University, Stephenson Department of Entrepreneurship & Information Systems, Baton Rouge, USA"
https://dblp.org/pid/121/9998,"Louisiana State University, Baton Rouge, LA, USA"
https://dblp.org/pid/124/9024,"Louisiana State University, Department of English, Baton Rouge, USA"
https://dblp.org/pid/134/2996,"Louisiana State University, Digital Media Center, Baton Rouge, LA, USA"
https://dblp.org/pid/16/5532,"Louisiana State University Baton Rouge, LA, USA"
https://dblp.org/pid/16/8083-1,"Louisiana State University, Baton Rouge, LA, USA"
https://dblp.org/pid/166/1621,"Louisiana State University, Baton Rouge, USA"
https://dblp.org/pid/17/322-9,"Louisiana State University, Baton Rouge, LA, USA"
https://dblp.org/pid/177/9757,"Louisiana State University, Baton Rouge, LA, USA"
https://dblp.org/pid/181/4821,"Louisiana State University, Baton Rouge, USA"
https://dblp.org/pid/181/6849,"Louisiana State University of Alexandria (LSUA), Department of Mathematics and Computer Science, LA, USA"
https://dblp.org/pid/188/7759-46,"Louisiana State University, Bert S. Turner Department of Construction Management, Baton Rouge, LA, USA"
https://dblp.org/pid/21/3047-43,"Frey Computing Services Center, Louisiana State University, Baton Rouge, LA, USA"
https://dblp.org/pid/21/3047-5,"Louisiana State University, Baton Rouge, LA, USA"
https://dblp.org/pid/21/3626-48,"Louisiana State University Agricultural Center, School of Renewable Natural Resources, Baton Rouge, LA, USA"
https://dblp.org/pid/21/5301-3,"Louisiana State University, Baton Rouge, LA, USA"
https://dblp.org/pid/22/8904,"Louisiana State University, Baton Rouge, LA, USA"
https://dblp.org/pid/25/8765,"Louisiana State University, Health Sciences Center, New Orleans, LA, USA"
https://dblp.org/pid/27/8464,"Louisiana State University, Department of Mathematics, Baton Rouge, LA, USA"
https://dblp.org/pid/29/177-2,"Louisiana State University, Baton Rouge, LA, USA"
https://dblp.org/pid/34/6334-11,"Louisiana State University, USA"
https://dblp.org/pid/37/6802-1,"Louisiana State University, Baton Rouge, LA, USA"
https://dblp.org/pid/390/2011,"Louisiana State University Medical Center, New Orleans, LA, USA"
https://dblp.org/pid/44/1482,Louisiana State University
https://dblp.org/pid/44/625,"Louisiana State University, Department of Mechanical Engineering, Baton Rouge, LA, USA"
https://dblp.org/pid/46/6342,"Louisiana State University, Baton Rouge, LA, USA"
https://dblp.org/pid/47/4388,"Louisiana State University, Baton Rouge, LA, USA"
https://dblp.org/pid/49/75,"Louisiana State University, Baton Rouge, USA"
https://dblp.org/pid/54/4536-6,"Louisiana State University, Department of Mathematics, USA"
https://dblp.org/pid/57/1808-1,"Louisiana State University, Department of Oceanography and Coastal Sciences, Baton Rouge, LA, USA"
https://dblp.org/pid/63/9284,"Louisiana State University, School of Music, Baton Rouge, LA, USA"
https://dblp.org/pid/64/775,"Louisiana State University, Applied Cybersecurity Lab, Baton Rouge, LA, USA"
https://dblp.org/pid/65/4263-2,"Louisiana State University, Baton Rouge, LA, USA"
https://dblp.org/pid/67/8705,"Louisiana State University, LSU Library, Baton Rouge, LA, USA"
https://dblp.org/pid/68/1727-2,"Louisiana State University, Baton Rouge, LA, USA"
https://dblp.org/pid/68/2922,"Louisiana State University, Baton Rouge, LA, USA"
https://dblp.org/pid/70/6471-3,"Louisiana State University, Baton Rouge, LA, USA"
https://dblp.org/pid/71/9087-2,"Louisiana State University, Department of Geography and Anthropology, Baton Rouge, LA, USA"
https://dblp.org/pid/75/1008-1,"Louisiana State University, Baton Rouge, LA, USA"
https://dblp.org/pid/75/3500,"Louisiana State University, Baton Rouge, LA, USA"
https://dblp.org/pid/75/4402-4,"Louisiana State University, Baton Rouge, LA, USA"
https://dblp.org/pid/75/5270,"Louisiana State University, Baton Rouge, LA, USA"
https://dblp.org/pid/77/787,"Louisiana State University, School of Music, Baton Rouge, LA, USA"
https://dblp.org/pid/81/4136-3,"Louisiana State University, Baton Rouge, LA, USA"
https://dblp.org/pid/82/4206-9,"Louisiana State University, Baton Rouge, LA, USA"
https://dblp.org/pid/85/1429-3,"Louisiana State University, Baton Rouge, LA, USA"
https://dblp.org/pid/88/7888,"Louisiana State University, Baton Rouge, LA, USA"
https://dblp.org/pid/89/6764-8,"Louisiana State University, Department of Experimental Statistics, Baton Rouge, LA, USA"
https://dblp.org/pid/90/2295,"Louisiana State University, Department of Mathematics, Baton Rouge, USA"
https://dblp.org/pid/90/4765-3,"Louisiana State University, Baton Rouge, LA, USA"
https://dblp.org/pid/92/11440,"Louisiana State University, Baton Rouge, LA, USA"
https://dblp.org/pid/96/1994-10,"Louisiana State University, Baton Rouge, LA, USA"
https://dblp.org/pid/98/8755,"Louisiana State University, USA"
https://dblp.org/pid/c/DLCarver,"Louisiana State University, Baton Rouge, LA, USA"
https://dblp.org/pid/r/JRamanujam,"Louisiana State University, Baton Rouge, LA, USA"
https://dblp.org/pid/w/HaoWang-22,"Louisiana State University, Baton Rouge, USA"
https://dblp.org/pid/w/LeiWang22,"Louisiana State University, Department of Geography, Baton Rouge, LA, USA"
