author,affiliation
https://dblp.org/pid/00/4918-6,"Michigan State University, East Lansing, Department of Electrical and Computer Engineering"
https://dblp.org/pid/00/7748,"Michigan State University, East Lansing, USA"
https://dblp.org/pid/01/7746,"Michigan State University, East Lansing, MI, USA"
https://dblp.org/pid/02/5889-20,"Michigan State University, East Lansing, MI, USA"
https://dblp.org/pid/03/496,"Michigan State University, East Lansing, MI, USA"
https://dblp.org/pid/04/11125,"Michigan State University, East Lansing, MI, USA"
https://dblp.org/pid/04/8949-2,"Michigan State University, East Lansing, USA"
https://dblp.org/pid/05/7548-1,"Michigan State University, East Lansing, MI, USA"
https://dblp.org/pid/06/2293-115,"Michigan State University, Electrical and Computer Engineering, East Lansing, MI, USA"
https://dblp.org/pid/06/2293-72,"Michigan State University, Department of Mathematics, East Lansing, MI, USA"
https://dblp.org/pid/06/721-4,"Michigan State University, Department of Electrical and Computer Engineering, East Lansing, MI, USA"
https://dblp.org/pid/07/4580-16,"Michigan State University, East Lansing, MI, USA"
https://dblp.org/pid/08/10381,"Michigan State University, East Lansing, MI, USA"
https://dblp.org/pid/08/5187,"Michigan State University, East Lansing, MI, USA"
https://dblp.org/pid/10/293-1,"Michigan State University, Data Science and Engineering Lab, East Lansing, MI, USA"
https://dblp.org/pid/11/4436,"Michigan State University, East Lansing, MI, USA"
https://dblp.org/pid/115/6458-4,"Michigan State University, Computer Vision Lab, East Lansing, MI, USA"
https://dblp.org/pid/119/5001,"Michigan State University, Department of Computational Mathematics, East Lansing, MI, USA"
https://dblp.org/pid/12/8071,"Michigan State University, East Lansing, MI, USA"
https://dblp.org/pid/122/5100-6,"Michigan State University, Department of Mathematics, East Lansing, MI, USA"
https://dblp.org/pid/123/5468,"Michigan State University, East Lansing, MI, USA"
https://dblp.org/pid/127/9673,"Michigan State University, USA"
https://dblp.org/pid/128/6972-1,"Michigan State University, Department of Computer Science and Engineering, East Lansing, USA"
https://dblp.org/pid/129/2099,"Michigan State University, East Lansing, MI, USA"
https://dblp.org/pid/13/1520-16,"Michigan State University, East Lansing, MI, USA"
https://dblp.org/pid/130/6062,"Eli Broad Graduate School of Management, Michigan State University, East Lansing, MI, USA"
https://dblp.org/pid/131/0214,"Michigan State University, East Lansing, MI, USA"
https://dblp.org/pid/131/4057,"Michigan State University, East Lansing, MI, USA"
https://dblp.org/pid/133/6667,"Michigan State University, East Lansing, MI, USA"
https://dblp.org/pid/139/7743,"Michigan State University, East Lansing, USA"
https://dblp.org/pid/14/1356-6,"Michigan State University, East Lansing, MI, USA"
https://dblp.org/pid/14/5505-1,"Michigan State University, Department of Computer Science and Engineering, East Lansing, MI, USA"
https://dblp.org/pid/140/4138,"Michigan State University, Plant Research Laboratory"
https://dblp.org/pid/142/8394-3,"Michigan State University, East Lansing, MI, USA"
https://dblp.org/pid/143/0251-1,"Michigan State University, East Lansing, MI, USA"
https://dblp.org/pid/149/4839,"Michigan State University, East Lansing, MI, USA"
https://dblp.org/pid/149/6254-2,"Michigan State University, East Lansing, MI, USA"
https://dblp.org/pid/15/7138,"Michigan State University, USA"
https://dblp.org/pid/151/6674,"Michigan State University, East Lansing, USA"
https://dblp.org/pid/153/0448,"Michigan State University, Lyman Briggs College, East Lansing, MI, USA"
https://dblp.org/pid/153/0630,"Michigan State University, East Lansing, MI, USA"
https://dblp.org/pid/155/8958,"Michigan State University, East Lansing, USA"
