author,affiliation
https://dblp.org/pid/03/10023-5,"Michigan Technological University, Department of Computer Science, Houghton, MI, USA"
https://dblp.org/pid/05/4613-9,"Michigan Technological University, Houghton, MI, USA"
https://dblp.org/pid/06/3580-5,"Michigan Technological University, Department of Civil and Environmental Engineering, Houghton, MI, USA"
https://dblp.org/pid/123/9487,"Michigan Technological University, Houghton, MI, USA"
https://dblp.org/pid/13/1723,"Michigan Technological University, Houghton, MI, USA"
https://dblp.org/pid/136/6947,"Michigan Technological University, Houghton, MI, USA"
https://dblp.org/pid/140/7348-8,"Michigan Technological University, Department of Chemical Engineering, Houghton, MI, USA"
https://dblp.org/pid/145/4933,"Michigan Technological University, Houghton, MI, USA"
https://dblp.org/pid/147/8363-5,"Michigan Technological University, Department of Mechanical Engineering and Engineering Mechanics, Houghton, MI, USA"
https://dblp.org/pid/159/7546,"Michigan Technological University, Houghton, MI, USA"
https://dblp.org/pid/20/9410,"Michigan Technological University, Department of Mathematical Sciences, Houghton, MI, USA"
https://dblp.org/pid/211/5075,"Michigan Technological University, Houghton, MI, USA"
https://dblp.org/pid/256/0172,"Michigan Technological University, Department of Geological and Mining Engineering and Sciences, Houghton, MI, USA"
https://dblp.org/pid/26/2436-5,"Michigan Technological University, Houghton, MI, USA"
https://dblp.org/pid/288/9599,"Michigan Technological University, Houghton, USA"
https://dblp.org/pid/295/3226,"Michigan Technological University, Houghton, MI, USA"
https://dblp.org/pid/312/6091,"Michigan Technological University, Houghton, MI, USA"
https://dblp.org/pid/33/5763-17,"Michigan Technological University, Department of Mechanical Engineering and Engineering Mechanics, Houghton, MI, USA"
https://dblp.org/pid/366/5026,"Michigan Technological University, Houghton, MI, USA"
https://dblp.org/pid/39/11359,"Michigan Technological University, USA"
https://dblp.org/pid/48/450-14,"Michigan Technological University, Department of Mathematical Science, Houghton, MI, USA"
https://dblp.org/pid/54/2752-5,"Michigan Technological University, Houghton, MI, USA"
https://dblp.org/pid/60/5637-2,"Michigan Technological University, Department of Electrical and Computer Engineering, Houghton, MI, USA"
https://dblp.org/pid/60/6868-2,"Michigan Technological University, College of Computing, Houghton, MI, USA"
https://dblp.org/pid/61/2115-13,"Michigan Technological University, Department of Electrical and Computer Engineering, Houghton, MI, USA"
https://dblp.org/pid/68/6280,"Michigan Technological University, Department of Mathematical Sciences, Houghton, MI, USA"
https://dblp.org/pid/74/3902,"Michigan Technological University, Houghton, MI, USA"
https://dblp.org/pid/88/5894-3,"Michigan Technological University, Houghton, MI, USA"
https://dblp.org/pid/89/5045-1,"Michigan Technological University, Houghton, MI, USA"
https://dblp.org/pid/89/5615-28,"Michigan Technological University, Department of Computer Science, Houghton, USA"
https://dblp.org/pid/93/9546,"Michigan Technological University, Houghton, Michigan, USA"
https://dblp.org/pid/98/660-2,"Michigan Technological University, Houghton, MI, USA"
https://dblp.org/pid/99/813,"Michigan Technological University, Houghton, MI, USA"
https://dblp.org/pid/g/AshokKGoel2,"Michigan Technological University, Department of Electrical & Computer Engineering, Houghton, MI, USA"
https://dblp.org/pid/n/YakovNekrich,"Michigan Technological University, MI, USA"
https://dblp.org/pid/o/LindaMOtt,"Michigan Technological University, Department of Computer Science, Houghton, MI, USA"
