author,affiliation
https://dblp.org/pid/03/4702-3,"Mississippi State University, Department of Electrical and Computer Engineering, Starkville, MS, USA"
https://dblp.org/pid/07/3569-3,"Mississippi State University, NSF Engineering Research Center, Starkville, MS, USA"
https://dblp.org/pid/08/8604-3,"Mississippi State University, MS, USA"
https://dblp.org/pid/125/8189-98,"Mississippi State University, Department of Civil and Environmental Engineering, Starkville, MS, USA"
https://dblp.org/pid/13/3337,"Mississippi State University, Starkville, MS, USA"
https://dblp.org/pid/14/2147,Mississippi State University
https://dblp.org/pid/15/2459,"Mississippi State University, Department of Computer Science and Engineering, Strakville, MS, USA"
https://dblp.org/pid/156/5109,"Mississippi State University, Department of Agricultural and Biological Engineering, MS, USA"
https://dblp.org/pid/17/1950,"Mississippi State University, Center for Advanced Vehicular Systems, Starkville, MS, USA"
https://dblp.org/pid/172/4400,"Mississippi State University, USA"
https://dblp.org/pid/176/3551,"Mississippi State University, Department of Psychology, arkville, MS, USA"
https://dblp.org/pid/181/0529-1,"Mississippi State University, MS, USA"
https://dblp.org/pid/181/2352-3,"Mississippi State University, MHD Energy Center, MS, USA"
https://dblp.org/pid/20/1617-1,"Mississippi State University, Department of Geosciences"
https://dblp.org/pid/21/11181-5,"Mississippi State University, Starkville, MS, USA"
https://dblp.org/pid/23/223-1,"Mississippi State University, Starkville, MS, USA"
https://dblp.org/pid/23/794-3,"Mississippi State University, USA"
https://dblp.org/pid/232/1692,"Mississippi State University, Department of Computer Science and Engineering, MI, USA"
https://dblp.org/pid/234/1913,"Mississippi State University, MS, USA"
https://dblp.org/pid/40/1196,"Mississippi State University, USA"
https://dblp.org/pid/43/2474-1,Mississippi State University
https://dblp.org/pid/43/2474-11,"Mississippi State University, Starkville, MS, USA"
https://dblp.org/pid/56/8805-3,"Mississippi State University, Department of Industrial and Systems Engineering, Mississippi State, MS, USA"
https://dblp.org/pid/57/5250,"Mississippi State University, Starkville, MS, USA"
https://dblp.org/pid/57/7045,"Mississippi State University, Department of Computer Science and Engineering, Starkville, MS, USA"
https://dblp.org/pid/59/5180,"Mississippi State University, MS, USA"
https://dblp.org/pid/62/2443-1,"Mississippi State University, Department of Electronic and Computer Engineering, Starkville, MS, USA"
https://dblp.org/pid/66/3231,"Mississippi State University, Starkville, MS, USA"
https://dblp.org/pid/75/4941,"Mississippi State University, MS, USA"
https://dblp.org/pid/75/9076-3,"Mississippi State University, USA"
https://dblp.org/pid/77/3067-4,"Mississippi State University, Computer Science and Engineering"
https://dblp.org/pid/78/5428-4,"Mississippi State University, Department of Forestry, Starkville, MS, USA"
https://dblp.org/pid/83/4805-5,"Mississippi State University, Starkville, MS, USA"
https://dblp.org/pid/84/4581-2,"Mississippi State University, College of Veterinary Medicine, Department of Basic Sciences, MS, USA"
https://dblp.org/pid/84/864-2,"Mississippi State University, Starkville, MI, USA"
https://dblp.org/pid/91/1975,"Mississippi State University, Geosystems Research Institute, Starkville, MS, USA"
https://dblp.org/pid/91/2798-2,"Mississippi State University, Starkville, MS, USA"
https://dblp.org/pid/96/4396,"Mississippi State University, Department of Psychology, Starkville, MS, USA"
https://dblp.org/pid/98/5660-3,"Mississippi State University, Department of Mathematics and Statistics, USA"
https://dblp.org/pid/h/JuliaEHodges,"Mississippi State University, Department of Computer Science, MS, USA"
https://dblp.org/pid/m/RobertJMoorheadII,"Mississippi State University, Department of Geosciences, MS, USA"
https://dblp.org/pid/p/ASParrish,"Mississippi State University, Mississippi State, MS, USA"
