author,affiliation
https://dblp.org/pid/04/8801,"Montana State University, Bozeman, Montana, USA"
https://dblp.org/pid/07/4422,"Montana State University, Bozeman, Montana, USA"
https://dblp.org/pid/10/695-3,Montana State University
https://dblp.org/pid/196/0014,"Montana State University, Bozeman, MT, USA"
https://dblp.org/pid/24/988,"Montana State University, Bozeman, MT, USA"
https://dblp.org/pid/39/2509,"Montana State University, Bozeman, Montana, USA"
https://dblp.org/pid/50/8828,"Montana State University, Department of Education, Bozeman, MT, USA"
https://dblp.org/pid/52/7272,"Montana State University, Bozeman, MT, USA"
https://dblp.org/pid/63/2115,"Montana State University, Bozeman, Montana, USA"
https://dblp.org/pid/81/6710-1,"Montana State University, Center for Computational Biology, Bozeman, MT, USA"
https://dblp.org/pid/83/5336,"Montana State University, Department of Mathematical Sciences"
https://dblp.org/pid/88/7565,"Montana State University, Bozeman, MT, USA"
https://dblp.org/pid/r/RJRoss,"Montana State University, Bozeman, Montana, USA"
https://dblp.org/pid/s/JDenbighStarkey,"Montana State University, Bozeman, Montana, USA"
https://dblp.org/pid/z/BinhaiZhu,"Montana State University, School of Computing, Bozeman, MT, USA"
