author,affiliation
https://dblp.org/pid/00/4089-6,"Naval Postgraduate School, Monterey, CA, USA"
https://dblp.org/pid/03/2413,"Naval Postgraduate School, Monterrey, CA, USA"
https://dblp.org/pid/06/346,"Naval Postgraduate School, Department of Computer Science, Monterey, CA, USA"
https://dblp.org/pid/08/2130-2,"Naval Postgraduate School, Monterey, USA"
https://dblp.org/pid/09/7813,"Naval Postgraduate School, Monterey, CA, USA"
https://dblp.org/pid/124/3334,"Naval Postgraduate School, Department of Applied Mathematics, Monterey, CA, USA"
https://dblp.org/pid/15/4155,"Naval Postgraduate School, Monterey, CA, USA"
https://dblp.org/pid/157/3082,"Naval Postgraduate School, Monterey, CA, USA"
https://dblp.org/pid/181/2354,"Naval Postgraduate School, Department of Computer Science, Monterey, CA, USA"
https://dblp.org/pid/197/2796-4,"Naval Postgraduate School, Monterey, CA, USA"
https://dblp.org/pid/22/6202,"Naval Postgraduate School, Information Sciences Department, Montrey, CA, USA"
https://dblp.org/pid/23/4547,"Naval Postgraduate School, Monterrey, CA, USA"
https://dblp.org/pid/26/2485,"Operations Research Department, Naval Postgraduate School in Monterey"
https://dblp.org/pid/27/2514,"Naval Postgraduate School, Monterey, CA, USA"
https://dblp.org/pid/301/2658,"Naval Postgraduate School, Department of Oceanography, Monterey, CA, USA"
https://dblp.org/pid/32/4904,"Naval Postgraduate School, Monterey, CA, USA"
https://dblp.org/pid/32/776,"Naval Postgraduate School, Monterey, CA, USA"
https://dblp.org/pid/325/0649,"Naval Postgraduate School, Monterey, CA, USA"
https://dblp.org/pid/33/1248-4,"Naval Postgraduate School, Monterrey, CA, USA"
https://dblp.org/pid/359/9129,"Naval Postgraduate School, Monterey, CA, USA"
https://dblp.org/pid/37/1629-8,"Naval Postgraduate School, Software Engineering Automation Center, Monterey, CA, USA"
https://dblp.org/pid/38/4335-10,"Naval Postgraduate School, Department of Applied Mathematics, Monterey, CA, USA"
https://dblp.org/pid/38/5652,"Naval Postgraduate School, Monterey, CA, USA"
https://dblp.org/pid/47/6477,"Naval Postgraduate School, Monterey, CA, USA"
https://dblp.org/pid/49/7255,"Naval Postgraduate School Monterey, Operations Research Department"
https://dblp.org/pid/54/10812,"Naval Postgraduate School, Department of Applied Mathematics, Monterey, CA, USA"
https://dblp.org/pid/54/7879,"Naval Postgraduate School, Monterey, California, United States"
https://dblp.org/pid/55/6653,"Naval Postgraduate School, Department of Applied Mathematics, Monterey, CA, USA"
https://dblp.org/pid/59/4967-1,"Naval Postgraduate School, Department of Applied Mathematics, Monterey, CA, USA"
https://dblp.org/pid/77/9185,"Naval Postgraduate School, Departments of Mechanical Engineering, Monterey, CA, USA"
https://dblp.org/pid/80/9816-3,"Naval Postgraduate School, Department of Electrical Engineering, Monterey, CA, USA"
https://dblp.org/pid/86/5160,"Naval Postgraduate School, Monterey, CA, USA"
https://dblp.org/pid/88/2332-2,"Naval Postgraduate School, Monterey, CA, USA"
https://dblp.org/pid/91/7302,"Naval Postgraduate School, Monterey, CA, USA"
https://dblp.org/pid/d/DorothyEDenning,"Naval Postgraduate School, Department of Defense Analysis, Monterey, CA, USA"
https://dblp.org/pid/d/PJDenning,Naval Postgraduate School
