author,affiliation
https://dblp.org/pid/01/4601-13,"New Mexico State University, Department of Communication Studies, Las Cruces, NM, USA"
https://dblp.org/pid/04/5498,"New Mexico State University, Las Cruces, NM, USA"
https://dblp.org/pid/05/3382-2,"New Mexico State University, Las Cruces, Department of Mathematical Sciences, USA"
https://dblp.org/pid/05/9217,"New Mexico State University, Department of Computer Science, Las Cruces, NM, USA"
https://dblp.org/pid/129/5218,"New Mexico State University, Las Cruces, New Mexico, USA"
https://dblp.org/pid/13/3887,"New Mexico State University, Las Cruces, NM, USA"
https://dblp.org/pid/15/4307,"New Mexico State University, Klipsch School of Electrical and Computer Engineering, Las Cruces, NM, USA"
https://dblp.org/pid/152/4663,"New Mexico State University, Las Cruces, NM, USA"
https://dblp.org/pid/174/2053-2,"New Mexico State University, Department of Computer Science, Las Cruces, USA"
https://dblp.org/pid/18/5837-2,"New Mexico State University, Mechanical and Aerospace Engineering, Las Cruces, NM, USA"
https://dblp.org/pid/189/9160,"New Mexico State University, Las Cruces, NM, USA"
https://dblp.org/pid/20/3587-1,"New Mexico State University, Las Cruces, NM, USA"
https://dblp.org/pid/21/3962,"New Mexico State University, Las Cruces, NM, USA"
https://dblp.org/pid/23/667,"New Mexico State University, Las Cruces, NM, USA"
https://dblp.org/pid/25/4199,"New Mexico State University, Las Cruces, NM, USA"
https://dblp.org/pid/27/4364-5,"New Mexico State University, Department of Psychology, Las Cruces, NM, USA"
https://dblp.org/pid/27/9309,"New Mexico State University, USA"
https://dblp.org/pid/34/8156-7,"New Mexico State University, Department of Educational and Counseling Psychology, NM, USA"
https://dblp.org/pid/367/2372,"New Mexico State University, Las Cruces, NM, USA"
https://dblp.org/pid/42/2378,"New Mexico State University, Las Cruces, New Mexico, USA"
https://dblp.org/pid/43/3140,"New Mexico State University, USA"
https://dblp.org/pid/44/6118,"New Mexico State University, Department of Computer Science, Las Cruces, NM, USA"
https://dblp.org/pid/52/4021,"New Mexico State University, Department of Computer Science, Las Cruces, NM, USA"
https://dblp.org/pid/56/4797,"New Mexico State University, Klipsch School of Electrical Engineering, NM, USA"
https://dblp.org/pid/58/1874-2,"New Mexico State University, Las Cruces, NM, USA"
https://dblp.org/pid/60/1997,"New Mexico State University, Las Cruces, NM, US"
https://dblp.org/pid/61/5294-3,"New Mexico State University, Department of Mathematical Sciences, Las Cruces, NM, USA"
https://dblp.org/pid/65/569-2,"New Mexico State University, Department of Computer Science, Las Cruces, NM, USA"
https://dblp.org/pid/74/3859-3,"New Mexico State University, Electrical and Computer Engineering Department, Las Cruces, NM, USA"
https://dblp.org/pid/79/6336-2,"New Mexico State University, Las Cruces, NM, USA"
https://dblp.org/pid/82/6495,"New Mexico State University, Las Cruces, NM, USA"
https://dblp.org/pid/86/6737,"New Mexico State University, Las Cruces, NM, USA"
https://dblp.org/pid/91/4859-4,"New Mexico State University, Las Cruces, NM, USA"
https://dblp.org/pid/93/3111,"New Mexico State University, Las Cruces, NM, USA"
https://dblp.org/pid/94/5094-1,"New Mexico State University, Computer Science Departmen, Las Cruces, NM, USA"
https://dblp.org/pid/99/5520,"New Mexico State University, Department of Computer Science, Las Cruces, NM, USA"
https://dblp.org/pid/a/MAuguston,"New Mexico State University, Las Cruces, New Mexico, USA"
https://dblp.org/pid/p/EnricoPontelli,"New Mexico State University, Las Cruces, New Mexico, USA"
https://dblp.org/pid/p/HeatherPfeiffer,"New Mexico State University, Las Cruces, New Mexico, USA"
https://dblp.org/pid/s/TranCaoSon,"New Mexico State University, Las Cruces, New Mexico, USA"
https://dblp.org/pid/t/DongxingTang,"New Mexico State University, Las Cruces, New Mexico, USA"
