author,affiliation
https://dblp.org/pid/00/5524,"North Carolina State University, Department of Computer Science"
https://dblp.org/pid/01/2743-6,"North Carolina State University, North Carolina State University, Raleigh, NC, USA"
https://dblp.org/pid/01/3589,"North Carolina State University, Department of Computer Science, Raleigh, USA"
https://dblp.org/pid/01/9751,"North Carolina State University, Raleigh, USA"
https://dblp.org/pid/02/1438-9,"North Carolina State University, Department of Mathematics, Raleigh, NC, USA"
https://dblp.org/pid/02/2376,"North Carolina State University, Raleigh, USA"
https://dblp.org/pid/02/3722,"North Carolina State University, Raleigh, USA"
https://dblp.org/pid/02/6428-25,"North Carolina State University, Raleigh, NC, USA"
https://dblp.org/pid/03/3432,"North Carolina State University, Raleigh, USA"
https://dblp.org/pid/03/3509,"North Carolina State University, Raleigh, NC, USA"
https://dblp.org/pid/03/6757-2,North Carolina State University
https://dblp.org/pid/03/7807,"Department of Statistics, North Carolina State University"
https://dblp.org/pid/04/2910-7,"North Carolina State University, Department of Industrial and Systems Engineering, Raleigh, NC, USA"
https://dblp.org/pid/05/490-3,"North Carolina State University, NC, USA"
https://dblp.org/pid/06/5880,"North Carolina State University, Department of Civil Engineering, Raleigh, NC, USA"
https://dblp.org/pid/06/5919-5,"North Carolina State University, Department of Biomedical Engineering, Raleigh, NC, USA"
https://dblp.org/pid/06/6785-18,"North Carolina State University, Department of Marine, Earth, and Atmospheric Sciences, Raleigh, NC, USA"
https://dblp.org/pid/06/7041-3,"North Carolina State University, Raleigh, NC, USA"
https://dblp.org/pid/07/5760,"North Carolina State University, Poole College of Management, Raleigh, NC, USA"
https://dblp.org/pid/08/4148-1,"North Carolina State University, Visual Narrative Cluster, Raleigh, NC, USA"
https://dblp.org/pid/09/1530-1,"North Carolina State University, Raleigh, NC, USA"
https://dblp.org/pid/09/4945-2,"North Carolina State University, Department of Mechanical and Aerospace Engineering, Raleigh, NC, USA"
https://dblp.org/pid/09/5042-33,"North Carolina State University, Department of Electrical and Computer Engineering, Visual Narrative Initiative, Raleigh, NC, USA"
https://dblp.org/pid/10/3856,"North Carolina State University, USA"
https://dblp.org/pid/11/3288,North Carolina State University
https://dblp.org/pid/11/7572-1,"North Carolina State University, Department of Electrical and Computer Engineering, Advanced Diagnosis, Automation, and Control Laboratory, Raleigh, NC, USA"
https://dblp.org/pid/116/0645-5,"North Carolina State University, Raleigh, NC, USA"
https://dblp.org/pid/118/4079,"North Carolina State University, Raleigh, USA"
https://dblp.org/pid/119/5524,"North Carolina State University, Department of Electrical and Computer Engineering, Raleigh, NC, USA"
https://dblp.org/pid/12/5838-77,"North Carolina State University, Department of Computer Science, Raleigh, NC, USA"
https://dblp.org/pid/121/4028,"North Carolina State University, Raleigh, NC, USA"
https://dblp.org/pid/13/1520-19,"North Carolina State University, Department of Computer Science, Raleigh, NC, USA"
https://dblp.org/pid/13/6468,"North Carolina State University, Raleigh, USA"
https://dblp.org/pid/13/7050-6,"North Carolina State University, Department of Computer Science, Raleigh, USA"
https://dblp.org/pid/13/8940,"North Carolina State University, Department of Industrial and Systems Engineering"
https://dblp.org/pid/139/4206-1,"North Carolina State University, Department of Chemical and Biomolecular Engineering, Raleigh, NC, USA"
https://dblp.org/pid/14/5514-1,"North Carolina State University, Department of Computer Science, Raleigh, USA"
https://dblp.org/pid/14/5580-12,"North Carolina State University, Department of Electrical and Computer Engineering, Raleigh, NC, USA"
https://dblp.org/pid/14/6868-2,"North Carolina State University, Raleigh, NC, USA"
https://dblp.org/pid/14/7096-1,"North Carolina State University, Raleigh, NC, USA"
https://dblp.org/pid/140/4242,North Carolina State University
https://dblp.org/pid/140/7235,"North Carolina State University, Raleigh, NC, USA"
https://dblp.org/pid/142/1083,"North Carolina State University, Department of Computer Science"
https://dblp.org/pid/147/5849,"North Carolina State University, Raleigh, USA"
https://dblp.org/pid/15/3964-2,"North Carolina State University, Principles of Expressive Machines (POEM) Lab, Raleigh, NC, USA"
https://dblp.org/pid/15/5233-4,"North Carolina State University, NC, USA"
https://dblp.org/pid/150/9712-10,"North Carolina State University, Raleigh, NC, USA"
https://dblp.org/pid/153/8762-2,"North Carolina State University, Raleigh, USA"
https://dblp.org/pid/155/2863-3,"North Carolina State University, Raleigh, NC, USA"
https://dblp.org/pid/163/7960,"North Carolina State University, Raleigh, NC, USA"
https://dblp.org/pid/17/1838,"Department of Mathematics, North Carolina State University, Raleigh, NC, USA"
https://dblp.org/pid/17/4932-4,"North Carolina State University, Raleigh, NC, USA"
https://dblp.org/pid/172/1401-2,"North Carolina State University, NC, USA"
https://dblp.org/pid/173/0351,"North Carolina State University, Raleigh, NC, USA"
https://dblp.org/pid/176/1453-3,"North Carolina State University, NC, USA"
https://dblp.org/pid/18/101,"North Carolina State University, Raleigh, USA"
https://dblp.org/pid/185/7242,"North Carolina State University, Raleigh, NC, USA"
https://dblp.org/pid/19/4447,"North Carolina State University, Raleigh, USA"
https://dblp.org/pid/194/9102,"North Carolina State University, Raleigh, NC, USA"
https://dblp.org/pid/196/3041,"North Carolina State University, Raleigh, USA"
https://dblp.org/pid/196/3537,"North Carolina State University, Raleigh, NC, USA"
https://dblp.org/pid/20/10554-2,"North Carolina State University, Raleigh, NC, USA"
https://dblp.org/pid/20/2039-5,"North Carolina State University, Neuromuscular Rehabilitation Engineering Laboratory, Raleigh, NC, USA"
https://dblp.org/pid/203/1800,"North Carolina State University, Raleigh, NC, USA"
https://dblp.org/pid/205/9556,"North Carolina State University, Department of Psychology, Raleigh, NC, USA"
https://dblp.org/pid/207/1831,"North Carolina State University, Raleigh, NC, USA"
https://dblp.org/pid/207/2235-2,"North Carolina State University, Raleigh, NC, USA"
https://dblp.org/pid/21/2144-6,"North Carolina State University, Department of Mechanical Engineering, Raleigh, NC, USA"
https://dblp.org/pid/21/3626-15,"North Carolina State University, UNC/NCSU Joint Department of Biomedical Engineering, Raleigh, NC, USA"
https://dblp.org/pid/214/8033,"North Carolina State University, Raleigh, NC, USA"
https://dblp.org/pid/217/5739,"North Carolina State University, Raleigh, NC, USA"
https://dblp.org/pid/22/4463,"North Carolina State University, Raleigh, NC, USA"
https://dblp.org/pid/22/7558,"North Carolina State University, Department of Communication"
https://dblp.org/pid/221/3522,"North Carolina State University, Teacher Education and Learning Sciences, Raleigh, NC, USA"
https://dblp.org/pid/225/6330-3,"North Carolina State University, Department of Electrical Computer Engineering, Raleigh, NC, USA"
https://dblp.org/pid/23/1569-5,"North Carolina State University, Bioinformatics Research Center, Raleigh, NC, USA"
https://dblp.org/pid/23/6936-3,"North Carolina State University, Department of Computer Science, Raleigh, NC, USA"
https://dblp.org/pid/235/0682-4,"North Carolina State University, Raleigh, NC, USA"
https://dblp.org/pid/25/10624-7,"North Carolina State University, Computer Science Department, Raleigh, NC, USA"
https://dblp.org/pid/25/4120-5,"North Carolina State University, Sustainability Science and Engineering, Raleigh, NC, USA"
https://dblp.org/pid/26/4472-2,"North Carolina State University, Department of Computer Science, Raleigh, NC, USA"
https://dblp.org/pid/26/6190-12,"North Carolina State University, Department of Electrical and Computer Engineering, Raleigh, NC, USA"
https://dblp.org/pid/26/694,"North Carolina State University, NC, USA"
https://dblp.org/pid/265/3608,"North Carolina State University, Raleigh, NC, USA"
https://dblp.org/pid/266/3926,"North Carolina State University, Department of electrical engineering, Raleigh, USA"
https://dblp.org/pid/27/2328-4,"North Carolina State University, Raleigh, NC, USA"
https://dblp.org/pid/27/3594-1,North Carolina State University
https://dblp.org/pid/27/9341,"North Carolina State University, Department of Biomedical Engineering, Raleigh, NC, USA"
