author,affiliation
https://dblp.org/pid/00/6421,North Dakota State University
https://dblp.org/pid/04/3348-33,"North Dakota State University, Mechanical Engineering, Fargo, ND, USA"
https://dblp.org/pid/139/8875-1,"North Dakota State University, Department of Agricultural and Biosystems Engineering, Fargo, ND, USA"
https://dblp.org/pid/157/5357,"North Dakota State University, Fargo, ND, USA"
https://dblp.org/pid/16/4156,"North Dakota State University, Fargo, ND, USA"
https://dblp.org/pid/161/1094,"North Dakota State University, Fargo, ND, USA"
https://dblp.org/pid/28/1738-4,"North Dakota State University, Department of Civil and Environmental Engineering, Fargo, USA"
https://dblp.org/pid/28/278,"North Dakota State University, Fargo, USA"
https://dblp.org/pid/325/6557,"North Dakota State University, Fargo, ND, USA"
https://dblp.org/pid/39/228,"North Dakota State University, Fargo"
https://dblp.org/pid/42/3145-4,"North Dakota State University, Fargo, ND, USA"
https://dblp.org/pid/50/8137,"North Dakota State University, Fargo, ND, USA"
https://dblp.org/pid/55/8268,"North Dakota State University, Fargo, USA"
https://dblp.org/pid/59/2144-4,"North Dakota State University, Department of Computer Science, Fargo, ND, USA"
https://dblp.org/pid/61/2029-10,North Dakota State University
https://dblp.org/pid/65/7344,"North Dakota State University, Fargo, ND, USA"
https://dblp.org/pid/66/2678,"North Dakota State University, Fargo, ND, USA"
https://dblp.org/pid/73/8833,"North Dakota State University, Fargo, USA"
https://dblp.org/pid/87/6853-16,"North Dakota State University, Department of Agricultural and Biosystems Engineering, Fargo, ND, USA"
https://dblp.org/pid/92/5357,"North Dakota State University, Fargo, ND, USA"
https://dblp.org/pid/l/SimoneALudwig,"North Dakota State University, Fargo, ND, USA"
https://dblp.org/pid/p/WilliamPerrizo,"North Dakota State University, Fargo, USA"
https://dblp.org/pid/s/VShanmugasundaram,"North Dakota State University, Fargo, USA"
