author,affiliation
https://dblp.org/pid/00/1015-5,"Northeastern University, School of Computer Science and Engineering, Shenyang, China"
https://dblp.org/pid/00/2166-2,"Northeastern University at Qinhuangdao, College of Computer and Communication Engineering, China"
https://dblp.org/pid/00/2237-12,"Northeastern University, School of Information Science and Engineering, Shenyang, China"
https://dblp.org/pid/00/5815-1,"Northeastern University, Department of Electrical and Computer Engineering / College of Computer and Information Science, Boston, MA, USA"
https://dblp.org/pid/00/5867-19,"Northeastern University, Shenyang, China"
https://dblp.org/pid/00/6472-5,"Northeastern University, Sino-Dutch Biomedical and Information Engineering School, Shenyang, China"
https://dblp.org/pid/00/6528-3,"Northeastern University, Information Science and Engineering, Shenyang, China"
https://dblp.org/pid/00/6921-4,"Northeastern University, Department of Computer Science and Engineering, Shenyang, China"
https://dblp.org/pid/00/7347,"Northeastern University, Shenyang, Liaoning, China"
https://dblp.org/pid/00/8247,"Northeastern University, Boston, MA, USA"
https://dblp.org/pid/01/5401-2,"Northeastern University, Boston, MA, USA"
https://dblp.org/pid/02/5889-162,"Northeastern University, College of Medicine and Biological Information Engineering, Shenyang, China"
https://dblp.org/pid/02/5906-2,"Northeastern University, College of Software, Shenyang, China"
https://dblp.org/pid/02/6428-20,"Northeastern University, Software College, School of Computer Science and Engineering, Shenyang, China"
https://dblp.org/pid/03/1357,"Northeastern University, Boston, USA"
https://dblp.org/pid/03/27-2,"Northeastern University, Institute of Control Theory and Navigation Technology, College of Information Science and Engineering, Shenyang, China"
https://dblp.org/pid/03/3890-7,"Northeastern University, D'Amore-McKim School of Business, Boston, MA, USA"
https://dblp.org/pid/03/4774-1,"Northeastern University, College of Information Science and Engineering, Shenyang, China"
https://dblp.org/pid/03/7067-3,"Northeastern University, College of Information Science and Engineering, Shenyang, China"
https://dblp.org/pid/04/1262-1,"Northeastern University, College of Information Science and Engineering, Shenyang, China"
https://dblp.org/pid/04/2024-16,"Northeastern University, Laboratory for the Modeling of Biological and Socio-technical Systems, Boston, MA, USA"
https://dblp.org/pid/04/2024-45,"Northeastern University, State Key Laboratory of Synthetical Automation for Process Industries, Shenyang, China"
https://dblp.org/pid/04/2793-14,"Northeastern University, School of Computer and Communication Engineering Qinhuangdao, China"
https://dblp.org/pid/04/2793-2,"Northeastern University, Institute of Engineering Optimization and Smart Antenna, Qinhuangdao, China"
https://dblp.org/pid/04/2910-8,"Northeastern University, MA, USA"
https://dblp.org/pid/04/3572-9,"Northeastern University, Department of Mechanical and Industrial Engineering, Boston, MA, USA"
https://dblp.org/pid/04/3786,"Northeastern University, Department of Electrical and Computer Engineering, Boston, MA, USA"
https://dblp.org/pid/04/5856-4,"Northeastern University, Shenyang, China"
https://dblp.org/pid/04/5903,"Northeastern University, Boston, MA, USA"
https://dblp.org/pid/04/8548-2,"Northeastern University, Boston, MA, USA"
https://dblp.org/pid/05/4537,"Northeastern University, Boston, MA, USA"
https://dblp.org/pid/06/2293-66,"Northeastern University, School of Information Science and Engineering, Shenyang, China"
https://dblp.org/pid/06/2823-1,"Northeastern University, College of Sciences, Shenyang, China"
https://dblp.org/pid/06/4186-7,"Northeastern University, School of Computer Science and Engineering, Shenyang, China"
https://dblp.org/pid/06/5143-1,"Northeastern University, Computer Science and Engineering, Shenyang, China"
https://dblp.org/pid/07/10194-4,"Northeastern University, Shenyang City, Liaoning Province, China"
https://dblp.org/pid/07/11244-1,"Northeastern University, School of Computer Science and Engineering, Key Laboratory of Intelligent Computing in Medical Image, Shenyang, China"
https://dblp.org/pid/07/1951-16,"Northeastern University, School of Mechanical Engineering and Automation, Shenyang, China"
https://dblp.org/pid/07/4434,"Northeastern University, Boston, USA"
https://dblp.org/pid/07/6773-13,"Northeastern University, State Key Laboratory of Synthetical Automation for Process Industries, Shenyang, China"
https://dblp.org/pid/07/6773-16,"Northeastern University, College of Information Science and Engineering, State Key Laboratory of Synthetical Automation for Process Industriesm Shenyang, China"
https://dblp.org/pid/08/7458-3,"Northeastern University, Boston, MA, USA"
https://dblp.org/pid/08/7638-1,"Northeastern University, Shenyang, China"
https://dblp.org/pid/09/3493-19,"Northeastern University, College of Information Science and Engineering, Shenyang, China"
https://dblp.org/pid/09/4151,"Northeastern University, USA"
https://dblp.org/pid/09/4756-1,"Northeastern University, Software College, Shenyang, China"
https://dblp.org/pid/09/4940,"Northeastern University, Boston, MA, USA"
https://dblp.org/pid/09/5042-38,"Northeastern University, School of Mechanical Engineering and Automation, Shenyang, China"
