author,affiliation
https://dblp.org/pid/09/4444,"Northern Arizona University, Flagstaff, AZ, USA"
https://dblp.org/pid/158/4548,"Northern Arizona University, Flagstaff, AZ, USA"
https://dblp.org/pid/243/5526,"Northern Arizona University, W. A. Franke College of Business, Flagstaff, AZ, USA"
https://dblp.org/pid/33/2472,"Northern Arizona University, Flagstaff, AZ, USA"
https://dblp.org/pid/44/2700,"Northern Arizona University, Flagstaff, Arizona, USA"
https://dblp.org/pid/44/9031,"Northern Arizona University, Flagstaff, AZ, USA"
https://dblp.org/pid/48/4185-2,"Northern Arizona University, Flagstaff, AZ, USA"
https://dblp.org/pid/62/1289-1,"Northern Arizona University, Flagstaff, AZ, USA"
https://dblp.org/pid/71/1378,"Northern Arizona University, College of Business Administration, Flagstaff, AZ, USA"
https://dblp.org/pid/77/7550,"Northern Arizona University, Center for Ecosystem Science and Society, Flagstaff, AZ, USA"
https://dblp.org/pid/99/11265,"Northern Arizona University, School of Informatics, Computing & Cyber Systems, Flagstaff, USA"
