author,affiliation
https://dblp.org/pid/02/11425,"Oakland University, Department of Mathematics and Statistics, Rochester, MI, USA"
https://dblp.org/pid/05/3234,"Oakland University, Rochester, MI, USA"
https://dblp.org/pid/133/9038,"Oakland University, Rochester, MI, USA"
https://dblp.org/pid/143/5718,"Oakland University, Department of Computer Science and Engineering, Rochester, MI, USA"
https://dblp.org/pid/224/7345,"Oakland University, Auburn Hills, MI, USA"
https://dblp.org/pid/23/2649,"Oakland University, Rochester, MI, USA"
https://dblp.org/pid/23/6950-10,"Oakland University, Department of Electrical and Computer Engineering, Rochester, MI, USA"
https://dblp.org/pid/30/5464-6,"Oakland University, Rochester, MI, USA"
https://dblp.org/pid/342/2403,"Oakland University, Department of Electrical and Computer Engineering, Rochester, MI, USA"
https://dblp.org/pid/36/10574,"Oakland University, Rochester, MI, USA"
https://dblp.org/pid/40/1187,"Oakland University, Rochester, MI, USA"
https://dblp.org/pid/44/675,"Oakland University, Department of Industrial and Systems Engineering, Rochester, MI, USA"
https://dblp.org/pid/53/2189-18,"Oakland University, Department of Mathematics and Statistics, Rochester, MI, USA"
https://dblp.org/pid/57/1220,"Oakland University, Rochester, Michigan, USA"
https://dblp.org/pid/67/549,"Oakland University, Department of Computer Science and Engineering, Rochester, MI, USA"
https://dblp.org/pid/75/3158-36,"Oakland University, Department of Chemistry, Rochester, MI, USA"
https://dblp.org/pid/78/4442-1,"Oakland University, Department of Computer Science and Engineering, Rochester, MI, USA"
https://dblp.org/pid/78/8636,"Oakland University, Rochester, MI, USA"
https://dblp.org/pid/82/3707,"Oakland University, Department of Computer Science and Engineering, Rochester, Michigan, USA"
https://dblp.org/pid/83/663-5,"Oakland University, Department of Electrical and Computer Engineering, Rochester, MI, USA"
https://dblp.org/pid/85/5901-2,"Oakland University, Rochester, MI, USA"
https://dblp.org/pid/88/113,"Oakland University, Rochester, MI, USA"
https://dblp.org/pid/92/6271,"Oakland University, Rochester, Michigan, USA"
https://dblp.org/pid/97/395,"Oakland University, Rochester, MI, USA"
https://dblp.org/pid/98/2416-3,"Oakland University, Rochester, MI, USA"
https://dblp.org/pid/h/MingHua3,"Oakland University, Rochester, MI, USA"
https://dblp.org/pid/k/DaeKyooKim,"Oakland University, Rochester, MI, USA"
