author,affiliation
https://dblp.org/pid/00/2843-5,"Ohio State University, Columbus, OH, USA"
https://dblp.org/pid/00/2922-5,"Ohio State University, Department of Civil, Environmental and Geodetic Engineering, Columbus, OH, USA"
https://dblp.org/pid/01/799,"The Ohio State University, Columbus, OH, USA"
https://dblp.org/pid/02/5889-1,"Ohio State University, Columbus, OH, USA"
https://dblp.org/pid/03/2078-1,"Ohio State University, Columbus, OH, USA"
https://dblp.org/pid/03/5954-9,"Ohio State University, Department of Computer Science and Engineering, Columbus, OH, USA"
https://dblp.org/pid/03/9964-8,"The Ohio State University, OH, USA"
https://dblp.org/pid/04/5627,"Ohio State University, Department of Mathematics, Columbus, Ohio, USA"
https://dblp.org/pid/06/2999-3,"Ohio State University, CATALYST, Columbus, OH, USA"
https://dblp.org/pid/07/1021-7,"Ohio State University, Columbus, OH, USA"
https://dblp.org/pid/07/314-77,"Ohio State University, Department of Statistics, Columbus, OH, USA"
https://dblp.org/pid/09/5733,"The Ohio State University, Department of Statistics, Columbus, OH, USA"
https://dblp.org/pid/10/5630-120,"Ohio State University, Columbus, OH, USA"
https://dblp.org/pid/10/6083-1,"Ohio State University Health Systems, Columbus, OH, USA"
https://dblp.org/pid/11/1394-26,"Ohio State University, Department of FABE, Columbus, OH, USA"
https://dblp.org/pid/11/399,"Ohio State University, Columbus, OH, USA"
https://dblp.org/pid/116/8913-1,"Ohio State University, OH, USA"
https://dblp.org/pid/119/0882-4,"Ohio State University, Columbus, OH, USA"
https://dblp.org/pid/122/2948,"Ohio State University, Department of Computer Sciece and Engineering"
https://dblp.org/pid/13/4682-16,"Ohio State University, Columbus, OH, USA"
https://dblp.org/pid/131/4985,"Ohio State University, Columbus, OH, USA"
https://dblp.org/pid/132/4688,"Ohio State University, Department of Pathology, Columbus, OH, USA"
https://dblp.org/pid/132/7882-6,"Ohio State University, Columbus, OH, USA"
https://dblp.org/pid/132/9165-4,"The Ohio State University, USA"
https://dblp.org/pid/133/4721-1,"Ohio State University, Columbus, OH, USA"
https://dblp.org/pid/142/7117-1,"Ohio State University, Columbus, Department of Electrical and Computer Engineering, OH, USA"
https://dblp.org/pid/143/2381-4,"Ohio State University, Department of Computer Science and Engineering, Columbus, OH, USA"
https://dblp.org/pid/149/8204,"Ohio State University, Columbus, Ohio, USA"
https://dblp.org/pid/15/2101-5,"Ohio State University, Department of Computing Science and Engineering, Columbus, OH, USA"
https://dblp.org/pid/15/2905-1,"Ohio State University, Department of Computer Science and Engineering, Columbus, OH, USA"
https://dblp.org/pid/15/4208-16,"Ohio State University, Columbus, OH, USA"
https://dblp.org/pid/152/0645,"Ohio State University, School of Communication"
https://dblp.org/pid/153/8506,"Ohio State University, Electroscience Laboratory, Columbus, OH, USA"
https://dblp.org/pid/16/3962-4,"Ohio State University, Department of Electronic Engineering"
https://dblp.org/pid/16/782,"Ohio State University, Columbus, USA"
https://dblp.org/pid/163/0545,"Ohio State University, OH, USA"
https://dblp.org/pid/163/1167,"Ohio State University, Columbus, OH, USA"
