author,affiliation
https://dblp.org/pid/01/2627-2,"Ohio University, College of Business, Copeland, OH, USA"
https://dblp.org/pid/04/2024-31,"Ohio University, School of Electrical Engineering & Computer Science, Athens, OH, USA"
https://dblp.org/pid/10/10593,"Industrial and Systems Engineering, Ohio University, Athens, OH, USA"
https://dblp.org/pid/130/1013-4,"Ohio University, Athens, OH, USA"
https://dblp.org/pid/20/3346-4,"Ohio University, Athens, OH, USA"
https://dblp.org/pid/238/0684,"Ohio University, Musculoskeletal and Neurological Institute, Athens, OH, USA"
https://dblp.org/pid/326/3129,"Ohio University, Department of Mathematics, Athens, OH, USA"
https://dblp.org/pid/34/8156-8,"Ohio University, Ohio Musculoskeletal and Neurological Institute, OH, USA"
https://dblp.org/pid/52/5716-28,"Ohio University, Athens, OH, USA"
https://dblp.org/pid/55/6958-5,"Ohio University, Department of Industrial and Systems Engineering, Athens, OH, USA"
https://dblp.org/pid/59/6384,Ohio University
https://dblp.org/pid/70/4107,"Ohio University, Athens, School of Electrical Engineering and Computer Science"
https://dblp.org/pid/81/8832,"Ohio University, Athens, OH, USA"
https://dblp.org/pid/j/DavidWJuedes,"Ohio University, Athens, OH, USA"
