author,affiliation
https://dblp.org/pid/00/5763-2,"Oklahoma State University, Stillwater, OK, USA"
https://dblp.org/pid/03/6588-11,"Oklahoma State University, Computer Science Department, Stillwater, OK, USA"
https://dblp.org/pid/04/1131-2,"Oklahoma State University Stillwater, Plant and Soil Sciences, OK, USA"
https://dblp.org/pid/06/6253-1,"Oklahoma State University, School of Electrical and Computer Engineering, Stillwater, OK, USA"
https://dblp.org/pid/10/217-12,"Oklahoma State University, School of Civil and Environmental Engineering, Stillwater, OK, USA"
https://dblp.org/pid/133/3972,"Oklahoma State University, Stillwater, OK, USA"
https://dblp.org/pid/135/9355-6,"Oklahoma State University, School of Chemical Engineering, Stillwater, OK, USA"
https://dblp.org/pid/158/6303-3,"Oklahoma State University, School of Chemical Engineering, Stillwater, OK, USA"
https://dblp.org/pid/181/2408-1,"Oklahoma State University, College of Business Administration, Stillwater, OK, USA"
https://dblp.org/pid/181/2830-4,"Oklahoma State University, Department of Computer Science, Stillwater, OK USA"
https://dblp.org/pid/189/0389,"Oklahoma State University, Department of Management, Stillwater, USA"
https://dblp.org/pid/205/6292,"Oklahoma State University, School of Civil and Environmental Engineering, Stillwater, OK, USA"
https://dblp.org/pid/224/7019-2,"Oklahoma State University, USA"
https://dblp.org/pid/230/8100,"Oklahoma State University, School of Mechanical and Aerospace Engineering, Stillwater, OK, USA"
https://dblp.org/pid/30/4550-3,"Oklahoma State University, School of Chemical Engineering, Stillwater, OK, USA"
https://dblp.org/pid/32/6767,"Department of Mathematics and Computer Science, Northwestern Oklahoma State University"
https://dblp.org/pid/369/5654-1,"Oklahoma state university, Stillwater, OK, USA"
https://dblp.org/pid/384/7567,"Oklahoma State University, Department of Plant and Soil Sciences, Stillwater, OK, USA"
https://dblp.org/pid/39/1801-3,"Oklahoma State University, Department of Management Science and Information Systems, Stillwater, OK, USA"
https://dblp.org/pid/42/3145-5,"Oklahoma State University, Stillwater, OK, USA"
https://dblp.org/pid/42/6492,"Oklahoma State University, Stillwater, Oklahoma, USA"
https://dblp.org/pid/46/1838-2,"Oklahoma State University, School of Electrical and Computer Engineering, Stillwater, OK, USA"
https://dblp.org/pid/47/717,"Oklahoma State University, Stillwater, School of Electrical and Computer Engineering"
https://dblp.org/pid/50/1585-4,"Oklahoma State University, Stillwater, OK, USA"
https://dblp.org/pid/51/3710-109,"Oklahoma State University, School of Civil and Environmental Engineering, Stillwater, OK, USA"
https://dblp.org/pid/67/11055,"Oklahoma State University, Stillwater, OK, USA"
https://dblp.org/pid/67/1216,"Oklahoma State University, Computing and Information Sciences Department, Stillwater, OK, USA"
https://dblp.org/pid/69/510-43,"Oklahoma State University, Computer Science Department, Stillwater, OK, USA"
https://dblp.org/pid/70/1454,"Northwestern Oklahoma State University, Alva, OK, USA"
https://dblp.org/pid/73/5171-1,"Oklahoma State University, School of Mechanical and Aerospace Engineering, Stillwater, OK, USA"
https://dblp.org/pid/81/2772,"Oklahoma State University, Stillwater, OK, USA"
https://dblp.org/pid/85/1868-9,"Oklahoma State University, School of Electrical and Computer Engineering, Stillwater, OK, USA"
https://dblp.org/pid/91/5432,"Oklahoma State University, Stillwater, OK, USA"
https://dblp.org/pid/92/3189-1,"Oklahoma State University, USA"
https://dblp.org/pid/96/234,"Oklahoma State University, Stillwater, OK, USA"
https://dblp.org/pid/s/MansurHSamadzadeh,"Oklahoma State University, Stillwater, OK, USA"
