author,affiliation
https://dblp.org/pid/00/10129,"Old Dominion University, Norfolk, VA, USA"
https://dblp.org/pid/02/10681-1,"Old Dominion University, Department of Information Technology and Decision Sciences, VI, USA"
https://dblp.org/pid/02/3950-8,"Old Dominion University, Frank Reidy Research Center for Bioelectrics, Department of Electrical and Computer Engineering, Norfolk, VA, USA"
https://dblp.org/pid/10/4321,"Old Dominion University, Department of Electrical and Computer Engineering, Norfolk, VA, USA"
https://dblp.org/pid/11/6855,"Old Dominion University, Department of Computer Science, Norfolk, VA, USA"
https://dblp.org/pid/118/2390,"Old Dominion University, Suffolk, VA, USA"
https://dblp.org/pid/119/9492-5,"Old Dominion University, Department of Electrical and Computer Engineering, Norfolk, VA, USA"
https://dblp.org/pid/120/8505,"Old Dominion University, Norfolk, VA, USA"
https://dblp.org/pid/125/0175,"Old Dominion University, Norfolk VA, USA"
https://dblp.org/pid/13/1574-4,"Old Dominion University, Department of Electrical and Computer Engineering, Norfolk, VA, USA"
https://dblp.org/pid/130/4037,"Old Dominion University, Norfolk, VA, USA"
https://dblp.org/pid/147/5249,"Old Dominion University, Department of Computer Science"
https://dblp.org/pid/148/3316-1,"Old Dominion University, Geography Program, Institute for Coastal Adaptation and Resilience, ICAR Norfolk, VI, USA"
https://dblp.org/pid/148/3679-3,"Old Dominion University, Norfolk, VA, USA"
https://dblp.org/pid/15/4830-7,"Old Dominion University, Norfolk, VA, USA"
https://dblp.org/pid/159/0252,"Old Dominion University, Department of Computer Science, Norfolk, VA, USA"
https://dblp.org/pid/16/6317-14,"Old Dominion University, Department of Information Technology and Decision Sciences, Norfolk, VA, USA"
https://dblp.org/pid/162/2913,"Old Dominion University, Norfolk, VA, USA"
https://dblp.org/pid/167/2823,"Old Dominion University, Frank Batten College of Engineering and Technology, Norfolk, USA"
https://dblp.org/pid/172/7244,"Old Dominion University, Psychology Department, Norfolk, VA, USA"
https://dblp.org/pid/18/2008,"Old Dominion University, School of Data Science, Norfolk, VA, USA"
https://dblp.org/pid/187/2951,"Old Dominion University, Norfolk, VA, USA"
https://dblp.org/pid/189/4868,"Old Dominion University, Norfolk, VA, USA"
https://dblp.org/pid/205/5079,"Old Dominion University, Norfolk, VA, USA"
https://dblp.org/pid/211/3906,"Old Dominion University, Department of Electrical and Computer Engineering, Norfolk, VA, USA"
https://dblp.org/pid/249/7555,"Old Dominion University, Norfolk, VA, USA"
https://dblp.org/pid/29/4190-64,"Old Dominion University, Department of Engineering Management and Systems Engineering, Norfolk, Virginia, USA"
https://dblp.org/pid/315/0824-3,"Old Dominion University, Department Of Computer Science, Norfolk, VA, USA"
https://dblp.org/pid/32/10971-2,"Old Dominion University, Norfolk, Virginia, USA"
https://dblp.org/pid/33/2394,"Old Dominion University, Norfolk, USA"
https://dblp.org/pid/33/794-4,"Old Dominion University, College of Arts and Letters, Norfolk, VA, USA"
https://dblp.org/pid/35/7092-45,"Old Dominion University, Department of Electrical and Computer Engineering, Norfolk, VA, USA"
https://dblp.org/pid/362/5534,"Old Dominion University, Norfolk, VA, USA"
https://dblp.org/pid/37/3831-2,"Old Dominion University, School of Cybersecurity, Norfolk, VA, USA"
https://dblp.org/pid/37/854,"Old Dominion University, Norfolk, USA"
https://dblp.org/pid/378/1297,"Old Dominion University, Department of Computer Science, Norfolk, VA, USA"
https://dblp.org/pid/38/1669,"Old Dominion University, Department of Computer Science, Norfolk, VA, USA"
https://dblp.org/pid/41/3068-1,"Old Dominion University, Norfolk, VA, USA"
https://dblp.org/pid/41/5222,"Old Dominion University, Norfolk, USA"
https://dblp.org/pid/51/3196,"Old Dominion University, Norfolk, VA, USA"
https://dblp.org/pid/52/5436,"Old Dominion University, Norfolk, USA"
https://dblp.org/pid/52/9085,"Old Dominion University, Department of Engineering Management and Systems Engineering, Norfolk, VA, USA"
https://dblp.org/pid/53/8941,"Old Dominion University, Virginia Modeling, Analysis and Simulation Center (VMASC)"
https://dblp.org/pid/57/8731,"Old Dominion University, Department of Engineering Management and Systems Engineering, Norfolk, VA, USA"
https://dblp.org/pid/58/8831,"Old Dominion University Norfolk, VA, USA"
https://dblp.org/pid/59/8893,"Old Dominion University, Center for Learning and Teaching, Norfolk, VA, USA"
https://dblp.org/pid/62/6371,"Old Dominion University, Norfolk, USA"
https://dblp.org/pid/64/4137,"Old Dominion University, Norfolk, USA"
https://dblp.org/pid/65/6010-2,"Old Dominion University, Norfolk, VA, USA"
https://dblp.org/pid/68/8016,"Old Dominion University, Norfolk, VA, USA"
https://dblp.org/pid/70/9790,"Old Dominion University, Norfolk, Virginia, USA"
https://dblp.org/pid/72/2781,"Old Dominion University, Norfolk, USA"
https://dblp.org/pid/73/5618-1,"Old Dominion University, Norfolk, VA, USA"
https://dblp.org/pid/74/3883-4,"Old Dominion University, Norfolk, VA, USA"
https://dblp.org/pid/82/2803,"Old Dominion University, Department of Modeling, Simulation and Visualization Engineering, Norfolk, VA, USA"
https://dblp.org/pid/85/93-2,"Old Dominion University, Department of Computer Science, Norfolk, VA, USA"
https://dblp.org/pid/86/2589-2,"Old Dominion University, Department of Engineering Management & Systems Engineering, Norfolk, VA, USA"
