author,affiliation
https://dblp.org/pid/00/3361-3,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/00/440-4,"Pennsylvania State University, Department of Mechanical Engineering, PA, USA"
https://dblp.org/pid/00/6525-1,"Pennsylvania State University, College of Information Sciences and Technology, PA, USA"
https://dblp.org/pid/00/772,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/01/1084-1,"Pennsylvania State University, USA"
https://dblp.org/pid/01/5176,"Pennsylvania State University, University Park, USA"
https://dblp.org/pid/01/6072-14,"Pennsylvania State University, Department of Computer Science and Engineering, PA, USA"
https://dblp.org/pid/02/4329,"Pennsylvania State University, University Park, USA"
https://dblp.org/pid/02/736-84,"Pennsylvania State University, College of Information Sciences and Technology, University Park, PA, USA"
https://dblp.org/pid/03/1390-3,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/04/999-3,"Pennsylvania State University, Complex Systems Monitoring, Modeling and Control Laboratory, University Park, PA, USA"
https://dblp.org/pid/05/2700-2,"Pennsylvania State University, Department of Mechanical and Nuclear Engineering, University Park, PA, USA"
https://dblp.org/pid/05/2700-8,"Pennsylvania State University, Biological and Robotic Intelligent Fluid Locomotion Lab, Department of Mechanical Engineering, PA, USA"
https://dblp.org/pid/05/3927-4,"Pennsylvania State University, Department of Computer Science and Engineering, PA, USA"
https://dblp.org/pid/06/7387,"Pennsylvania State University, Department of Chemistry, USA"
https://dblp.org/pid/07/3548-2,"Pennsylvania State University, Nuclear Engineering Department, University Park, USA"
https://dblp.org/pid/09/2321-5,"Pennsylvania State University, Department of Communication Arts and Sciences, University Park, PA, USA"
https://dblp.org/pid/09/3224-10,"Pennsylvania State University, College of Info Sciences, State College, PA, USA"
https://dblp.org/pid/09/6014,"Pennsylvania State University, University Park, USA"
https://dblp.org/pid/11/2192,"Pennsylvania State University, USA"
https://dblp.org/pid/117/7310-1,"Pennsylvania State University, PA, USA"
https://dblp.org/pid/12/2633-6,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/12/8665-2,The Pennsylvania State University
https://dblp.org/pid/120/8707-4,"The Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/125/6631,"Pennsylvania State University, State College, PA, USA"
https://dblp.org/pid/128/8578,"Pennsylvania State University, Huck Institutes of the Life Sciences, University Park, PA, USA"
https://dblp.org/pid/129/9444,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/13/4208-4,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/133/4864-2,"Pennsylvania State University, PA, USA"
https://dblp.org/pid/133/6190,"Pennsylvania State University, University Park, USA"
https://dblp.org/pid/14/716,"Pennsylvania State University, University Park, USA"
https://dblp.org/pid/140/8196,"Pennsylvania State University, Department of Mathematics, USA"
https://dblp.org/pid/143/4089,"Pennsylvania State University, Health Policy and Administration, University Park, PA, USA"
https://dblp.org/pid/144/5889,"Pennsylvania State University, College of Information Sciences and Technology"
https://dblp.org/pid/144/8102,"Pennsylvania State University, USA"
https://dblp.org/pid/145/0249-1,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/157/6816,"Pennsylvania State University, USA"
https://dblp.org/pid/159/1410,"Pennsylvania State University, College of Information Sciences and Technology, University Park, PA, USA"
https://dblp.org/pid/16/3283-60,"Pennsylvania State University, Department of Mechanical Engineering, University Park, PA, USA"
https://dblp.org/pid/162/5355,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/163/1250,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/17/5404,"Pennsylvania State University, USA"
https://dblp.org/pid/17/6729-31,"Pennsylvania State University, Department of Chemical Engineering, University Park, PA, USA"
https://dblp.org/pid/172/0635,"Pennsylvania State University, Department of Physics, USA"
https://dblp.org/pid/175/8146,"Pennsylvania State University, University Park, USA"
https://dblp.org/pid/175/8161,"Pennsylvania State University, University Park, USA"
https://dblp.org/pid/176/2870,"The Pennsylvania State University, College of Information Sciences and Technology, University Park, PA, USA"
https://dblp.org/pid/177/6974-2,"Pennsylvania State University, PA, USA"
https://dblp.org/pid/178/2824,"Pennsylvania State University, PA, USA"
https://dblp.org/pid/181/2539,"The Pennsylvania State University, State College, PA, USA"
https://dblp.org/pid/185/4461,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/187/4282,"Pennsylvania State University, Department of Statistics, University Park, PA, USA"
https://dblp.org/pid/188/9501,"Pennsylvania State University, University Park, PA USA"
https://dblp.org/pid/191/1926-2,"Pennsylvania State University, PA, USA"
https://dblp.org/pid/193/1134,"Pennsylvania State University, Information Sciences and Technology, USA"
https://dblp.org/pid/197/9798,"Pennsylvania State University, Monaca, USA"
https://dblp.org/pid/20/6746,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/20/6977-1,"Pennsylvania State University, PA, USA"
https://dblp.org/pid/200/0049-2,"Pennsylvania State University, Department of Architectural Engineering, PA, USA"
https://dblp.org/pid/203/4209,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/208/7308,"Pennsylvania State University, College of Information Sciences and Technology, University Park, PA, USA"
https://dblp.org/pid/209/7584,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/21/3512,Pennsylvania State University
https://dblp.org/pid/21/4506-6,"Pennsylvania State University, Earth and Environmental Systems Institute, University Park, PA, USA"
https://dblp.org/pid/21/6121-31,"Pennsylvania State University, Department of Electrical Engineering, University Park, PA, USA"
https://dblp.org/pid/21/6121-5,"Pennsylvania State University, College of Information Sciences and Technology, University Park, PA, USA"
https://dblp.org/pid/22/0-17,"Pennsylvania State University, College of Information Sciences and Technology, University Park, PA, USA"
https://dblp.org/pid/22/1390,"Pennsylvania State University, Department of Mathematics, USA"
https://dblp.org/pid/221/1745,"Pennsylvania State University, State College, PA, USA"
https://dblp.org/pid/222/1987,"Pennsylvania State University, State College, PA, USA"
https://dblp.org/pid/23/6950-1,"Pennsylvania State University, Department of Statistics, University Park, PA, USA"
https://dblp.org/pid/234/1632,"Pennsylvania State University, Harrisburg, PA, USA"
https://dblp.org/pid/235/0682-3,"Pennsylvania State University, PA, USA"
https://dblp.org/pid/236/6777-1,"Pennsylvania State University, PA, USA"
https://dblp.org/pid/249/7317,"Pennsylvania State University Lehigh Valley, PA, USA"
https://dblp.org/pid/25/2134-2,"Pennsylvania State University, USA"
https://dblp.org/pid/26/6554-6,"Pennsylvania State University, State College, PA, USA"
https://dblp.org/pid/262/1436,"Pennsylvania State University, State College, PA, USA"
https://dblp.org/pid/264/9322,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/271/6851,"Pennsylvania State University, School Electrical Engeeniering and Computer Science, PA, USA"
https://dblp.org/pid/278/1532,"Pennsylvania State University, State College, PA, USA"
https://dblp.org/pid/28/5739,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/286/3690,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/30/202-10,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/30/5464-1,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/31/966-8,"Pennsylvania State University, PA, USA"
https://dblp.org/pid/32/4092-2,"Pennsylvania State University, Department of Applied Linguistics, PA, USA"
https://dblp.org/pid/32/5495-1,"Pennsylvania State University, Department of Electrical Engineering, State College, PA, USA"
https://dblp.org/pid/32/5495-11,"Pennsylvania State University, College of Information Science and Technology, University Park, PA, USA"
https://dblp.org/pid/322/0891,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/33/4854-5,"Pennsylvania State University, Department of Computer Science and Engineering, University Park, PA, USA"
https://dblp.org/pid/34/1207,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/34/267,"Pennsylvania State University, Department of Mathematics, USA"
https://dblp.org/pid/34/8156-10,"Pennsylvania State University, College of Information Sciences and Technology, PA, USA"
https://dblp.org/pid/343/6351-2,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/35/3221-1,"Pennsylvania State University, College of Information Sciences and Technology, University Park, PA, USA"
https://dblp.org/pid/358/6428,"Pennsylvania State University, State College, PA, USA"
https://dblp.org/pid/36/10674-3,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/36/2301-2,"Pennsylvania State University, Department of Computer Science and Engineering, University Park, PA, USA"
https://dblp.org/pid/36/3770,"Pennsylvania State University, University Park, USA"
https://dblp.org/pid/36/4526-2,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/38/5049,"Pennsylvania State University, Department of Statistics"
https://dblp.org/pid/38/6049-12,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/39/5423-19,"Pennsylvania State University, Department of Computer Science and Engineering, University Park, PA, USA"
https://dblp.org/pid/39/6153-21,"Pennsylvania State University, Smeal College of Business, PA, USA"
https://dblp.org/pid/39/6825-4,"Pennsylvania State University, College of Communications, State College, PA, USA"
https://dblp.org/pid/40/2231,"Pennsylvania State University, University Park, USA"
https://dblp.org/pid/40/8279,"Pennsylvania State University, PA, USA"
https://dblp.org/pid/41/6565-3,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/41/7732-3,"Pennsylvania State University, College of Information Sciences and Technology, State College, PA, USA"
https://dblp.org/pid/43/4940-2,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/44/740-2,"Pennsylvania State University, PA, USA"
https://dblp.org/pid/45/10271,"Pennsylvania State University, University Park, USA"
https://dblp.org/pid/45/576,"Pennsylvania State University, University Park, USA"
https://dblp.org/pid/45/9617,"Pennsylvania State University, Department of Electrical Engineering, University Park, PA, USA"
https://dblp.org/pid/46/2181-63,"Pennsylvania State University, Department of Architectural Engineering, University Park, PA, USA"
https://dblp.org/pid/46/2311-15,"Pennsylvania State University, School of Electrical Engineering and Computer Science, PA, USA"
https://dblp.org/pid/47/2481,"Pennsylvania State University, University Park, USA"
https://dblp.org/pid/47/3877-4,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/47/722-17,"Pennsylvania State University, Smeal College of Business, University Park, PA, USA"
https://dblp.org/pid/49/4478-19,"Pennsylvania State University, GeoVISTA Center, PA, USA"
https://dblp.org/pid/50/3857-4,"Pennsylvania State University, Department of Computer Science and Engineering, University Park, PA, USA"
https://dblp.org/pid/50/4083,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/50/671-13,"Pennsylvania State University, College of Information Sciences and Technology, State College, PA, USA"
https://dblp.org/pid/50/671-2,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/50/671-74,"Pennsylvania State University, Department of Civil and Environmental Engineering, University Park, USA"
https://dblp.org/pid/50/6996-17,"Pennsylvania State University, Department of Electrical Engineering, University Park, PA, USA"
https://dblp.org/pid/50/8716,"Pennsylvania State University, College of Medicine, Hershey, USA"
https://dblp.org/pid/51/4433-4,"Pennsylvania State University, Department of Mechanical and Nuclear Engineering, University Park, PA, USA"
https://dblp.org/pid/51/463,"Pennsylvania State University, University Park, USA"
https://dblp.org/pid/51/5122,"Pennsylvania State University, USA"
https://dblp.org/pid/51/7453,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/52/4021-2,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/52/854-1,"Pennsylvania State University, Department of Computer Science and Engineering, University Park, PA, USA"
https://dblp.org/pid/52/8915-5,"Pennsylvania State University, Department of Computer Science and Engineering, University Park, PA, USA"
https://dblp.org/pid/53/3789-2,"Pennsylvania State University, Applied Research Laboratory, State College, PA, USA"
https://dblp.org/pid/54/2062-14,"Pennsylvania State University, Philadelphia, PA, USA"
https://dblp.org/pid/54/6252-2,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/55/112-5,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/55/8186-3,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/55/957-22,"Pennsylvania State University, Department of Kinesiology, University Park, PA, USA"
https://dblp.org/pid/56/130,"Pennsylvania State University, Abington, PA, USA"
https://dblp.org/pid/56/2373-6,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/56/5117,"Pennsylvania State University, Department of Mathematics, USA"
https://dblp.org/pid/57/2943,"Pennsylvania State University, College of Information Sciences and Technology, University Park, USA"
https://dblp.org/pid/57/3385-10,"Pennsylvania State University, Human Development and Family Studies, USA"
https://dblp.org/pid/58/3804,"Pennsylvania State University, USA"
https://dblp.org/pid/58/9181-4,"Pennsylvania State University, PA, USA"
https://dblp.org/pid/59/5133,"Pennsylvania State University, University Park, USA"
https://dblp.org/pid/59/8213,"Pennsylvania State University, State College, PA, USA"
https://dblp.org/pid/61/3976-1,"Pennsylvania State University, Department of Bioengineering, PA, USA"
https://dblp.org/pid/61/500-14,"Pennsylvania State University, Department of Mechanical and Nuclear Engineering, University Park, PA, USA"
https://dblp.org/pid/61/6430,"Pennsylvania State University, University Park, USA"
https://dblp.org/pid/61/6921-8,"Pennsylvania State University, State College, PA, USA"
https://dblp.org/pid/62/5839-2,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/63/2223-9,"Pennsylvania State University, Artificial Intelligent Research Laboratory, PA, USA"
https://dblp.org/pid/65/1700-2,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/65/714,"Pennsylvania State University, PA, USA"
https://dblp.org/pid/66/3061-1,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/66/3108,Pennsylvania State University
https://dblp.org/pid/67/1749-1,"Pennsylvania State University, Department of Computer Science and Engineering, University Park, PA, USA"
https://dblp.org/pid/67/2048,"Pennsylvania State University, Department of Plant Science, Pittsburgh, USA"
https://dblp.org/pid/67/2737,"Pennsylvania State University, GeoVISTA Center, PA, USA"
https://dblp.org/pid/67/6649-14,"Pennsylvania State University, Department of Computer Science and Engineering, University Park, PA, USA"
https://dblp.org/pid/67/950-2,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/68/1041-4,"Pennsylvania State University, State College, PA, USA"
https://dblp.org/pid/69/5882-1,"Pennsylvania State University, Department of Computer Science and Engineering, University Park, PA, USA"
https://dblp.org/pid/70/720-5,"Pennsylvania State University, College of Medicine, Hershey, PA, USA"
https://dblp.org/pid/72/3356,"Pennsylvania State University, University Park, USA"
https://dblp.org/pid/73/10660,"Pennsylvania State University, University Park, PA, USA"
https://dblp.org/pid/73/2252-2,"Pennsylvania State University, USA"
https://dblp.org/pid/73/9517-2,"Pennsylvania State University, PA, USA"
