author,affiliation
https://dblp.org/pid/02/9258,"Rice University, Houston, TX, USA"
https://dblp.org/pid/02/9420,"Rice University, Houston, TX, USA"
https://dblp.org/pid/03/4379-2,Rice University
https://dblp.org/pid/04/383-11,"Rice University, Houston, TX, USA"
https://dblp.org/pid/05/1684,"Rice University, Houston, TX, USA"
https://dblp.org/pid/06/2917-2,"Rice University, Department of Electrical and Computer Engineering, Houston, TX, USA"
https://dblp.org/pid/06/4676-14,"Rice University, Houston, TX, USA"
https://dblp.org/pid/09/7781-2,"Rice University, Department of Ecology and Evolutionary Biology, Houston, TX, USA"
https://dblp.org/pid/10/2639-15,"Rice University, Department of Computational and Applied Mathematics, Houston, TX, USA"
https://dblp.org/pid/116/2845,"Rice University, Houston, TX, USA"
https://dblp.org/pid/119/8243,"Rice University, Houston, TX, USA"
https://dblp.org/pid/119/9921,Rice University
https://dblp.org/pid/126/2507-3,"Rice University, TX, USA"
https://dblp.org/pid/126/4582-4,"Rice University, Houston, TX, USA"
https://dblp.org/pid/129/2850,Rice University
https://dblp.org/pid/14/3966,"Rice University, Houston, USA"
https://dblp.org/pid/142/3172,"Rice University, Houston, TX, USA"
https://dblp.org/pid/144/3212,"Rice University, Houston, TX, USA"
https://dblp.org/pid/153/7863-2,"Rice University, Mechanical Engineering Department, Houston, TX, USA"
https://dblp.org/pid/155/2459,"Rice University, Houston, TX, USA"
https://dblp.org/pid/155/5744-2,"Rice University, Houston, TX, USA"
https://dblp.org/pid/162/2526,"Rice University, Houston, TX, USA"
https://dblp.org/pid/166/3458,"Rice University, Houston, TX, USA"
https://dblp.org/pid/167/2404-1,"Rice University, Houston, TX, USA"
https://dblp.org/pid/17/322-11,"Rice University, Houston, TX, USA"
https://dblp.org/pid/17/5791,"Rice University, Houston, TX, USA"
https://dblp.org/pid/178/7471,"Rice University, Houston, TX, USA"
https://dblp.org/pid/18/7026,"Rice University, Houston, TX, USA"
https://dblp.org/pid/19/1924-38,"Rice University, Houston, TX, USA"
https://dblp.org/pid/19/2743,"Rice University, Houston, USA"
https://dblp.org/pid/195/5515,"Rice University, USA"
https://dblp.org/pid/20/10299,"Rice University, Department of Computer Science, Houston, TX, USA"
https://dblp.org/pid/20/10795,"Rice University, Department of Chemistry, Houston, TX, USA"
https://dblp.org/pid/20/4459,"Rice University, Houston, USA"
https://dblp.org/pid/203/5234,"Rice University, Houston, TX, USA"
https://dblp.org/pid/218/2462-2,"Rice University, Houston, TX, USA"
https://dblp.org/pid/219/6125,"Rice University, Department of Computer Science, Huston, TX, USA"
https://dblp.org/pid/223/0769,"Rice University, Houston, TX, USA"
https://dblp.org/pid/24/1621,"Rice University, Houston, TX, USA"
https://dblp.org/pid/25/9300,"Rice University, Computational and Applied Mathematics, Houston, TX, USA"
https://dblp.org/pid/256/9406,"Rice University, Department of Computer Science, Houston, TX, USA"
https://dblp.org/pid/26/6331,"Rice University, Houston, TX, USA"
https://dblp.org/pid/30/5824-1,"Rice University, Department of Electrical and Computer Engineering, Houston, TX, USA"
https://dblp.org/pid/30/6422-3,"Rice University, Houston, USA"
https://dblp.org/pid/32/2804,"Rice University, Houston, TX, USA"
https://dblp.org/pid/33/4822-26,"Rice University, Department of Computer Science, Houston, TX, USA"
https://dblp.org/pid/33/4822-36,"Rice University, Department of Electrical and Computer Engineering, USA"
https://dblp.org/pid/34/4292-11,"Rice University, Houston, TX, USA"
