author,affiliation
https://dblp.org/pid/00/8733-2,"Rochester Institute of Technology, NY, USA"
https://dblp.org/pid/02/9016,"Rochester Institute of Technology, NY, USA"
https://dblp.org/pid/04/5072-3,Rochester Institute of Technology
https://dblp.org/pid/05/4538,"Rochester Institute of Technology, NY, USA"
https://dblp.org/pid/115/9082,"Rochester Institute of Technology, School of Mathematical Sciences / Center for Imaging Science, NY, USA"
https://dblp.org/pid/119/4928-2,"Rochester Institute of Technology, Global Cybersecurity Institute, NY, USA"
https://dblp.org/pid/120/3060,"Rochester Institute of Technology, NY, USA"
https://dblp.org/pid/125/1839-6,"Rochester Institute of Technology, NY, USA"
https://dblp.org/pid/127/0988,"Rochester Institute of Technology, NY, USA"
https://dblp.org/pid/133/3582,"Rochester Institute of Technology, Department of Electrical and Microelectronic Engineering, NY, USA"
https://dblp.org/pid/135/6597-1,"Rochester Institute of Technology, Rochester, NY, USA"
https://dblp.org/pid/14/8653,"Rochester Institute of Technology, NY, USA"
https://dblp.org/pid/143/1815-3,"Rochester Institute of Technology, Rochester Information Sciences and Technologies Department, NY, USA"
https://dblp.org/pid/148/0338-2,"Rochester Institute of Technology, NY, USA"
https://dblp.org/pid/152/8920,"Rochester Institute of Technology, NY, USA"
https://dblp.org/pid/154/9094,"Rochester Institute of Technology, NY, USA"
https://dblp.org/pid/161/9263,"Rochester Institute of Technology, USA"
https://dblp.org/pid/163/3645,"Rochester Institute of Technology, Neuromorphic AI Lab, NY, USA"
https://dblp.org/pid/166/8400,"Rochester Institute of Technology, NY, USA"
https://dblp.org/pid/173/5375,"Rochester Institute of Technology, USA"
https://dblp.org/pid/174/4716,"Rochester Institute of Technology, NY, USA"
https://dblp.org/pid/192/4202,"Rochester Institute of Technology, NY, USA"
https://dblp.org/pid/21/4008-1,"Rochester Institute of Technology, Computer Graphics and Visualization Cluster"
https://dblp.org/pid/211/1977,"Rochester Institute of Technology, Chester F. Carlson Center for Imaging Science, NY, USA"
https://dblp.org/pid/212/0717,"Rochester Institute of Technology, Department of Mechanical Engineering, NY, USA"
https://dblp.org/pid/231/7645,"Rochester Institute of Technology, NY, USA"
https://dblp.org/pid/25/1876,"Rochester Institute of Technology, NY, USA"
https://dblp.org/pid/25/7151,"Rochester Institute of Technology, School of Mathematical Sciences, NY, USA"
https://dblp.org/pid/26/2737-7,"Rochester Institute of Technology, Rochester, NY, USA"
https://dblp.org/pid/264/6034,"Rochester Institute of Technology, NY, USA"
https://dblp.org/pid/266/4134,"Rochester Institute of Technology, Center for Imaging Science, NY, USA"
https://dblp.org/pid/27/1152,"Rochester Institute of Technology, Department of Information Sciences and Technologies, NY, USA"
https://dblp.org/pid/27/4642,"Rochester Institute of Technology, Center for Imaging Science"
https://dblp.org/pid/274/0525,"Rochester Institute of Technology, Henrietta, NY, USA"
https://dblp.org/pid/28/6398-1,"Rochester Institute of Technology, School of Mathematical Sciences, Rochester, NY, USA"
https://dblp.org/pid/28/9187-4,"Rochester Institute of Technology, Dubai, UAE"
https://dblp.org/pid/28/949-2,"Rochester Institute of Technology, Service Oriented Cyberinfrastructure Laboratory, NY, USA"
https://dblp.org/pid/282/8568,"Rochester Institute of Technology, USA"
https://dblp.org/pid/29/1326,Rochester Institute of Technology
https://dblp.org/pid/29/414-12,"Rochester Institute of Technology, USA"
https://dblp.org/pid/29/7852-1,"Rochester Institute of Technology, Rochester, NY, USA"
https://dblp.org/pid/30/679-2,"Rochester Institute of Technology, Kate Gleason College of Engineering, Rochester, NY, USA"
https://dblp.org/pid/322/5326,"Rochester Institute of Technology, iSchool, NY, USA"
https://dblp.org/pid/331/3422,"Rochester Institute of Technology, NY, USA"
https://dblp.org/pid/337/1009,"Rochester Institute of Technology, USA"
https://dblp.org/pid/34/3480,"Rochester Institute of Technology, Henrietta, NY, USA"
https://dblp.org/pid/341/5574,"Rochester Institute of Technology, NY, USA"
https://dblp.org/pid/358/7618,"Rochester Institute of Technology, NY, USA"
https://dblp.org/pid/36/5558-10,"Rochester Institute of Technology, USA"
https://dblp.org/pid/36/986,"Rochester Institute of Technology, Rochester, NY, USA"
https://dblp.org/pid/37/5474,"Rochester Institute of Technology, New York, USA"
https://dblp.org/pid/373/3978,"Rochester Institute of Technology, NY, USA"
https://dblp.org/pid/387/3179,"Rochester Institute of Technology, NY, USA"
https://dblp.org/pid/39/7780-7,"Rochester Institute of Technology, Rochester, NY, USA"
https://dblp.org/pid/39/8298-2,"Rochester Institute of Technology, Henrietta, NY, USA"
https://dblp.org/pid/41/1662-5,"Rochester Institute of Technology, College of Computing and Information Science, NY, USA"
https://dblp.org/pid/41/4822,"Rochester Institute of Technology, NY, USA"
https://dblp.org/pid/43/7829-1,"Rochester Institute of Technology, NY, USA"
https://dblp.org/pid/43/8994,"Rochester Institute of Technology, Chester F. Carlson Center for Imaging Science, Rochester, NY, USA"
https://dblp.org/pid/44/6698,"Rochester Institute of Technology, Rochester, USA"
