author,affiliation
https://dblp.org/pid/00/10012-3,"Rutgers University, USA"
https://dblp.org/pid/00/6219,"Rutgers University, New Brunswick, NJ, USA"
https://dblp.org/pid/00/6451-7,"Rutgers University, Department of Library and Information Science, New Brunswick, NJ, USA"
https://dblp.org/pid/01/1804,"Rutgers University, USA"
https://dblp.org/pid/01/5440,"Rutgers University, NJ, USA"
https://dblp.org/pid/02/4059,"Rutgers University, New Brunswick, USA"
https://dblp.org/pid/02/736-8,"Rutgers University, New Brunswick, NJ, USA"
https://dblp.org/pid/02/929-3,"Rutgers University, Department of Mathematics and Computer Science, Newark, NJ, USA"
https://dblp.org/pid/03/2298,"Rutgers University, Piscataway, NJ, USA"
https://dblp.org/pid/04/5176,"Rutgers University, New Brunswick, NJ, USA"
https://dblp.org/pid/05/11084,"Rutgers University, New Brunswick, NJ, USA"
https://dblp.org/pid/06/5514-2,"Rutgers University, Rutgers Business School, Management Science and Information Systems Department, Newark, NJ, USA"
https://dblp.org/pid/07/1540,"Rutgers University, NJ, USA"
https://dblp.org/pid/07/314-66,"Rutgers University, Department of Electrical and Computer Engineering, Piscataway, NJ, USA"
https://dblp.org/pid/07/6946-4,"Rutgers University, New Brunswick, NJ, USA"
https://dblp.org/pid/08/269-2,"Rutgers University, NJ, USA"
https://dblp.org/pid/08/549,"Rutgers University, USA"
https://dblp.org/pid/09/2864,"Rutgers University, USA"
https://dblp.org/pid/09/5284,Rutgers University
https://dblp.org/pid/09/8269-4,"Rutgers University, Department of Computer Science, Piscataway, NJ, USA"
https://dblp.org/pid/10/1745,"Rutgers University, USA"
https://dblp.org/pid/10/3520-12,"Rutgers University, Rutgers Center for Computational and Integrative Biology, Department of Chemistry, Camden, NJ, USA"
https://dblp.org/pid/10/5630-123,"Rutgers University, Department of Electrical and Computer Engineering, CAIP Center, Piscataway, NJ, USA"
https://dblp.org/pid/11/6963-2,Ask.com / Rutgers University
https://dblp.org/pid/115/8488,"Rutgers University, Piscataway, NJ, USA"
https://dblp.org/pid/116/1011-34,"Rutgers University, WINLAB, New Brunswick, NJ, USA"
https://dblp.org/pid/117/4298,"Rutgers University, USA"
https://dblp.org/pid/117/6980,"Rutgers University, USA"
https://dblp.org/pid/119/9492-1,"Rutgers University, New Brunswick, NJ, USA"
https://dblp.org/pid/120/1151-2,"Rutgers University, New Brunswick, NJ, USA"
https://dblp.org/pid/120/9282,"Rutgers University, Department of Biomedical Engineering, Piscataway, NJ, USA"
https://dblp.org/pid/122/2668-1,"Rutgers University, Department of Computer Science, New Brunswick, NJ, USA"
https://dblp.org/pid/122/7674,"Rutgers University, Department of Mathematics, New Brunswick, NJ, USA"
https://dblp.org/pid/123/8959,Rutgers University
https://dblp.org/pid/124/2335,"Rutgers University, New Brunswick, NJ, USA"
https://dblp.org/pid/133/9600,"Rutgers University, Department of Mathematics, New Brunswick, USA"
https://dblp.org/pid/146/1886-2,"Rutgers University, New Brunswick, NJ, USA"
https://dblp.org/pid/148/8744-3,"Rutgers University New Brunswick, Department of Mechanical and Aerospace Engineering, Piscataway, NJ, USA"
https://dblp.org/pid/15/1777-3,"Rutgers University, Department of Computer Science, New Brunswick, NJ, USA"
https://dblp.org/pid/15/6040-4,"Rutgers University, Department of Electrical and Computer Engineering, Piscataway, NJ, USA"
https://dblp.org/pid/15/6877-4,"Rutgers University, New Brunswick, NJ, USA"
https://dblp.org/pid/153/2651-1,"Rutgers University, Piscataway, NJ, USA"
https://dblp.org/pid/158/4934-2,"Rutgers University, Piscataway, NJ, USA"
https://dblp.org/pid/158/4946,"Rutgers University, New Brunswick, NJ, USA"
https://dblp.org/pid/18/2343-1,"Rutgers University, Department of Electrical and Computer Engineering, New Brunswick, NJ, USA"
https://dblp.org/pid/18/2908-1,"Rutgers University, USA"
https://dblp.org/pid/18/5099-1,"Rutgers University, Department of Electrical and Computer Engineering, New Brunswick, NJ, USA"
https://dblp.org/pid/18/5422,"Rutgers University, USA"
https://dblp.org/pid/18/548,"Department of Computer Science, Rutgers University, New Brunswick, NJ, USA"
https://dblp.org/pid/181/2597-21,"Rutgers University, New Brunswick, NJ, USA"
https://dblp.org/pid/181/2689-34,"Rutgers University, Wireless Information Network Laboratory (WINLAB), Piscataway, NJ, USA"
https://dblp.org/pid/181/2733-2,"Rutgers University, Department of Supply Chain Management and Marketing Sciences, Newark, NJ, USA"
https://dblp.org/pid/181/2751-3,"Rutgers University, Department of Computer Science, Piscataway, NJ, USA"
https://dblp.org/pid/181/2812-157,"Rutgers University, School of Engineering, Department of Civil and Environmental Engineering, Piscataway, NJ, USA"
https://dblp.org/pid/181/2874-2,"Rutgers University, New Brunswick, NJ, USA"
https://dblp.org/pid/19/11348-1,"Rutgers University, NJ, USA"
https://dblp.org/pid/19/2504-1,"Rutgers University, Department of Computer Science, Piscataway, NJ, USA"
https://dblp.org/pid/19/6266,"Rutgers University, NJ, USA"
https://dblp.org/pid/199/1853-3,"Rutgers University, New Brunswick, USA"
https://dblp.org/pid/20/282,"Rutgers University, Piscataway, NJ, USA"
