author,affiliation
https://dblp.org/pid/06/3707,"Saint Louis University, USA"
https://dblp.org/pid/16/10526,"Saint Louis University, MS, USA"
https://dblp.org/pid/17/36-1,"Saint Louis University, Department of Computer Science, MO, USA"
https://dblp.org/pid/237/0407,"Saint Louis University, Parks College of Engineering, Aviation and Technology, MO, USA"
https://dblp.org/pid/272/4690-1,"Saint Louis University, Department of Philosophy, St. Louis, MO, USA"
https://dblp.org/pid/288/5432,"Saint Louis University, Department of Biomedical Engineering, MO, USA"
https://dblp.org/pid/315/0850,"Saint Louis University, College of Arts and Sciences, St. Louis, MO, USA"
https://dblp.org/pid/370/2904,"Saint Louis University, School of Professional Studies, MO, USA"
https://dblp.org/pid/48/4233-4,"Saint Louis University, Department of Mathematics and Computer Science, MO, USA"
https://dblp.org/pid/55/5176-2,"Saint Louis University, Department of Computer Science, MO, USA"
https://dblp.org/pid/81/5909-1,"Saint Louis University, Department of Biology, MO, USA"
https://dblp.org/pid/85/10076-6,"Saint Louis University, Department of Pharmacology and Physiology, MO, USA"
https://dblp.org/pid/88/4309,"Saint Louis University, USA"
