author,affiliation
https://dblp.org/pid/01/190,"Southern Methodist University, Department of Statistical Science, Dallas, TX, USA"
https://dblp.org/pid/06/2293-35,"Southern Methodist University, Dallas, TX, USA"
https://dblp.org/pid/10/1448-5,"Southern Methodist University, Dallas, TX, USA"
https://dblp.org/pid/10/1887-5,"Southern Methodist University, Department of Mathematics, Dallas, TX, USA"
https://dblp.org/pid/13/6769-39,"Southern Methodist University, Electrical and Computer Engineering Department, Dallas, TX, USA"
https://dblp.org/pid/15/4777-34,"Southern Methodist University, Department of Electrical Engineering, Integrated Circuits and Systems Laboratory, Dallas, TX, USA"
https://dblp.org/pid/151/9015,"Southern Methodist University, Dallas, Texas, USA"
https://dblp.org/pid/16/1518-1,"Southern Methodist University, Department of Chemistry, Dallas, TX, USA"
https://dblp.org/pid/18/2920-1,"Southern Methodist University, Computer Science & Engineering Department, Dallas, TX, USA"
https://dblp.org/pid/181/2371-2,"Southern Methodist University, Department of Civil and Mechanical Engineering, Dallas, TX, USA"
https://dblp.org/pid/22/4287,"Southern Methodist University, Dallas, TX, USA"
https://dblp.org/pid/23/223-17,"Southern Methodist University, Dallas, TX, USA"
https://dblp.org/pid/25/3846-1,"Southern Methodist University, Darwin Deason Institute for Cybersecurity, Dallas, TX, USA"
https://dblp.org/pid/255/5821,"Southern Methodist University, Department of Mechanical Engineering, Dallas, TX, USA"
https://dblp.org/pid/26/2966,"Southern Methodist University, Dallas, TX, USA"
https://dblp.org/pid/290/1579-2,"Southern Methodist University, Dallas, TX, USA"
https://dblp.org/pid/30/3241-1,"Southern Methodist University, Department of Electrical and Computer Engineering, Dallas, TX, USA"
https://dblp.org/pid/30/4233-4,"Southern Methodist University, Dallas, TX, USA"
https://dblp.org/pid/31/3804-8,"Southern Methodist University, Department of Statistics, Dallas, TX, USA"
https://dblp.org/pid/32/113-4,"Southern Methodist University, Dallas, TX, USA"
https://dblp.org/pid/34/2798-1,"Southern Methodist University, Dallas, TX, USA"
https://dblp.org/pid/38/1070-6,"Southern Methodist University, Dallas, TX, USA"
https://dblp.org/pid/47/7019-1,"Southern Methodist University, Department of Computer Science and Engineering, Dallas, TX, USA"
https://dblp.org/pid/48/1106-1,"Southern Methodist University, Department of Mechanical Engineering, Dallas, TX, USA"
https://dblp.org/pid/49/4478-11,"Southern Methodist University, Department of Mechanical Engineering, Dallas, TX, USA"
https://dblp.org/pid/53/1634-1,"Southern Methodist University, Department of Electrical Engineering, Dallas, TX, USA"
https://dblp.org/pid/56/5001,"Southern Methodist University, Lyle School of Engineering, Dallas, TX, USA"
https://dblp.org/pid/60/3775-4,"Southern Methodist University, AT&T Center for Virtualization, Dallas, USA"
https://dblp.org/pid/63/3446,"Southern Methodist University, Department of Mathematics, Dallas, TX, USA"
https://dblp.org/pid/66/2170,"Southern Methodist University, Dallas, Texas, USA"
https://dblp.org/pid/66/6587,"Southern Methodist University, Dallas, TX, USA"
https://dblp.org/pid/71/1686,"Southern Methodist University, Dallas, TX, USA"
https://dblp.org/pid/71/685,"Southern Methodist University, Dallas, Texas, USA"
https://dblp.org/pid/80/10320,"Southern Methodist University, Department of Engineering Management, Dallas, TX, USA"
https://dblp.org/pid/80/2266-1,"Southern Methodist University, Department of Computer Science, Dallas, TX, USA"
https://dblp.org/pid/80/6527-3,"Southern Methodist University, Dallas, TX, USA"
https://dblp.org/pid/85/1809-2,"Southern Methodist University, Department of Earth Sciences, Dallas, TX, USA"
https://dblp.org/pid/85/890,"Southern Methodist University, Dallas, Texas, USA"
https://dblp.org/pid/87/7277,"Southern Methodist University, Cox School of Business, Dallas, TX, USA"
https://dblp.org/pid/89/5615-27,"Southern Methodist University, Department of Economics, Dallas, TX, USA"
https://dblp.org/pid/92/7222,"Southern Methodist University, Dallas, Texas, USA"
https://dblp.org/pid/93/4010-27,"Southern Methodist University, Department of Electrical Engineering, Dallas, TX, USA"
https://dblp.org/pid/93/6666,"Southern Methodist University, Dallas TX, USA"
https://dblp.org/pid/97/1322,"Southern Methodist University, Dallas, Texas, USA"
https://dblp.org/pid/c/FrankPCoyle,"Southern Methodist University, Dallas, Texas, USA"
https://dblp.org/pid/d/JGDunham,"Southern Methodist University, Dallas, Texas, USA"
https://dblp.org/pid/d/MargaretHDunham,"Southern Methodist University, Dallas, Texas, USA"
https://dblp.org/pid/e/HeshamElRewini,"Southern Methodist University, Dallas, Texas, USA"
https://dblp.org/pid/k/FatihKocan,"Southern Methodist University, Dallas, Texas, USA"
https://dblp.org/pid/l/EricCLin,"Southern Methodist University, Dallas, Texas, USA"
https://dblp.org/pid/n/VSSNair,"Southern Methodist University, Dallas, Texas, USA"
https://dblp.org/pid/t/JeffTian,"Southern Methodist University, Dallas, Texas, USA"
https://dblp.org/pid/t/MitchellAThornton,"Southern Methodist University, Dallas, Texas, USA"
