author,affiliation
https://dblp.org/pid/00/440-5,"Stevens Institute of Technology, Hoboken, NJ, USA"
https://dblp.org/pid/02/1079-3,"Stevens Institute of Technology, Department of Computer Science, Hoboken, NJ, USA"
https://dblp.org/pid/02/1825-5,"Stevens Institute of Technology, Hoboken, NJ, USA"
https://dblp.org/pid/02/2264-13,"Stevens Institute of Technology, NJ, USA"
https://dblp.org/pid/02/522,"Stevens Institute of Technology, NJ, USA"
https://dblp.org/pid/03/5102-2,"Stevens Institute of Technology, Hoboken, NJ, USA"
https://dblp.org/pid/04/934-3,"Stevens Institute of Technology, Department of Electrical and Computer Engineering, Hoboken, NJ, USa"
https://dblp.org/pid/06/4387,"Stevens Institute of Technology, Hoboken, NJ, USA"
https://dblp.org/pid/10/1030,"Stevens Institute of Technology, Hoboken, NJ, USA"
https://dblp.org/pid/10/2639-8,"Stevens Institute of Technology, School of Systems and Enterprises, Hoboken, NJ, USA"
https://dblp.org/pid/10/618,"Stevens Institute of Technology, NJ, USA"
https://dblp.org/pid/119/0695,"Stevens Institute of Technology, Hoboken, NJ, USA"
https://dblp.org/pid/120/3245,"Stevens Institute of Technology, Hoboken, NJ, USA"
https://dblp.org/pid/125/2391,"Stevens Institute of Technology, Hoboken, NJ, USA"
https://dblp.org/pid/128/2023,"Stevens Institute of Technology, Hoboken, NJ, USA"
https://dblp.org/pid/13/4967-1,"Stevens Institute of Technology, Hoboken, NJ, USA"
https://dblp.org/pid/15/3171,"Stevens Institute of Technology, Department of Electrical and Computer Engineering, Hoboken, NJ, USA"
https://dblp.org/pid/16/6954,"Stevens Institute of Technology, NJ, USA"
https://dblp.org/pid/163/5438,"Stevens Institute of Technology, Hoboken, NJ, USA"
https://dblp.org/pid/166/4277,"Stevens Institute of Technology, NJ, USA"
https://dblp.org/pid/17/1651-3,"Stevens Institute of Technology, Hoboken, NJ, USA"
https://dblp.org/pid/17/2703-4,"Stevens Institute of Technology, Hoboken, NJ, USA"
https://dblp.org/pid/177/4388,"Cornell University, Ithaca, NY, USA / Stevens Institute of Technology, Hoboken, NJ, USA"
https://dblp.org/pid/18/6339-2,"Stevens Institute of Technology, Department of Mechanical Engineering, Hoboken, NJ, USA"
https://dblp.org/pid/18/9462-2,"Stevens Institute of Technology, Hoboken, NJ, USA"
https://dblp.org/pid/188/3015,"Stevens Institute of Technology, Hoboken, NJ, USA"
https://dblp.org/pid/20/353,"Stevens Institute of Technology, Hoboken, NJ, USA"
https://dblp.org/pid/208/2541,"Stevens Institute of Technology, Hoboken, NJ, USA"
https://dblp.org/pid/21/2144-5,"Stevens Institute of Technology, Hoboken, NJ, USA"
https://dblp.org/pid/212/1455-2,"Stevens Institute of Technology, Hoboken, NJ, USA"
https://dblp.org/pid/22/2685,"Stevens Institute of Technology, Hoboken, New Jersey, USA"
https://dblp.org/pid/22/2807,"Stevens Institute of Technology, Hoboken, NJ, USA"
https://dblp.org/pid/22/3585-1,"Stevens Institute of Technology, Hoboken, NJ, USA"
