author,affiliation
https://dblp.org/pid/00/4652-2,"Stony Brook University, Department of Neurobiology and Behavior, NY, USA"
https://dblp.org/pid/02/1825-2,"Stony Brook University, Department of Applied Mathematics and Statistics, NY, USA"
https://dblp.org/pid/05/3310,Stony Brook University
https://dblp.org/pid/06/1909-7,"Stony Brook University, Computer Science Department, Visual Analytics and Imaging Lab., NY, USA"
https://dblp.org/pid/08/1875,"Stony Brook University, NY, USA"
https://dblp.org/pid/10/1103-1,"Stony Brook University, Department of Electrical and Computer Engineering, NY, USA"
https://dblp.org/pid/10/1130-6,"Stony Brook University, NY, USA"
https://dblp.org/pid/10/2031-1,"Stony Brook University, Department of Electrical and Computer Engineering, NY, USA"
https://dblp.org/pid/10/5630-1,"Stony Brook University, State University of New York at Stony Brook, Department of Electrical and Computer Engineering, NY, USA"
https://dblp.org/pid/11/9128,"Stony Brook University, Stony Brook, NY, USA"
https://dblp.org/pid/115/6458-6,"Stony Brook University, Stony Brook, NY, USA"
https://dblp.org/pid/118/0666,"Stony Brook University, New York, NY, USA"
https://dblp.org/pid/12/3912-1,"Stony Brook University, Department of Electrical and Computer Engineering, Long Island, NY, USA"
https://dblp.org/pid/124/6538,"Stony Brook University, NY, USA"
https://dblp.org/pid/127/9460-2,"Stony Brook University, Department of Computer Science, NY, USA"
https://dblp.org/pid/139/8699-2,"Stony Brook University, NY, USA"
https://dblp.org/pid/141/4400,"Stony Brook University, NY, USA"
https://dblp.org/pid/156/6476,"Stony Brook University, NY, USA"
https://dblp.org/pid/164/3294-45,"Stony Brook University, NY, USA"
https://dblp.org/pid/164/4197,"Stony Brook University, NY, USA"
https://dblp.org/pid/17/322-5,"Stony Brook University, NY, USA"
https://dblp.org/pid/170/0770-6,"Stony Brook University, NY, USA"
https://dblp.org/pid/171/8202-4,"Stony Brook University, Department of Biomedical Engineering, NY, USA"
https://dblp.org/pid/181/2612-5,"Stony Brook University, Marine and Atmospheric Science Department, NY, USA"
https://dblp.org/pid/181/2842-97,"Stony Brook University, NY, USA"
https://dblp.org/pid/19/3851-1,"Stony Brook University, NY, USA"
https://dblp.org/pid/195/7525-4,"Stony Brook University, USA"
https://dblp.org/pid/199/3520,"Stony Brook University, NY, USA"
https://dblp.org/pid/20/1028-3,"Stony Brook University, Department of Computer Science, NY, USA"
https://dblp.org/pid/205/7041-2,"Stony Brook University, NY, USA"
https://dblp.org/pid/21/1048-15,"Stony Brook University, Department of Electrical Engineering and Computer Science, NY, USA"
https://dblp.org/pid/21/1048-6,"Stony Brook University, Department of Biomedical Engineering, NY, USA"
https://dblp.org/pid/214/9469,"Stony Brook University, New York, USA"
https://dblp.org/pid/223/3510-2,"Stony Brook University, Stony Brook, NY"
https://dblp.org/pid/239/9312-2,"Stony Brook University, NY, USA"
https://dblp.org/pid/24/1518-22,"Stony Brook University, NY, USA"
https://dblp.org/pid/241/3006-1,"Stony Brook University, NY, USA"
https://dblp.org/pid/258/4100-1,"Stony Brook University, Department of Biomedical Informatics, NY, USA"
https://dblp.org/pid/259/8452-2,"Stony Brook University, NY, USA"
https://dblp.org/pid/26/6494,"Stony Brook University, NY, USA"
https://dblp.org/pid/27/4364-17,"Stony Brook University, Computer Science Department, NY, USA"
https://dblp.org/pid/280/8077,"Stony Brook University, NY, USA"
https://dblp.org/pid/29/8693,"Stony Brook University, NY, USA"
https://dblp.org/pid/30/202-4,"Stony Brook University, Stony Brook , NY, USA"
https://dblp.org/pid/31/3517-2,"Stony Brook University, Stony Brook, NY, US"
https://dblp.org/pid/326/6426,"Stony Brook University, NY, USA"
https://dblp.org/pid/334/2053,"Stony Brook University, New York, NY, USA"
https://dblp.org/pid/34/5550,"Stony Brook University, Laufer Center for Physical and Quantitative Biology and Departments of Physics and Chemistry, NY, USA"
https://dblp.org/pid/34/6522-9,"Stony Brook University, NY, USA"
https://dblp.org/pid/342/9000,"Stony Brook University, NY, USA"
https://dblp.org/pid/36/2728-18,"Stony Brook University, Department of Mechanical Engineering, Stony Brook, NY, USA"
https://dblp.org/pid/379/3763,"Stony Brook University, Department of Sociology, NY, USA"
https://dblp.org/pid/39/1549,"Stony Brook University, NY, USA"
https://dblp.org/pid/40/1491-109,"Stony Brook University, Department of Computer Science, NY, USA"
https://dblp.org/pid/41/4923-3,"Stony Brook University, Department of Electrical and Computer Engineering, NY, USA"
https://dblp.org/pid/41/6565-1,"Stony Brook University, NY, USA"
https://dblp.org/pid/43/3065-3,"Stony Brook University, NY, USA"
https://dblp.org/pid/43/5828-9,"Stony Brook University, Stony Brook, NY, USA"
https://dblp.org/pid/45/3134,"Stony Brook University, Department of Mathematics, NY, USA"
https://dblp.org/pid/46/3430,"Stony Brook University, Human Language Analysis Beings (HLAB), Stony Brook, NY, USA"
https://dblp.org/pid/46/4377,"Stony Brook University, NY, USA"
https://dblp.org/pid/46/5034,"Stony Brook University, Department of Applied Mathematics and Statistics, USA"
https://dblp.org/pid/46/5279,"Stony Brook University, NY, USA"
https://dblp.org/pid/48/5102,"Stony Brook University, USA"
https://dblp.org/pid/48/76-7,"Stony Brook University, Department of Electrical and Computer Engineering, Stony Brook, NY, USA"
https://dblp.org/pid/51/3185-6,"Stony Brook University, Stony Brook, NY, USA"
https://dblp.org/pid/51/4433-1,"Stony Brook University, NY, USA"
https://dblp.org/pid/53/4970,"Stony Brook University, USA"
https://dblp.org/pid/53/5490-3,"Stony Brook University, Department of Computer Science, NY, USA"
https://dblp.org/pid/54/11279,"Stony Brook University, Stony Brook, NY, USA"
https://dblp.org/pid/59/4389-4,"Stony Brook University, Department of Computer Science, NY, USA"
https://dblp.org/pid/60/6716,"Stony Brook University, NY, USA"
https://dblp.org/pid/61/1951-2,"Stony Brook University, Department of Electrical and Computer Engineering, NY, USA"
https://dblp.org/pid/61/2115-4,"Stony Brook University, NY, USA"
https://dblp.org/pid/62/2341,"Stony Brook University, Department of Psychology"
https://dblp.org/pid/62/2403,"Stony Brook University, NY, USA"
https://dblp.org/pid/62/3432-12,"Stony Brook University, Stony Brook, NY, USA"
https://dblp.org/pid/63/11345-2,"Stony Brook University, New York City, NY, USA"
https://dblp.org/pid/63/216-11,"Stony Brook University, Department of Computer Science, Stony Brook, NY, USA"
https://dblp.org/pid/63/2992,"Stony Brook University, NY, USA"
https://dblp.org/pid/64/6025-4,"Stony Brook University, Stony Brook, NY, USA"
https://dblp.org/pid/64/6818-2,"Stony Brook University, Department of Physics & Astrononmy, NY, USA"
https://dblp.org/pid/65/1911-2,"Stony Brook University, Institute for Advanced Computational Science, NY, USA"
https://dblp.org/pid/65/2105-4,"Stony Brook University, Institute for Advanced Computational Science, NY, USA"
https://dblp.org/pid/65/4423-57,"Stony Brook University, Department of Computer Science, NY, USA"
https://dblp.org/pid/66/3019-12,"Stony Brook University, Stony Brook, NY, USA"
https://dblp.org/pid/68/2766-15,"Stony Brook University, Computer Science Department, NY, USA"
https://dblp.org/pid/69/3405-1,"Stony Brook University, Department of Biomedical Informatics, NY, USA"
https://dblp.org/pid/69/5902-31,"Stony Brook University, Department of Applied Mathematics and Statistics, Stony Brook, NY, USA"
https://dblp.org/pid/69/7742-19,"Stony Brook University, Stony Brook, NY, USA"
https://dblp.org/pid/70/1143,"Stony Brook University, NY, USA"
https://dblp.org/pid/72/1760-6,"Stony Brook University, Computer Science Department, NY, USA"
https://dblp.org/pid/73/1149-13,"Stony Brook University, Department of Computer Science, NY, USA"
https://dblp.org/pid/73/3928-17,"Stony Brook University, Stony Brook, NY, USA"
https://dblp.org/pid/74/3590-9,"SUNY Stony Brook University, NY, USA"
https://dblp.org/pid/75/517,"Stony Brook University, NY, USA"
https://dblp.org/pid/77/2885-5,"Stony Brook University, NY, USA"
https://dblp.org/pid/77/7006,"Stony Brook University, USA"
https://dblp.org/pid/79/627-1,"Stony Brook University, Department of Computer Science, NY, USA"
https://dblp.org/pid/80/1874-6,"Stony Brook University, Stony Brook, NY, USA"
https://dblp.org/pid/80/7804-2,"Stony Brook University, Stony Brook, NY, USA"
https://dblp.org/pid/82/5918-6,"Stony Brook University, NY, USA"
https://dblp.org/pid/82/6720-3,"Stony Brook University, NY, USA"
https://dblp.org/pid/83/4805-8,"Stony Brook University, Department of Applied Mathematics and Statistics, Stony Brook, NY, USA"
https://dblp.org/pid/88/898-10,"Stony Brook University, Stony Brook, NY, USA"
https://dblp.org/pid/90/1136-1,"Stony Brook University, Department of Computer Science, NY, USA"
https://dblp.org/pid/92/7728-5,"Stony Brook University, NY, USA"
https://dblp.org/pid/93/900-3,"Stony Brook University, NY, USA"
https://dblp.org/pid/93/9828,"Stony Brook University, New York, USA"
https://dblp.org/pid/94/9023-1,"Stony Brook University, NY, USA"
https://dblp.org/pid/97/2274-57,"Stony Brook University, Department of Electrical and Computer Engineering, NY, USA"
https://dblp.org/pid/98/2427-1,"Stony Brook University, Department of Electrical and Computer Engineering, NY, USA"
https://dblp.org/pid/98/4381-6,"Stony Brook University, New York, NY, USA"
https://dblp.org/pid/98/7677-1,"Stony Brook University, NY, USA"
https://dblp.org/pid/99/10261-1,"Stony Brook University, NY, USA"
https://dblp.org/pid/99/311-0013,"Stony Brook University, NY, USA"
https://dblp.org/pid/b/MichaelABender,"Stony Brook University, NY, USA"
https://dblp.org/pid/b/SBrennan,"Stony Brook University, USA"
https://dblp.org/pid/c/BarbaraMChapman,"Stony Brook University, NY, USA"
https://dblp.org/pid/d/AlexDoboli,"Stony Brook University, USA"
https://dblp.org/pid/g/HimanshuGupta,"Stony Brook University, Department of Computer Science, NY, USA"
https://dblp.org/pid/k/ArieEKaufman,"Stony Brook University, USA"
https://dblp.org/pid/k/MichaelKifer,"Stony Brook University, USA"
https://dblp.org/pid/k/SankalpSKallakuri,"Stony Brook University, USA"
https://dblp.org/pid/l/KonstantinLikharev,"Stony Brook University, NY, USA"
https://dblp.org/pid/l/LevonLloyd,"Stony Brook University, USA"
https://dblp.org/pid/l/PhilipMLewis,"Stony Brook University, USA"
https://dblp.org/pid/l/YanLiu22,"Stony Brook University, Department of Radiology, NY, USA"
https://dblp.org/pid/m/JosephSBMitchell,"Stony Brook University, NY, USA"
https://dblp.org/pid/p/TheodosiosPavlidis,"Stony Brook University, NY, USA"
https://dblp.org/pid/r/CRRamakrishnan,"Stony Brook University, Department of Computer Science, ony Brook, NY, USA"
https://dblp.org/pid/r/IVRamakrishnan,"Stony Brook University, USA"
https://dblp.org/pid/r/MichaelSRyoo,"Stony Brook University, Department of Computer Science, NY, USA"
https://dblp.org/pid/s/DimitrisSamaras,"Stony Brook University, USA"
https://dblp.org/pid/s/EugeneWStark,"Stony Brook University, USA"
https://dblp.org/pid/s/RaduSion,"Stony Brook University, USA"
https://dblp.org/pid/s/ScottASmolka,"Stony Brook University, USA"
https://dblp.org/pid/s/StevenSkiena,"Stony Brook University, Department of Computer Science, NY, USA"
https://dblp.org/pid/t/AllenTannenbaum,"Stony Brook University, Department of Applied Mathematics & Statistics, NY, USA"
https://dblp.org/pid/w/DavidScottWarren,"Stony Brook University, USA"
