author,affiliation
https://dblp.org/pid/02/1964-4,"Syracuse University, NY, USA"
https://dblp.org/pid/02/5568,"Syracuse University, NY, USA"
https://dblp.org/pid/02/736-75,"Syracuse University, Department of Electrical Engineering and Computer Science, Syracuse, NY, USA"
https://dblp.org/pid/04/2024-57,"Syracuse University, NY, USA"
https://dblp.org/pid/09/0-12,"Syracuse University, Department of Electrical and Computer Engineering, NY, USA"
https://dblp.org/pid/09/1770,"Syracuse University, NY, USA"
https://dblp.org/pid/09/234,"Syracuse University, USA"
https://dblp.org/pid/09/6669-21,"Syracuse University, Department of Electrical Engineering and Computer Science, Syracuse, NY, USA"
https://dblp.org/pid/11/751-1,"Syracuse University, College of Engineering and Computer Science, NY, USA"
https://dblp.org/pid/118/3499,"Syracuse University, Syracuse, NY, USA"
https://dblp.org/pid/12/1198-13,Syracuse University
https://dblp.org/pid/121/7232-1,"Syracuse University, Department of Electrical Engineering and Computer Science, Syracuse, NY, USA"
https://dblp.org/pid/125/8678-2,"Syracuse University, NY, USA"
https://dblp.org/pid/131/6731,"Syracuse University, NY, USA"
https://dblp.org/pid/14/3472-2,"Syracuse University, Instructional Design, Development and Evaluation Department, NY, USA"
https://dblp.org/pid/142/7945,"Syracuse University, School of Information Studies, NY, USA"
https://dblp.org/pid/142/9383,"Syracuse University, NY, USA"
https://dblp.org/pid/144/2147,"Syracuse University, NY, USA"
https://dblp.org/pid/153/8028,"Syracuse University, The Maxwell School, NY, USA"
https://dblp.org/pid/156/4008-1,Syracuse University
https://dblp.org/pid/162/3792-1,"Syracuse University, Syracuse, NY, USA"
https://dblp.org/pid/17/3107,"Syracuse University, School of Information Studies, NY, USA"
https://dblp.org/pid/178/4486-3,"Syracuse University, Department of Electrical Engineering and Computer Science, NY, USA"
https://dblp.org/pid/18/813-8,"Syracuse University, Department of Electrical Engineering and Computer Science, NY, USA"
https://dblp.org/pid/181/2689-21,"Syracuse University, School of Information Studies, Syracuse, NY, USA"
https://dblp.org/pid/25/4764-6,"Syracuse University, FullStack Security Lab, Syracuse, NY, USA"
https://dblp.org/pid/257/9511-4,"Syracuse University, Syracuse, NY, USA"
https://dblp.org/pid/26/4105-3,"Syracuse University, S.I. Newhouse School of Public Communications, NY, USA"
https://dblp.org/pid/26/8066-2,"Syracuse University, NY, USA"
https://dblp.org/pid/28/4556-2,"Syracuse University, School of Information Studies, Syracuse, NY, USA"
https://dblp.org/pid/28/9655,"Syracuse University, NY, USA"
https://dblp.org/pid/280/1656,"Syracuse University, Department of Biomedical and Chemical Engineering, NY, USA"
https://dblp.org/pid/315/0818-3,"Syracuse University, School of Management, NY, USA"
https://dblp.org/pid/41/217,"Department of Philosophy, Syracuse University, USA"
https://dblp.org/pid/43/1235-1,"Syracuse University, School of Information Studies, NY, USA"
https://dblp.org/pid/43/720,"Syracuse University, Northeast Parallel Architectures Center, NY, USA"
https://dblp.org/pid/44/6261,"Syracuse University, NY, USa"
https://dblp.org/pid/46/6089,"Syracuse University, School of Information Studies, NY, USA"
https://dblp.org/pid/47/4400,"School of Information Studies, Syracuse University, Syracuse, New York, USA"
https://dblp.org/pid/49/4087,"Syracuse University, Department of Electrical Engineering and Computer Science, Syracuse, NY, USA"
https://dblp.org/pid/51/3710-290,"Syracuse University, Department of Electrical Engineering and Computer Science, NY, USA"
https://dblp.org/pid/53/2189-101,"Syracuse University, NY, USA"
https://dblp.org/pid/54/2082,"Syracuse University, NY, USA"
https://dblp.org/pid/54/5244,Syracuse University
https://dblp.org/pid/55/10874,"Syracuse University, School of Information Studies, USA"
https://dblp.org/pid/55/3654,"Syracuse University, USA"
https://dblp.org/pid/55/6932,"School of Information Studies, Syracuse University, Syracuse, NY, USA"
https://dblp.org/pid/55/826-10,"Syracuse University, Department of Mechanical and Aerospace Engineering, NY, USA"
https://dblp.org/pid/57/2056-30,"Syracuse University, Department of EECS, Syracuse, NY, USA"
https://dblp.org/pid/59/871-7,"Syracuse University, Department of Electrical Engineering and Computer Science, NY, USA"
https://dblp.org/pid/60/1724-1,"Syracuse University, USA"
https://dblp.org/pid/61/1466,"Syracuse University, School of Information Studies, NY, USA"
https://dblp.org/pid/61/6921-6,"Syracuse University, Electrical Engineering and Computer Science, NY, USA"
https://dblp.org/pid/64/2440,"Syracuse University, NY, USA"
https://dblp.org/pid/65/4279-2,"Syracuse University, NY, USA"
https://dblp.org/pid/67/6649-9,"Syracuse University, Department of Mathematics, NY, USA"
https://dblp.org/pid/72/10428-1,"Syracuse University, School of Information Studies, iSchool, NY, USA"
https://dblp.org/pid/73/9597,"Syracuse University, School of Information Studies, New York, USA"
https://dblp.org/pid/74/943,"Syracuse University, NY, USA"
https://dblp.org/pid/76/51,"Syracuse University, NY, USA"
https://dblp.org/pid/77/2428-2,"Syracuse University, Syracuse, NY, USA"
https://dblp.org/pid/78/5386-2,"Syracuse University, NY, USA"
https://dblp.org/pid/83/3629,"Syracuse University, Syracuse, NY, USA"
https://dblp.org/pid/85/6636,"Syracuse University, USA"
https://dblp.org/pid/86/11429-5,"Syracuse University, Department of Electrical and Computer Engineering, NY, USA"
https://dblp.org/pid/87/1585-16,"Syracuse University, Department of Electrical Engineering and Computer Science, Syracuse, NY, USA"
https://dblp.org/pid/92/111,"Syracuse University, School of Computer & Information Science, Syracuse, NY, USA"
https://dblp.org/pid/97/6932,"Syracuse University, NY, USA"
https://dblp.org/pid/98/449-1,"Syracuse University, NY, USA"
https://dblp.org/pid/b/FBiocca,"Syracuse University, MIND Lab"
https://dblp.org/pid/c/SJChapin,"Syracuse University, USA"
https://dblp.org/pid/d/WenliangDu,"Syracuse University, USA"
https://dblp.org/pid/h/PolarHumenn,"Syracuse University, USA"
https://dblp.org/pid/l/ElizabethDLiddy,"Syracuse University, USA"
https://dblp.org/pid/m/CKMohan,"Syracuse University, NY, USA"
https://dblp.org/pid/m/KGMehrotra,"Syracuse University, USA"
https://dblp.org/pid/o/JaeCOh,"Syracuse University, Department of Electrical Engineering and Computer Science, NY, USA"
https://dblp.org/pid/r/JamesSRoyer,"Syracuse University, USA"
https://dblp.org/pid/v/PKVarshney,"Syracuse University, USA"
