author,affiliation
https://dblp.org/pid/03/2516,"Temple University, Philadelphia, PA, USA"
https://dblp.org/pid/05/6070-1,"Temple University, USA"
https://dblp.org/pid/06/230-4,"Temple University, Department of Computer and Information Sciences, PA, USA"
https://dblp.org/pid/07/2757-2,"Temple University, Department of Health Service Administration and Policy, Philadelphia, PA, USA"
https://dblp.org/pid/09/1365-13,Temple University
https://dblp.org/pid/09/5042-45,"Temple University, Department of Electrical and Computer Engineering, Philadelphia, PA, USA"
https://dblp.org/pid/12/1198-30,"Temple University, School of Dentistry, Division of Oral and Maxillofacial Radiology, Philadelphia, USA"
https://dblp.org/pid/136/5221-1,"Temple University, Philadelphia, PA, USA"
https://dblp.org/pid/138/7093,"Temple University, Philadelphia, PA, USA"
https://dblp.org/pid/139/4257-4,"Temple University, Department of Computer and Information Sciences, Philadelphia, PA, USA"
https://dblp.org/pid/144/1172,"Temple University, USA"
https://dblp.org/pid/16/862,"Temple University, Fox School of Business,, Fox School of Business, Philadelphia, USA"
https://dblp.org/pid/17/6892-1,"Temple University, Philadelphia, PA, USA"
https://dblp.org/pid/176/0205,"Temple University, Philadelphia, PA, USA"
https://dblp.org/pid/181/2403-1,"Temple University, Philadelphia, PA, USA"
https://dblp.org/pid/181/2902-2,"Temple University, Department of Electrical Engineering, Philadelphia, PA, USA"
https://dblp.org/pid/184/7908,"Temple University, Philadelphia, PA, USA"
https://dblp.org/pid/187/9796,"Temple University, Philadelphia, PA, USA"
https://dblp.org/pid/191/4669-3,"Temple University, CIS Department, Philadelphia, PA, USA"
https://dblp.org/pid/195/8850,"Temple University, Philadelphia, PA, USA"
https://dblp.org/pid/196/5052-1,"Temple University, Philadelphia, PA, USA"
https://dblp.org/pid/199/9939,"Temple University, Philadelphia, PA, USA"
https://dblp.org/pid/20/7258,"Temple University, Philadelphia, PA, USA"
https://dblp.org/pid/202/2697,"Temple University, Philadelphia, PA, USA"
https://dblp.org/pid/208/0010-2,"Temple University, Department of Mathematics, PA, USA"
https://dblp.org/pid/217/3050,"Temple University, Center for Data Analytics and Biomedical Informatics, Philadelphia, PA, USA"
https://dblp.org/pid/22/10543,"Temple University, Department of Mathematics, Philadelphia, PA, USA"
https://dblp.org/pid/241/0435-2,"Temple University, University Libraries, Philadelphia, PA, USA"
https://dblp.org/pid/25/2574-1,"Temple University, Philadelphia, PA, USA"
https://dblp.org/pid/263/3328-2,"Temple University, Department of Computer and Information Sciences, Philadelphia, PA, USA"
https://dblp.org/pid/27/5302-3,"Temple University, Computer and Information Science Department, Philadelphia, PA, USA"
https://dblp.org/pid/29/3081-35,"Temple University, Department of Computer and Information Sciences, Philadelphia, PA, USA"
https://dblp.org/pid/319/9544,"Temple University, Department of Mathematics, Philadelphia, PA, USA"
https://dblp.org/pid/32/5050-6,"Temple University, USA"
https://dblp.org/pid/33/4379-4,"Temple University, School of Business and Management, Philadelphia, PA, USA"
https://dblp.org/pid/40/1491-68,"Temple University, Department of Computer and Information Sciences, Philadelphia, PA, USA"
https://dblp.org/pid/40/5548-1,"Temple University, School of Electrical and Computer Engineering, Philadelphia, USA"
https://dblp.org/pid/46/5442-2,"Temple University, Philadelphia, PA, USA"
https://dblp.org/pid/46/6812-1,"Temple University, Philadelphia, PA, USA"
https://dblp.org/pid/48/450-64,"Temple University, Department of Tourism and Hospitality Management, Philadelphia, PA, USA"
https://dblp.org/pid/48/4792-23,"Temple University, Center for Networked Computing, USA"
https://dblp.org/pid/50/4541,"Temple University, Philadelphia, PA, USA"
https://dblp.org/pid/52/5861-3,"Temple University, Department of Computer and Information Sciences, Philadelphia, PA, USA"
https://dblp.org/pid/53/9654-2,"Temple University, Philadelphia, PA, USA"
https://dblp.org/pid/55/957-1,"Temple University, Department of Computer and Information Sciences, Philadelphia, PA, USA"
https://dblp.org/pid/58/2521-2,"Temple University, Philadelphia, PA, USA"
https://dblp.org/pid/59/2227-3,"Temple University, Philadelphia, PA, USA"
https://dblp.org/pid/64/5630-10,"Temple University, Department of Computer and Information Sciences, Philadelphia, PA, USA"
https://dblp.org/pid/66/6919,"Temple University, Department of Computer and Information Sciences, Philadelphia, PA, USA"
https://dblp.org/pid/67/2918,"Temple University, Philadelphia, PA, USA"
https://dblp.org/pid/69/4245,"Temple University, Philadelphia, Pennsylvania, USA"
https://dblp.org/pid/71/3836,"Temple University, Department of Computer and Information Sciences, Philadelphia, PA, USA"
https://dblp.org/pid/73/3330,"Temple University, Department of Psychology, Philadelphia, USA"
https://dblp.org/pid/79/10989,"Temple University, Philadelphia, PA, USA"
https://dblp.org/pid/80/11240,"Temple University, School of Pharmacy, Philadelphia, PA, USA"
https://dblp.org/pid/80/9877-1,"Temple University, Department of Electrical and Computer Engineering, Philadelphia, PA, USA"
https://dblp.org/pid/83/4555-2,"Temple University, Phoenixville, PA, USA"
https://dblp.org/pid/83/6436,"Temple University, Department of Computer and Information Sciences, Philadelphia, PA, USA"
https://dblp.org/pid/84/3795-21,"Temple University, Department of Computer and Information Sciences, Philadelphia, PA, USA"
https://dblp.org/pid/87/660-11,"Temple University, Department of Finance"
https://dblp.org/pid/90/6339-7,"Temple University, Department of Computer and Information Sciences, Philadelphia, PA, USA"
