author,affiliation
https://dblp.org/pid/00/5867-22,"Texas A&M University, Department of Computer Science and Engineering, College Station, TX, USA"
https://dblp.org/pid/01/2478-4,"Texas A&M University, Department of Computer Science and Engineering, College Station, TX, USA"
https://dblp.org/pid/02/2323,"Texas A&M University, Department of Mathematics, USA"
https://dblp.org/pid/02/3540,"Texas A&M University, TX, USA"
https://dblp.org/pid/02/3674-10,"Texas A&M University, Department of Computer Science and Engineering, College Station, TX, USA"
https://dblp.org/pid/02/6731-1,"Texas A&M University, Department of Computer Science and Engineering, USA"
https://dblp.org/pid/02/736-6,"Texas A&M University, College Station, TX, USA"
https://dblp.org/pid/04/2693,"Texas A&M University, Commerce, TX, USA"
https://dblp.org/pid/05/4670,"Texas A&M University, College Station, Texas, USA"
https://dblp.org/pid/06/2622-1,"Texas A&M University, College Station, TX, USA"
https://dblp.org/pid/06/4489-19,"Texas A&M University, College Station, TX, USA"
https://dblp.org/pid/06/5141-2,"Texas A&M University-San Antonio, Department of Computational Engineering and Mathematical Sciences, San Antonio, TX, USA"
https://dblp.org/pid/07/320-5,"Texas A&M University, College Station, TX, USA"
https://dblp.org/pid/09/1365-3,"Texas A&M University, TX, USA"
https://dblp.org/pid/09/3354,"Texas A&M University, College Station, TX, USA"
https://dblp.org/pid/10/4661-41,"Texas A&M University, Department of Computer Science and Engineering, TX, USA"
https://dblp.org/pid/10/4788,"Texas A&M University, USA"
https://dblp.org/pid/11/1591-1,"Texas A&M University, Clean and Resilient Energy Systems Laboratory, CARES, Galveston, TX, USA"
https://dblp.org/pid/11/392,"Texas A&M University, Mathematics Department"
https://dblp.org/pid/11/6615,"Texas A&M University, Doha, Qatar"
https://dblp.org/pid/11/6783,"Texas A&M University, Department of Electrical Engineering, College Station, TX, USA"
https://dblp.org/pid/118/0982,"Texas A&M University, Department of Biomedical Engineering, College Station, TX, USA"
https://dblp.org/pid/118/3715-2,"Texas A&M University, Artie McFerrin Department of Chemical Engineering, College Station, TX, USA"
https://dblp.org/pid/118/4031-2,"Texas A&M University, College Station, TX, USA"
https://dblp.org/pid/12/6277-9,"Texas A&M University, Department of Aerospace Engineering, College Station, TX, USA"
https://dblp.org/pid/12/654-4,"Texas A&M University, Department of Electrical and Computer Engineering, College Station, TX, USA"
https://dblp.org/pid/120/4143,"Texas A&M University at Corpus Christi, Conrad Blucher Institute of Surveying & Science, TX, USA"
https://dblp.org/pid/123/2117-2,"Texas A&M University, Department of Electrical and Computer Engineering, TX, USA"
https://dblp.org/pid/123/5905,"West Texas A&M University, Department of Computer Information and Decision Management, Canyon, TX, USA"
https://dblp.org/pid/124/2783,"Texas A&M University, College Station, TX, USA"
https://dblp.org/pid/125/1772,"Texas A&M University, College Station, TX, USA"
https://dblp.org/pid/125/6688,"Texas A&M University, College Station, TX, USA"
https://dblp.org/pid/127/9876,"Texas A&M University, Electrical and Computer Engineering, College Station, TX, USA"
https://dblp.org/pid/129/1241,"Texas A&M University, Department of Mathematics and Statistics, TX, USA"
https://dblp.org/pid/13/1898-33,"Texas A&M University, Department of Electrical and Computer Engineering, College Station, TX, USA"
https://dblp.org/pid/13/3565,"Texas A&M University, College Station, TX, USA"
https://dblp.org/pid/13/6794-6,"Texas A&M University-Kingsville, Kingsville, TX, USA"
https://dblp.org/pid/130/2440,"Texas A&M University, College Station, TX, USA"
https://dblp.org/pid/136/5902,"Texas A&M University, College Station, Texas, USA"
https://dblp.org/pid/139/3149,"Texas A&M University, Department of Geography, College Station, TX, USA"
