author,affiliation
https://dblp.org/pid/00/2207,"Texas State University, San Marcos, Department of Mathematics"
https://dblp.org/pid/02/6129,"North Texas State University, Denton, TX, USA"
https://dblp.org/pid/05/1739,"Texas State University, Department of Health Information Management, San Marcos, Texas, USA"
https://dblp.org/pid/05/3054-1,"Texas State University, San Marcos, TX, USA"
https://dblp.org/pid/10/7555,"Texas State University, San Marcos, TX, USA"
https://dblp.org/pid/137/0299-1,"Texas State University, San Marcos, TX, USA"
https://dblp.org/pid/141/1518,"Texas State University, San Marcos, TX, USA"
https://dblp.org/pid/142/5085,"Texas State University, Department of Philosophy, San Marcos, TX, USA"
https://dblp.org/pid/146/1124,"Texas State University, San Marcos, TX, USA"
https://dblp.org/pid/168/1921-2,"Texas State University, San Marcos, TX, USA"
https://dblp.org/pid/181/2715,"Texas State University-San Marcos, TX, USA"
https://dblp.org/pid/34/10051,"Texas State University, San Marcos, TX, USA"
https://dblp.org/pid/38/5762-6,"Texas State University, San Marcos, TX, USA"
https://dblp.org/pid/45/10800,"Texas State University, San Marcos, USA"
https://dblp.org/pid/76/1930-3,"Texas State University, San Marcos, TX, USA"
https://dblp.org/pid/88/128-2,"Texas State University, San Marcos, TX, USA"
https://dblp.org/pid/93/932-4,"Texas State University, San Marcos, TX, USA"
https://dblp.org/pid/95/5846-5,"Texas State University, San Marcos, Department of Mathematics, TX, USA"
https://dblp.org/pid/n/AnneHHNgu,"Texas State University,San Marcos, Texas, USA"
