author,affiliation
https://dblp.org/pid/02/736-64,"Texas Tech University, Department of Electrical and Computer Engineering, Lubbock, TX, USA"
https://dblp.org/pid/04/1616-3,"Texas Tech University, Lubbock, TX, USA"
https://dblp.org/pid/05/6736,Texas Tech University
https://dblp.org/pid/08/5760-9,"Texas Tech University, Lubbock, Texas, USA"
https://dblp.org/pid/10/4661-97,"Texas Tech University, Lubbock, TX, USA"
https://dblp.org/pid/116/7435-2,"Texas Tech University, College of Engineering, Lubbock, TX, USA"
https://dblp.org/pid/118/5928,"Texas Tech University, Department of Mathematics and Statistics, Lubbock, TX, USA"
https://dblp.org/pid/12/2554-1,"Texas Tech University, Department of Computer Science, Lubbock TX, USA"
https://dblp.org/pid/135/5574,"Texas Tech University, Lubbock, TX, USA"
https://dblp.org/pid/155/4434-3,"Texas Tech University, Lubbock, TX, USA"
https://dblp.org/pid/17/2703-57,"Texas Tech University, Department of Computer Science, Lubbock, TX, USA"
https://dblp.org/pid/177/8241,"Texas Tech University, Lubbock, TX, USA"
https://dblp.org/pid/181/2695-4,"Texas Tech University, Department of Mathematics and Statistics, Lubbock, TX, USA"
https://dblp.org/pid/203/8756,"Texas Tech University, College of Visual and Performing Arts, Lubbock, TX, USA"
https://dblp.org/pid/205/7408,"Texas Tech University, Lubbock, TX, USA"
https://dblp.org/pid/21/170-3,"Texas Tech University, Lubbock, TX, USA"
https://dblp.org/pid/210/3345,"Texas Tech University, Department of Public Health, Lubbock, TX, USA"
https://dblp.org/pid/23/306,"Texas Tech University, Lubbock, USA"
https://dblp.org/pid/23/7176-1,"Texas Tech University, Department of Mechanical Engineering, Lubbock, USA"
https://dblp.org/pid/245/6316,"Texas Tech University, Lubbock, TX, USA"
https://dblp.org/pid/27/7138,"Texas Tech University, Department of Mathematics and Statistics, Lubbock, TX, USA"
https://dblp.org/pid/303/7644,"Texas Tech University, Lubbock, TX, USA"
https://dblp.org/pid/38/10688-2,Texas Tech University
https://dblp.org/pid/38/3486,"Texas Tech University, Lubbock, Texas"
https://dblp.org/pid/41/11148,"Texas Tech University, Rawls College of Business, Lubbock, TX, USA"
https://dblp.org/pid/46/11529,"Texas Tech University, Lubbock, TX, USA"
https://dblp.org/pid/46/999-18,Texas Tech University
https://dblp.org/pid/53/2062,"Texas Tech University, Lubbock, TX, USA"
https://dblp.org/pid/67/10987,"Texas Tech University, Department of Mathematics and Statistics, Lubbock, TX, USA"
https://dblp.org/pid/67/6351-1,"Texas Tech University, Department of Computer Science, Lubbock, TX, USA"
https://dblp.org/pid/71/6601-4,"Texas Tech University, Department of Mathematics and Statistics, Lubbock, TX, USA"
https://dblp.org/pid/74/3830,"Texas Tech University, Department of Computer Science, Lubbock, TX, USA"
https://dblp.org/pid/74/5978-4,"Texas Tech University, Lubbock, USA"
https://dblp.org/pid/85/6836-2,"Texas Tech University, Lubbock, TX, USA"
https://dblp.org/pid/90/2235,"Texas Tech University, Rawls College of Business, Lubbock, TX, USA"
https://dblp.org/pid/90/4916-2,"Texas Tech University, Lubbock, TX, USA"
https://dblp.org/pid/98/8756,"Texas Tech University, Department of Computer Science, Lubbock, TX, USA"
https://dblp.org/pid/s/MichaelWSobolewski,"Texas Tech University, Department of Computer Science"
https://dblp.org/pid/w/RichardWatson3,"Texas Tech University, Department of Computer Science, Lubbock, TX, USA"
https://dblp.org/pid/z/YuanlinZhang,"Texas Tech University, Lubbock, TX, USA"
