author,affiliation
https://dblp.org/pid/06/5455-3,"Towson University, Towson, MD, USA"
https://dblp.org/pid/07/6728-5,"Towson University, College of Business and Economics, MD, USA"
https://dblp.org/pid/12/654-7,"Towson University, Department of Computer and Information Sciences, Towson, MD, USA"
https://dblp.org/pid/17/2104-1,"Towson University, Towson, MD, USA"
https://dblp.org/pid/183/4422,"Towson University, Department of Computer and Information Sciences, MD, USA"
https://dblp.org/pid/184/5393-2,"Towson University, Department of Management, MD, USA"
https://dblp.org/pid/200/1620,"Towson University, College of Business, MD, USA"
https://dblp.org/pid/203/7851,"Towson University, Department of Mathematics, USA"
https://dblp.org/pid/208/0995-2,"Towson University, Department of Computer and Information Sciences, Towson, MD, USA"
https://dblp.org/pid/28/551,"Towson University, MD, USA"
https://dblp.org/pid/38/7177,"Towson University, Maryland, USA"
https://dblp.org/pid/44/5521-16,"Towson University, Towson, MD, USA"
https://dblp.org/pid/57/6192-2,"Towson University, Department of Computer and Information Sciences, MD, USA"
https://dblp.org/pid/71/2108,"Towson University, MD, USA"
https://dblp.org/pid/71/992-3,"Towson University, Towson, MD, USA"
https://dblp.org/pid/73/4155-5,"Towson University, Towson, MD, USA"
https://dblp.org/pid/82/2790-2,"Towson University, Department of Computer & Information Sciences"
https://dblp.org/pid/87/3144-13,"Towson University, Department of Computer and Information Sciences, MD, USA"
https://dblp.org/pid/97/444,"Towson University, Computer and Information Sciences Department, MD, USA"
