author,affiliation
https://dblp.org/pid/08/4400,"Toyota Technological Institute at Chicago, IL, USA"
https://dblp.org/pid/139/7088-1,"Toyota Technological Institute at Chicago, IL, USA"
https://dblp.org/pid/140/1229-1,"Toyota Technological Institute at Chicago, IL, USA"
https://dblp.org/pid/162/2494-1,"Toyota Technological Institute at Chicago (TTIC), IL, USA"
https://dblp.org/pid/190/7298,"Toyota Technological Institute at Chicago, IL, USA"
https://dblp.org/pid/191/6689,Toyota Technological Institute at Chicago (TTIC)
https://dblp.org/pid/39/7780-5,"Toyota Technological Institute at Chicago (TTIC), IL, USA"
https://dblp.org/pid/48/8210,Toyota Technological Institute at Chicago
https://dblp.org/pid/50/3633,"Toyota Technological Institute at Chicago, USA"
https://dblp.org/pid/59/3767-13,"Toyota Technological Institute at Chicago, Chicago, IL, USA"
https://dblp.org/pid/62/234-5,"Toyota Technological Institute at Chicago, IL, USA"
https://dblp.org/pid/85/1868-1,"Toyota Technological Institute at Chicago, IL, USA"
https://dblp.org/pid/b/AvrimBlum,"Toyota Technological Institute at Chicago, IL, USA"
https://dblp.org/pid/m/DavidAMcAllester,"Toyota Technological Institute at Chicago, USA"
