author,affiliation
https://dblp.org/pid/00/6306-3,"Tulane University, School of Public Health and Tropical Medicine, New Orleans, LA, USA"
https://dblp.org/pid/04/3130-2,"Tulane University, Department of Biomedical Engineering, New Orleans, LA, USA"
https://dblp.org/pid/07/314-7,"Tulane University, New Orleans, USA"
https://dblp.org/pid/121/0659,"Tulane University, New Orleans, LA, USA"
https://dblp.org/pid/124/5615,"Tulane University, New Orleans, LA, USA"
https://dblp.org/pid/16/6199-1,"Tulane University, Department of Computer Science, New Orleans, LA, USA"
https://dblp.org/pid/166/9292,"Tulane University, A. B. Freeman School of Business, New Orleans, Louisiana, USA"
https://dblp.org/pid/180/3620,"Tulane University, New Orleans, LA, USA"
https://dblp.org/pid/21/1048-16,"Tulane University, New Orleans, LA, USA"
https://dblp.org/pid/29/3425-1,"Tulane University, Biomedical Engineering Department, New Orleans, LA, USA"
https://dblp.org/pid/29/3814-2,"Tulane University, Department of Biomedical Engineering, New Orleans, LA, USA"
https://dblp.org/pid/33/5448-12,"Tulane University, Department of Biostatistics and Bioinformatics, New Orleans, LA, USA"
https://dblp.org/pid/40/2555-13,"Tulane University, Department of Mathematics, New Orleans, LA, USA"
https://dblp.org/pid/44/3065,"Tulane University, New Orleans, LA, USA"
https://dblp.org/pid/54/7115,"Tulane University, USA"
https://dblp.org/pid/55/8186-1,"Tulane University, Department of Computer Science, New Orleans, LA, USA"
https://dblp.org/pid/60/1307-7,"Tulane University, New Orleans, LA, United States"
https://dblp.org/pid/69/7426,"Tulane University, New Orleans, LA, USA"
https://dblp.org/pid/72/4065-10,"Tulane University, New Orleans, LA, USA"
https://dblp.org/pid/77/80-4,"Tulane University, Center for Biomedical Informatics and Genomics, New Orleans, LA, USA"
https://dblp.org/pid/79/1442-14,"Tulane University, New Orleans, LA, USA"
https://dblp.org/pid/93/3218,"Tulane University, Department of Mathematics, New Orleans, USA"
https://dblp.org/pid/m/MWMislove,"Tulane University, New Orleans, Department of Mathematics"
